referencia,estado,poluente_emitido,quantidade
2013,ESPIRITO SANTO,Dióxido de enxofre,17.11
2020,PARAIBA,Óxidos de nitrogênio (NOx),13264.29
2021,SERGIPE,Monóxido de carbono (CO),5679.29
2022,MARANHAO,Monóxido de carbono (CO),1.9
2015,ALAGOAS,Óxidos de enxofre (SOx),98.62
2015,MATO GROSSO DO SUL,Nitrogênio,79.78
2014,GOIAS,Cinzas e resíduos contendo chumbo,0.13
2016,DISTRITO FEDERAL,Óxidos de nitrogênio (NOx),2884.0699999999993
2016,RIO GRANDE DO NORTE,Óxidos de enxofre (SOx),2899.41
2014,MARANHAO,Óxidos de nitrogênio (NOx),29554126.400000002
2018,PERNAMBUCO,Óxidos de nitrogênio (NOx),951798.5200000001
2020,MATO GROSSO,Óxidos de nitrogênio (NOx),773548.0200000003
2017,MATO GROSSO DO SUL,Monóxido de carbono,7.84
2019,RORAIMA,Monóxido de carbono (CO),0.89
2019,SANTA CATARINA,Óxidos de enxofre (SOx),296340057.46000004
2018,MINAS GERAIS,Monóxido de carbono (CO),2298323.8699999996
2016,ESPIRITO SANTO,Óxidos de nitrogênio (NOx),38764.35999999999
2015,CEARA,Monóxido de carbono (CO),113745672.10000002
2019,MARANHAO,Monóxido de carbono (CO),5526.91
2016,SAO PAULO,Partículas (PM10),6629.68
2019,CEARA,Dióxido de enxofre,99.5
2022,BAHIA,Óxidos de enxofre (SOx),25.11
2013,MATO GROSSO DO SUL,Óxidos de enxofre (SOx),563386.89
2022,RIO GRANDE DO NORTE,Material Particulado (MP),70.31
2016,TOCANTINS,Material Particulado (MP),187623.71
2015,PARANA,Monóxido de carbono (CO),76180698.59000003
2015,SAO PAULO,Compostos orgânicos voláteis não metânicos(COVNM),1.43
2013,SAO PAULO,"Manganês em formas brutas (lingotes, placas, etc.) e semimanufaturadas (barras, perfis, chapas, etc.); pós; desperdícios e resíduos",4
2020,MINAS GERAIS,Material Particulado (MP),730803.7200000032
2014,CEARA,Material Particulado (MP),34849.309999999976
2018,DISTRITO FEDERAL,Óxidos de nitrogênio (NOx),378.85
2015,MINAS GERAIS,Dióxido de enxofre,0.6
2015,RIO DE JANEIRO,Óxidos de nitrogênio (NOx),167868383.9
2016,MATO GROSSO,Óxidos de nitrogênio (NOx),5900.640000000002
2014,SAO PAULO,Outros fluoretos,21600
2013,PARANA,Compostos orgânicos voláteis não metânicos(COVNM),303.3
2022,DISTRITO FEDERAL,Material Particulado (MP),2.27
2015,CEARA,Óxidos de nitrogênio (NOx),40373.01000000001
2013,PERNAMBUCO,Óxidos de enxofre (SOx),49966.66
2021,ALAGOAS,Óxidos de nitrogênio (NOx),4955.22
2020,ESPIRITO SANTO,Óxidos de nitrogênio (NOx),37463.41999999999
2017,ALAGOAS,Monóxido de carbono (CO),5197.509999999999
2021,RIO GRANDE DO SUL,Material Particulado (MP),4912502.149999994
2015,AMAZONAS,Monóxido de carbono (CO),23692378.359999996
2021,RONDONIA,Material Particulado (MP),20611.41
2015,AMAZONAS,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",25.150000000000002
2014,MARANHAO,Material Particulado (MP),1007813.8300000002
2017,PARANA,Monóxido de carbono (CO),1711923.0400000014
2014,ALAGOAS,Monóxido de carbono (CO),15053.72
2013,SERGIPE,Óxidos de nitrogênio (NOx),8932.089999999998
2020,PARA,Óxidos de enxofre (SOx),19243.48999999999
2016,MATO GROSSO DO SUL,Material Particulado (MP),12740.210000000006
2018,PARA,Óxidos de enxofre (SOx),23417.229999999996
2019,BAHIA,Óxidos de enxofre (SOx),39616.69
2014,GOIAS,Óxidos de nitrogênio (NOx),804606.0799999998
2016,RIO DE JANEIRO,Óxidos de enxofre (SOx),48317374.80000002
2022,PARA,Material Particulado (MP),3.71
2021,SANTA CATARINA,Material Particulado (MP),930910.5400000014
2017,CEARA,Óxidos de enxofre (SOx),587328.2100000003
2019,MINAS GERAIS,Monóxido de carbono (CO),3255757.199999999
2013,DISTRITO FEDERAL,Óxidos de enxofre (SOx),126437.37
2022,TOCANTINS,Monóxido de carbono (CO),9.67
2022,ESPIRITO SANTO,Óxidos de enxofre (SOx),4520.2
2022,RIO GRANDE DO NORTE,Monóxido de carbono (CO),195
2020,ALAGOAS,Monóxido de carbono (CO),40102.03
2021,GOIAS,Material Particulado (MP),68216.96
2021,MINAS GERAIS,Monóxido de carbono (CO),1722749.0600000035
2015,ESPIRITO SANTO,Material Particulado (MP),2028375.2399999998
2013,RIO GRANDE DO SUL,Óxido nitroso,4639
2016,DISTRITO FEDERAL,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",439.99
2017,PARAIBA,Material Particulado (MP),19966.649999999994
2013,PARA,Material Particulado (MP),284698.79000000015
2016,CEARA,Material Particulado (MP),1490570.8000000003
2014,AMAZONAS,Dióxido de enxofre,612.75
2018,MINAS GERAIS,Óxidos de nitrogênio (NOx),48135.459999999985
2015,DISTRITO FEDERAL,Dióxido de enxofre,1020.99
2022,MINAS GERAIS,Óxidos de nitrogênio (NOx),624.2800000000001
2017,PARAIBA,Óxidos de enxofre (SOx),5355.880000000001
2013,MATO GROSSO DO SUL,Partículas (PM10),233.2
