referencia,estado,poluente_emitido,quantidade
2013,DISTRITO FEDERAL,,284452.88
2013,PARAIBA,,84962.34
2013,SANTA CATARINA,,5970583.530000004
2013,PIAUI,,3040.580000000001
2013,PARANA,,35146641.03000009
2013,MATO GROSSO DO SUL,,1992863.35
2013,PARA,,944948.4700000003
2013,RIO DE JANEIRO,,32537315.06000002
2013,RONDONIA,,158786.81
2013,GOIAS,,88248404.99000005
2013,SERGIPE,,22199.190000000002
2013,CEARA,,2244370.0599999963
2013,BAHIA,,4877158.799999994
2013,MARANHAO,,4138783.4099999997
2013,SAO PAULO,,72463351.92000039
2013,MATO GROSSO,,682029.5
2013,AMAZONAS,,44409286.39
2013,TOCANTINS,,40524.03
2013,RIO GRANDE DO NORTE,,27896.359999999986
2013,AMAPA,,5927.7
2013,PERNAMBUCO,,1868845.5700000008
2013,ALAGOAS,,552473.6100000002
2013,ESPIRITO SANTO,,1650920.1100000006
2013,ACRE,,16338.69
2013,MINAS GERAIS,,19096822281.679646
2013,RIO GRANDE DO SUL,,1825618.970000003
2014,ESPIRITO SANTO,,569395.6800000002
2014,PIAUI,,4923.18
2014,TOCANTINS,,167263.7000000001
2014,PERNAMBUCO,,34373672.99999995
2014,MATO GROSSO,,636423.3099999999
2014,RONDONIA,,5243973.1199999945
2014,RIO GRANDE DO SUL,,3988716.6699999967
2014,RIO GRANDE DO NORTE,,25601.76000000001
2014,BAHIA,,20665214.900000274
2014,RIO DE JANEIRO,,1593512.3100000024
2014,SANTA CATARINA,,4695108.089999999
2014,AMAZONAS,,228135172.87999994
2014,CEARA,,2122693.560000001
2014,PARANA,,80290709.44000012
2014,SAO PAULO,,13011726.239999961
2014,PARAIBA,,1182730.1400000015
2014,AMAPA,,3062.79
2014,MINAS GERAIS,,131806781.93000029
2014,PARA,,364229.43000000005
2014,GOIAS,,518033957.80999964
2014,RORAIMA,,0.1
2014,SERGIPE,,15472.6
2014,ALAGOAS,,120521.71
2014,MARANHAO,,81768435.69
2014,DISTRITO FEDERAL,,963668.2000000001
2014,MATO GROSSO DO SUL,,1875543.0899999992
2014,ACRE,,16329.18
2015,SAO PAULO,,11952436.399999926
2015,ACRE,,15859.74
2015,MATO GROSSO DO SUL,,254262.35
2015,AMAZONAS,,281420098.8700001
2015,SERGIPE,,81980257.99999996
2015,PERNAMBUCO,,275350051922.9697
2015,PARAIBA,,4123890.1099999985
2015,MINAS GERAIS,,5826676.199999966
2015,RIO GRANDE DO SUL,,5038252.979999933
2015,SANTA CATARINA,,769593.5200000022
2015,PARANA,,76984984.34000026
2015,RIO GRANDE DO NORTE,,107080.79999999996
2015,AMAPA,,1954.1299999999999
2015,TOCANTINS,,42360.77000000001
2015,MARANHAO,,547832.1100000001
2015,ALAGOAS,,147926.18999999997
