referencia,estado,municipio,poluente_emitido,quantidade
2013,BAHIA,BOM JESUS DA LAPA,Material Particulado (MP),0.02
2013,DISTRITO FEDERAL,BRASILIA,Nitrogênio,8426.41
2013,PARANA,TERRA RICA,Material Particulado (MP),367
2013,MINAS GERAIS,PATOS DE MINAS,Óxidos de nitrogênio (NOx),5.15
2013,MINAS GERAIS,PITANGUI,Material Particulado (MP),5.43
2013,MINAS GERAIS,CANA VERDE,Óxidos de enxofre (SOx),0.02
2013,SAO PAULO,SANTOS,Material Particulado (MP),603.02
2013,SAO PAULO,SAO JOSE DOS CAMPOS,Óxidos de enxofre (SOx),9211.56
2013,MINAS GERAIS,IGARATINGA,Material Particulado (MP),1749.5599999999997
2013,MATO GROSSO,ALTA FLORESTA,Monóxido de carbono (CO),11
2013,RIO GRANDE DO SUL,CARAZINHO,Monóxido de carbono (CO),0.01
2013,ALAGOAS,COLONIA LEOPOLDINA,Monóxido de carbono,455
2013,ESPIRITO SANTO,LINHARES,Material Particulado (MP),5099.45
2013,MINAS GERAIS,IBIRITE,Óxidos de nitrogênio (NOx),1755.04
2013,RIO GRANDE DO SUL,TRIUNFO,Material Particulado (MP),692.8199999999999
2013,MINAS GERAIS,CARANDAI,Óxidos de nitrogênio (NOx),1304.12
2013,SAO PAULO,MAUA,Óxidos de nitrogênio (NOx),65304.520000000004
2013,SANTA CATARINA,SAO MIGUEL DO OESTE,Monóxido de carbono (CO),257.42
2013,SANTA CATARINA,SAO JOSE,Monóxido de carbono (CO),120.11
2013,RIO GRANDE DO SUL,NOVO HAMBURGO,Óxidos de nitrogênio (NOx),0.13
2013,SAO PAULO,FLORIDA PAULISTA,Material Particulado (MP),0.1
2013,MINAS GERAIS,ALEM PARAIBA,Material Particulado (MP),2.16
2013,SANTA CATARINA,GRAO PARA,Material Particulado (MP),0
2013,MINAS GERAIS,SANTA RITA DO SAPUCAI,Outras ligas de cobre em forma bruta;,4.2
2013,PARA,XINGUARA,Material Particulado (MP),6.97
2013,PARANA,ROLANDIA,Material Particulado (MP),1007.08
2013,SAO PAULO,PEDREGULHO,Monóxido de carbono (CO),7.97
2013,MATO GROSSO,NOVA MUTUM,Monóxido de carbono (CO),40.78
2013,RIO GRANDE DO SUL,CASEIROS,Material Particulado (MP),0.01
2013,GOIAS,PALMEIRAS DE GOIAS,Óxidos de nitrogênio (NOx),2.06
2013,PERNAMBUCO,VERTENTE DO LERIO,Material Particulado (MP),13.3
2013,RIO GRANDE DO SUL,GIRUA,Material Particulado (MP),0.8
2013,CEARA,ALTO SANTO,Monóxido de carbono (CO),241
2013,MINAS GERAIS,PRUDENTE DE MORAIS,Material Particulado (MP),134.54999999999998
2013,SAO PAULO,RIBEIRAO PRETO,Material Particulado (MP),179.55999999999997
2013,PARANA,PARANAGUA,Óxidos de nitrogênio (NOx),464818.20999999996
2013,SERGIPE,SIMAO DIAS,Óxidos de enxofre (SOx),0
2013,ESPIRITO SANTO,CASTELO,Material Particulado (MP),6555.7300000000005
2013,MATO GROSSO,SINOP,Monóxido de carbono (CO),0.1
2013,ESPIRITO SANTO,VILA VELHA,Óxidos de nitrogênio (NOx),90.96
2013,PARANA,GUARAQUECABA,Monóxido de carbono (CO),0.28
2013,PARANA,INACIO MARTINS,Monóxido de carbono (CO),0.8
2013,RIO GRANDE DO SUL,FARROUPILHA,Monóxido de carbono (CO),285
2013,PARANA,ARAUCARIA,Óxidos de enxofre (SOx),11499.64
2013,SAO PAULO,PAULINIA,Material Particulado (MP),1158.23
2013,SAO PAULO,VISTA ALEGRE DO ALTO,Óxidos de nitrogênio (NOx),365951.92
2013,RIO GRANDE DO NORTE,ALTO DO RODRIGUES,Monóxido de carbono (CO),203
2013,MINAS GERAIS,PAULA CANDIDO,Material Particulado (MP),0.64
2013,ESPIRITO SANTO,CARIACICA,Material Particulado (MP),1214.62
2013,CEARA,FORTALEZA,Óxidos de enxofre (SOx),1052.11
2013,SANTA CATARINA,CANOINHAS,Monóxido de carbono (CO),136271.9
2013,ALAGOAS,SAO MIGUEL DOS CAMPOS,Óxidos de nitrogênio (NOx),2809.31
2013,SANTA CATARINA,SAO FRANCISCO DO SUL,Monóxido de carbono (CO),6.74
2013,RIO GRANDE DO SUL,ITAARA,Óxidos de nitrogênio (NOx),0.45
2013,SAO PAULO,GUARUJA,Óxidos de enxofre (SOx),2.7
2013,SANTA CATARINA,PALMEIRA,Material Particulado (MP),9.47
2013,SANTA CATARINA,SCHROEDER,Óxidos de enxofre (SOx),0.01
2013,BAHIA,JACOBINA,Óxidos de nitrogênio (NOx),0.52
2013,PARAIBA,ITAPORANGA,Material Particulado (MP),0.11
2013,BAHIA,CACULE,Material Particulado (MP),0.03
2013,PARAIBA,SAO BENTO,Monóxido de carbono (CO),2.3
2013,RONDONIA,ARIQUEMES,Monóxido de carbono (CO),25.270000000000003
2013,AMAZONAS,MANAUS,Óxidos de enxofre (SOx),3542.460000000001
2013,SAO PAULO,EMBU,Material Particulado (MP),0.01
2013,PARA,ORIXIMINA,Monóxido de carbono (CO),144.8
2013,SANTA CATARINA,ICARA,Óxidos de nitrogênio (NOx),3.06
2013,SAO PAULO,LIMEIRA,Óxidos de enxofre (SOx),28.500000000000004
2013,MINAS GERAIS,JANAUBA,Material Particulado (MP),40.54
2013,CEARA,RUSSAS,Monóxido de carbono,232.1
2013,PARANA,MEDIANEIRA,Monóxido de carbono (CO),381.85
2013,BAHIA,LAJE,Óxidos de nitrogênio (NOx),10213.6
2013,RIO DE JANEIRO,RIO DAS OSTRAS,Monóxido de carbono (CO),0.01
2013,PARA,ALMEIRIM,Óxidos de enxofre (SOx),758.1
2013,SANTA CATARINA,CORUPA,Monóxido de carbono (CO),0.82
2013,MINAS GERAIS,BERIZAL,Monóxido de carbono (CO),0.02
2013,SAO PAULO,LOUVEIRA,Óxidos de nitrogênio (NOx),26861.41
2013,MATO GROSSO DO SUL,RIO BRILHANTE,Material Particulado (MP),145.95
2013,SANTA CATARINA,RIO DO CAMPO,Monóxido de carbono (CO),87
2013,SANTA CATARINA,TRES BARRAS,Óxidos de nitrogênio (NOx),478.1
2013,RIO GRANDE DO SUL,IBIRUBA,Material Particulado (MP),1.9
2013,GOIAS,SANTA HELENA DE GOIAS,Material Particulado (MP),438.7
2013,PARANA,GUARAPUAVA,Monóxido de carbono (CO),690.4999999999999
2013,SANTA CATARINA,JARAGUA DO SUL,Óxidos de nitrogênio (NOx),59.25
2013,MINAS GERAIS,SETE LAGOAS,Óxidos de enxofre (SOx),0.6
