referencia,estado,municipio,quantidade
2021,RIO GRANDE DO SUL,SAPUCAIA DO SUL,311.55999999999995
2015,RIO GRANDE DO SUL,CAMPO BOM,884.98
2016,SAO PAULO,SANTA FE DO SUL,85.81
2017,SAO PAULO,COSMOPOLIS,1134.7199999999998
2014,MINAS GERAIS,VIRGINOPOLIS,7800
2016,SAO PAULO,PRADOPOLIS,1549.1200000000001
2015,RONDONIA,ESPIGAO D'OESTE,0.05
2017,RIO GRANDE DO SUL,SANTA VITORIA DO PALMAR,0.01
2019,MARANHAO,SAO LUIS,22603.889999999992
2017,RIO GRANDE DO SUL,FLORES DA CUNHA,15.18
2016,MATO GROSSO DO SUL,DEODAPOLIS,15.629999999999999
2013,BAHIA,SITIO DO MATO,0.08
2013,MINAS GERAIS,CANDEIAS,0.25
2021,MINAS GERAIS,SAO JOSE DA LAPA,218.66000000000003
2013,MINAS GERAIS,MANHUACU,1
2020,RIO GRANDE DO NORTE,AREIA BRANCA,26.5
2014,RIO GRANDE DO SUL,BOM PRINCIPIO,697.13
2019,SAO PAULO,GUARULHOS,333946.7500000002
2013,GOIAS,MORRINHOS,686871.6000000001
2015,ALAGOAS,SANTA LUZIA DO NORTE,15.85
2020,ESPIRITO SANTO,ANCHIETA,1834.3799999999999
2021,TOCANTINS,TOCANTINOPOLIS,100.03
2021,PARANA,CORONEL VIVIDA,30484.91
2019,RONDONIA,SERINGUEIRAS,700
2018,SAO PAULO,GUAREI,1.01
2013,SANTA CATARINA,SALTO VELOSO,5.07
2015,RIO GRANDE DO NORTE,TAIPU,24000
2015,SAO PAULO,PEDREGULHO,19.88
2016,MINAS GERAIS,BOM DESPACHO,584.06
2021,SANTA CATARINA,SAO CRISTOVAO DO SUL,33601.19
2016,MINAS GERAIS,PAPAGAIOS,4.77
2014,GOIAS,RIO VERDE,9327.730000000003
2020,SANTA CATARINA,IMBUIA,0.1
2019,MATO GROSSO DO SUL,LADARIO,50
2013,MINAS GERAIS,SAO JOAQUIM DE BICAS,4.3500000000000005
2021,MINAS GERAIS,ITAPECERICA,14.65
2019,CEARA,FARIAS BRITO,6.31
2015,MINAS GERAIS,VIEIRAS,0.1
2019,PARANA,REALEZA,44.15
2018,SAO PAULO,OLIMPIA,4771.26
2015,MINAS GERAIS,PIRACEMA,2.7800000000000002
2019,MINAS GERAIS,DOURADOQUARA,1.39
2019,MINAS GERAIS,PATROCINIO DO MURIAE,17
2013,PARA,SAO JOAO DO ARAGUAIA,7
2017,SANTA CATARINA,GRAVATAL,0.1
2013,ALAGOAS,SAO JOSE DA LAJE,0.16
2013,RONDONIA,SAO FRANCISCO DO GUAPORE,21.42
2017,AMAZONAS,MANAUS,31357.209999999992
2014,SAO PAULO,URUPES,0
2017,RONDONIA,NOVO HORIZONTE DO OESTE,0.75
2018,CEARA,PINDORETAMA,0
2016,PARAIBA,AREIA,13.56
2016,SANTA CATARINA,POMERODE,18.130000000000003
2014,BAHIA,ITABUNA,48821.700000000004
2018,PERNAMBUCO,GOIANA,1080725.6699999997
2015,MINAS GERAIS,JACUTINGA,4
2021,SAO PAULO,AGUAS DE LINDOIA,0.35
2013,PARAIBA,PATOS,1.36
2020,SAO PAULO,SANTA BARBARA D'OESTE,3574.6000000000013
2014,ACRE,RIO BRANCO,15014.18
2020,RONDONIA,SANTA LUZIA D'OESTE,40.4
2016,MINAS GERAIS,SAO FRANCISCO DE PAULA,0.6000000000000001
2017,MINAS GERAIS,TARUMIRIM,0.01
2019,MINAS GERAIS,LAGOA DA PRATA,2789.3799999999997
2020,SAO PAULO,PEDERNEIRAS,302.87999999999994
2015,SAO PAULO,TUPA,16.740000000000002
2013,RIO DE JANEIRO,MIGUEL PEREIRA,0.45
2013,PARANA,LARANJEIRAS DO SUL,4.71
2016,SANTA CATARINA,MARACAJA,8.719999999999999
2021,GOIAS,MONTES CLAROS DE GOIAS,463.51000000000005
2018,PARA,REDENCAO,58.970000000000006
2018,GOIAS,VILA BOA,1
2014,SAO PAULO,MIGUELOPOLIS,0.01
2019,RIO GRANDE DO SUL,VILA FLORES,1.04
2018,CEARA,URUOCA,18.19
2021,SAO PAULO,CRUZEIRO,101.93
2020,CEARA,ACOPIARA,36504
2020,SANTA CATARINA,LAURO MULLER,1500.05
2021,MINAS GERAIS,IBITIURA DE MINAS,0.46
2015,MATO GROSSO,TANGARA DA SERRA,1128.45
2017,PARAIBA,CRUZ DO ESPIRITO SANTO,0.57
2021,BAHIA,PONTO NOVO,0.05
2017,PERNAMBUCO,SAO CAITANO,7
2019,PERNAMBUCO,CARUARU,10.099999999999998
2015,MINAS GERAIS,CAMPESTRE,793.96
2019,SANTA CATARINA,FORQUILHINHA,1141.81
2014,ESPIRITO SANTO,CACHOEIRO DE ITAPEMIRIM,15361.2
2016,PARANA,NOVA ESPERANCA,10068.24
2020,MINAS GERAIS,DELTA,1067
2020,MARANHAO,MIRANDA DO NORTE,16.43
2017,BAHIA,LAJE,4.89
2014,MINAS GERAIS,SAO PEDRO DOS FERROS,3376.5
2013,SANTA CATARINA,SCHROEDER,500.02
