referencia,ano,mes,ano_mes,focos_incendio,acumulado_ano,consolidado
1998-06,1998,06,199806,3551,3551,false
1998-07,1998,07,199807,8067,11618,false
1998-08,1998,08,199808,35551,47169,false
1998-09,1998,09,199809,41976,89145,false
1998-10,1998,10,199810,23499,112644,false
1998-11,1998,11,199811,6804,119448,false
1998-12,1998,12,199823,4448,123896,true
1999-01,1999,01,199901,1081,1081,false
1999-02,1999,02,199902,1284,2365,false
1999-03,1999,03,199903,667,3032,false
1999-04,1999,04,199904,717,3749,false
1999-05,1999,05,199905,1811,5560,false
1999-06,1999,06,199906,3632,9192,false
1999-07,1999,07,199907,8758,17950,false
1999-08,1999,08,199908,39492,57442,false
1999-09,1999,09,199909,36914,94356,false
1999-10,1999,10,199910,27017,121373,false
1999-11,1999,11,199911,8863,130236,false
1999-12,1999,12,199923,4376,134612,true
2000-01,2000,01,200001,778,778,false
2000-02,2000,02,200002,562,1340,false
2000-03,2000,03,200003,848,2188,false
2000-04,2000,04,200004,538,2726,false
2000-05,2000,05,200005,2097,4823,false
2000-06,2000,06,200006,6274,11097,false
2000-07,2000,07,200007,4740,15837,false
2000-08,2000,08,200008,22204,38041,false
2000-09,2000,09,200009,23293,61334,false
2000-10,2000,10,200010,27332,88666,false
2000-11,2000,11,200011,8399,97065,false
2000-12,2000,12,200023,4465,101530,true
2001-01,2001,01,200101,547,547,false
2001-02,2001,02,200102,1060,1607,false
2001-03,2001,03,200103,1267,2874,false
2001-04,2001,04,200104,1081,3955,false
2001-05,2001,05,200105,2090,6045,false
2001-06,2001,06,200106,8405,14450,false
2001-07,2001,07,200107,6488,20938,false
2001-08,2001,08,200108,31838,52776,false
2001-09,2001,09,200109,39829,92605,false
2001-10,2001,10,200110,31039,123644,false
2001-11,2001,11,200111,15640,139284,false
2001-12,2001,12,200123,6200,145484,true
2002-01,2002,01,200201,1653,1653,false
2002-02,2002,02,200202,1569,3222,false
2002-03,2002,03,200203,1678,4900,false
2002-04,2002,04,200204,1683,6583,false
2002-05,2002,05,200205,3816,10399,false
2002-06,2002,06,200206,10845,21244,false
2002-07,2002,07,200207,18080,39324,false
2002-08,2002,08,200208,72412,111736,false
2002-09,2002,09,200209,93417,205153,false
2002-10,2002,10,200210,59257,264410,false
2002-11,2002,11,200211,39913,304323,false
2002-12,2002,12,200223,17091,321414,true
2003-01,2003,01,200301,6697,6697,false
2003-02,2003,02,200302,3099,9796,false
2003-03,2003,03,200303,3549,13345,false
2003-04,2003,04,200304,3643,16988,false
2003-05,2003,05,200305,6448,23436,false
2003-06,2003,06,200306,16752,40188,false
2003-07,2003,07,200307,30391,70579,false
2003-08,2003,08,200308,57004,127583,false
2003-09,2003,09,200309,97758,225341,false
2003-10,2003,10,200310,57495,282836,false
2003-11,2003,11,200311,35421,318257,false
2003-12,2003,12,200323,22980,341237,true
2004-01,2004,01,200401,3883,3883,false
2004-02,2004,02,200402,1932,5815,false
2004-03,2004,03,200403,2928,8743,false
2004-04,2004,04,200404,2956,11699,false
2004-05,2004,05,200405,6609,18308,false
2004-06,2004,06,200406,18024,36332,false
2004-07,2004,07,200407,30356,66688,false
2004-08,2004,08,200408,64067,130755,false
2004-09,2004,09,200409,121395,252150,false
2004-10,2004,10,200410,54292,306442,false
2004-11,2004,11,200411,45364,351806,false
2004-12,2004,12,200423,28639,380445,true
2005-01,2005,01,200501,7057,7057,false
2005-02,2005,02,200502,2898,9955,false
2005-03,2005,03,200503,2528,12483,false
2005-04,2005,04,200504,2743,15226,false
2005-05,2005,05,200505,5075,20301,false
2005-06,2005,06,200506,7854,28155,false
2005-07,2005,07,200507,30238,58393,false
2005-08,2005,08,200508,90729,149122,false
2005-09,2005,09,200509,102455,251577,false
2005-10,2005,10,200510,65023,316600,false
2005-11,2005,11,200511,31631,348231,false
2005-12,2005,12,200523,14332,362563,true
2006-01,2006,01,200601,4531,4531,false
2006-02,2006,02,200602,2387,6918,false
2006-03,2006,03,200603,2426,9344,false
2006-04,2006,04,200604,2269,11613,false
2006-05,2006,05,200605,4313,15926,false
2006-06,2006,06,200606,7601,23527,false
2006-07,2006,07,200607,17788,41315,false
2006-08,2006,08,200608,54630,95945,false
2006-09,2006,09,200609,76475,172420,false
2006-10,2006,10,200610,32043,204463,false
2006-11,2006,11,200611,29302,233765,false
2006-12,2006,12,200623,15414,249179,true
2007-01,2007,01,200701,4220,4220,false
2007-02,2007,02,200702,2761,6981,false
2007-03,2007,03,200703,3340,10321,false
2007-04,2007,04,200704,2550,12871,false
2007-05,2007,05,200705,5123,17994,false
2007-06,2007,06,200706,12716,30710,false
2007-07,2007,07,200707,19931,50641,false
2007-08,2007,08,200708,91085,141726,false
2007-09,2007,09,200709,141220,282946,false
2007-10,2007,10,200710,67228,350174,false
2007-11,2007,11,200711,31421,381595,false
2007-12,2007,12,200723,12320,393915,true
2008-01,2008,01,200801,2777,2777,false
2008-02,2008,02,200802,1751,4528,false
2008-03,2008,03,200803,1887,6415,false
2008-04,2008,04,200804,1906,8321,false
2008-05,2008,05,200805,2951,11272,false
2008-06,2008,06,200806,4594,15866,false
2008-07,2008,07,200807,14029,29895,false
2008-08,2008,08,200808,34431,64326,false
2008-09,2008,09,200809,50671,114997,false
2008-10,2008,10,200810,51784,166781,false
2008-11,2008,11,200811,30724,197505,false
2008-12,2008,12,200823,14428,211933,true
2009-01,2009,01,200901,3874,3874,false
2009-02,2009,02,200902,1396,5270,false
2009-03,2009,03,200903,2002,7272,false
2009-04,2009,04,200904,2290,9562,false
2009-05,2009,05,200905,3138,12700,false
2009-06,2009,06,200906,3795,16495,false
2009-07,2009,07,200907,7824,24319,false
2009-08,2009,08,200908,21782,46101,false
2009-09,2009,09,200909,36116,82217,false
2009-10,2009,10,200910,31215,113432,false
2009-11,2009,11,200911,29396,142828,false
2009-12,2009,12,200923,12274,155102,true
2010-01,2010,01,201001,3683,3683,false
2010-02,2010,02,201002,2908,6591,false
2010-03,2010,03,201003,2863,9454,false
2010-04,2010,04,201004,2681,12135,false
2010-05,2010,05,201005,4196,16331,false
2010-06,2010,06,201006,9894,26225,false
2010-07,2010,07,201007,21030,47255,false
2010-08,2010,08,201008,90444,137699,false
2010-09,2010,09,201009,109030,246729,false
2010-10,2010,10,201010,38841,285570,false
2010-11,2010,11,201011,24052,309622,false
2010-12,2010,12,201023,9761,319383,true
2011-01,2011,01,201101,1888,1888,false
2011-02,2011,02,201102,1127,3015,false
2011-03,2011,03,201103,1265,4280,false
2011-04,2011,04,201104,1617,5897,false
2011-05,2011,05,201105,2625,8522,false
2011-06,2011,06,201106,5627,14149,false
2011-07,2011,07,201107,9768,23917,false
2011-08,2011,08,201108,23881,47798,false
2011-09,2011,09,201109,55031,102829,false
2011-10,2011,10,201110,23340,126169,false
2011-11,2011,11,201111,18541,144710,false
2011-12,2011,12,201123,13389,158099,true
2012-01,2012,01,201201,2978,2978,false
2012-02,2012,02,201202,1728,4706,false
2012-03,2012,03,201203,2509,7215,false
2012-04,2012,04,201204,2507,9722,false
2012-05,2012,05,201205,3987,13709,false
2012-06,2012,06,201206,6830,20539,false
2012-07,2012,07,201207,14868,35407,false
2012-08,2012,08,201208,50926,86333,false
2012-09,2012,09,201209,63408,149741,false
2012-10,2012,10,201210,39860,189601,false
2012-11,2012,11,201211,18114,207715,false
2012-12,2012,12,201223,9519,217234,true
2013-01,2013,01,201301,2544,2544,false
2013-02,2013,02,201302,1715,4259,false
2013-03,2013,03,201303,2283,6542,false
2013-04,2013,04,201304,1891,8433,false
2013-05,2013,05,201305,2844,11277,false
2013-06,2013,06,201306,4665,15942,false
2013-07,2013,07,201307,8794,24736,false
2013-08,2013,08,201308,21410,46146,false
2013-09,2013,09,201309,36019,82165,false
2013-10,2013,10,201310,22159,104324,false
2013-11,2013,11,201311,11954,116278,false
2013-12,2013,12,201323,11867,128145,true
2014-01,2014,01,201401,3044,3044,false
2014-02,2014,02,201402,1371,4415,false
2014-03,2014,03,201403,1929,6344,false
2014-04,2014,04,201404,2024,8368,false
2014-05,2014,05,201405,2931,11299,false
2014-06,2014,06,201406,6212,17511,false
2014-07,2014,07,201407,10529,28040,false
2014-08,2014,08,201408,40845,68885,false
2014-09,2014,09,201409,42049,110934,false
2014-10,2014,10,201410,36568,147502,false
2014-11,2014,11,201411,17667,165169,false
2014-12,2014,12,201423,10723,175892,true
2015-01,2015,01,201501,4313,4313,false
2015-02,2015,02,201502,2026,6339,false
2015-03,2015,03,201503,1659,7998,false
2015-04,2015,04,201504,2024,10022,false
2015-05,2015,05,201505,2169,12191,false
2015-06,2015,06,201506,5569,17760,false
2015-07,2015,07,201507,8541,26301,false
