mes_ano,variacao_mes,acumulado_ano
Jan/2004,0.88,0.88
Fev/2004,0.69,1.5761
Mar/2004,1.13,2.7239
Abri/2004,1.21,3.9668
Mai/2004,1.31,5.3288
Jun/2004,1.38,6.7823
Jul/2004,1.31,8.1812
Ago/2004,1.22,9.501
Set/2004,0.69,10.2566
Out/2004,0.39,10.6866
Nov/2004,0.82,11.5942
Dez/2004,0.74,12.42
Jan/2005,0.39,0.39
Fev/2005,0.3,0.6912
Mar/2005,0.85,1.547
Abri/2005,0.86,2.4203
Mai/2005,-0.22,2.195
Jun/2005,-0.44,1.7454
Jul/2005,-0.34,1.3994
Ago/2005,-0.65,0.7403
Set/2005,-0.53,0.2064
Out/2005,0.6,0.8077
Nov/2005,0.4,1.2109
Dez/2005,-0.01,1.2008
Jan/2006,0.92,0.92
Fev/2006,0.01,0.9301
Mar/2006,-0.23,0.698
Abri/2006,-0.42,0.275
Mai/2006,0.38,0.6561
Jun/2006,0.75,1.411
Jul/2006,0.18,1.5935
Ago/2006,0.37,1.9694
Set/2006,0.29,2.2651
Out/2006,0.47,2.7458
Nov/2006,0.75,3.5164
Dez/2006,0.32,3.8476
Jan/2007,0.5,0.5
Fev/2007,0.27,0.7713
Mar/2007,0.34,1.114
Abr/2007,0.04,1.1544
Mai/2007,0.04,1.1949
Jun/2007,0.26,1.458
Jul/2007,0.28,1.7421
Ago/2007,0.98,2.7391
Set/2007,1.29,4.0645
Out/2007,1.05,5.1572
Nov/2007,0.69,5.8827
Dez/2007,1.76,7.7463
Jan/2008,1.09,1.09
Fev/2008,0.53,1.6258
Mar/2008,0.74,2.3778
Abr/2008,0.69,3.0842
Mai/2008,1.61,4.7439
Jun/2008,1.98,6.8178
Jul/2008,1.76,8.6978
Ago/2008,-0.32,8.35
Set/2008,0.11,8.4691
Out/2008,0.98,9.5321
Nov/2008,0.38,9.9484
Dez/2008,-0.13,9.8054
Jan/2009,-0.44,-0.44
Fev/2009,0.26,-0.1811
Mar/2009,-0.74,-0.9198
Abr/2009,-0.15,-1.0684
Mai/2009,-0.07,-1.1377
Jun/2009,-0.1,-1.2365
Jul/2009,-0.43,-1.6612
Ago/2009,-0.36,-2.0152
Set/2009,0.42,-1.6037
Out/2009,0.05,-1.5545
Nov/2009,0.1,-1.4561
Dez/2009,-0.26,-1.7123
Jan/2010,0.63,0.63
Fev/2010,1.18,1.8174
Mar/2010,0.94,2.7745
Abr/2010,0.77,3.5659
Mai/2010,1.19,4.7983
Jun/2010,0.85,5.6891
Jul/2010,0.15,5.8476
Ago/2010,0.77,6.6627
Set/2010,1.15,7.8893
Out/2010,1.01,8.979
Nov/2010,1.45,10.5592
Dez/2010,0.69,11.322
Jan/2011,0.79,0.79
Fev/2011,1,1.7979
Mar/2011,0.62,2.429
Abr/2011,0.45,2.89
Mai/2011,0.43,3.3324
Jun/2011,-0.18,3.1464
Jul/2011,-0.12,3.0226
Ago/2011,0.44,3.4759
Set/2011,0.65,4.1485
Out/2011,0.53,4.7005
Nov/2011,0.5,5.224
Dez/2011,-0.12,5.0977
Jan/2012,0.25,0.25
Fev/2012,-0.06,0.1899
Mar/2012,0.43,0.6207
Abr/2012,0.85,1.4759
Mai/2012,1.02,2.511
Jun/2012,0.66,3.1876
Jul/2012,1.34,4.5703
Ago/2012,1.43,6.0656
Set/2012,0.97,7.0945
Out/2012,0.02,7.1158
Nov/2012,-0.03,7.0838
Dez/2012,0.68,7.8119
Jan/2013,0.34,0.34
Fev/2013,0.29,0.631
Mar/2013,0.21,0.8423
Abr/2013,0.15,0.9936
Mai/2013,0,0.9936
Jun/2013,0.75,1.751
Jul/2013,0.26,2.0156
Ago/2013,0.15,2.1686
Set/2013,1.5,3.7011
Out/2013,0.86,4.593
Nov/2013,0.29,4.8963
Dez/2013,0.6,5.5257
Jan/2014,0.48,0.48
Fev/2014,0.38,0.8618
Mar/2014,1.67,2.5462
Abr/2014,0.78,3.3461
Mai/2014,-0.13,3.2117
Jun/2014,-0.74,2.448
Jul/2014,-0.61,1.823
Ago/2014,-0.27,1.5481
Set/2014,0.2,1.7512
Out/2014,0.28,2.0361
Nov/2014,0.98,3.0361
Dez/2014,0.62,3.6749
Jan/2015,0.76,0.76
Fev/2015,0.27,1.0321
Mar/2015,0.98,2.0222
Abr/2015,1.17,3.2158
Mai/2015,0.41,3.639
Jun/2015,0.67,4.3334
Jul/2015,0.69,5.0533
Ago/2015,0.28,5.3474
Set/2015,0.95,6.3482
Out/2015,1.89,8.3582
Nov/2015,1.52,10.0053
Dez/2015,0.49,10.5443
Jan/2016,1.14,1.14
Fev/2016,1.29,2.4447
Mar/2016,0.51,2.9672
Abr/2016,0.33,3.307
Mai/2016,0.82,4.1541
Jun/2016,1.69,5.9143
