referencia,ano,mes,Anomes,variacao,acumulado_ano
2009-01,2009,01,200901,0.26,0.26
2009-02,2009,02,200902,0.35,0.61
2009-05,2009,05,200905,0.25,0.86
2009-06,2009,06,200906,1.53,2.39
2009-07,2009,07,200907,0.37,2.76
2009-08,2009,08,200908,0.01,2.77
2009-09,2009,09,200909,0.07,2.84
2009-10,2009,10,200910,0.13,2.97
2009-11,2009,11,200911,0.18,3.15
2009-12,2009,12,200912,0.2,3.35
2010-01,2010,01,201001,0.52,0.52
2010-02,2010,02,201002,0.35,0.87
2010-03,2010,03,201003,0.45,1.32
2010-04,2010,04,201004,1.17,2.49
2010-05,2010,05,201005,0.93,3.42
2010-06,2010,06,201006,1.77,5.19
2010-07,2010,07,201007,0.62,5.81
2010-08,2010,08,201008,0.22,6.03
2010-09,2010,09,201009,0.2,6.23
2010-10,2010,10,201010,0.15,6.38
2010-11,2010,11,201011,0.36,6.74
2010-12,2010,12,201012,0.59,7.33
2011-01,2011,01,201101,0.37,0.37
2011-02,2011,02,201102,0.39,0.76
2011-03,2011,03,201103,0.44,1.2
2011-04,2011,04,201104,0.75,1.95
2011-05,2011,05,201105,2.03,3.98
2011-06,2011,06,201106,1.43,5.41
2011-07,2011,07,201107,0.59,6
2011-08,2011,08,201108,0.16,6.16
2011-09,2011,09,201109,0.14,6.3
2011-10,2011,10,201110,0.2,6.5
2011-11,2011,11,201111,0.5,7
2011-12,2011,12,201112,0.35,7.35
2012-01,2012,01,201201,0.67,0.67
2012-02,2012,02,201202,0.42,1.09
2012-03,2012,03,201203,0.37,1.46
2012-04,2012,04,201204,0.83,2.29
2012-05,2012,05,201205,1.3,3.59
2012-06,2012,06,201206,1.31,4.9
2012-07,2012,07,201207,0.85,5.75
2012-08,2012,08,201208,0.32,6.07
2012-09,2012,09,201209,0.21,6.28
2012-10,2012,10,201210,0.24,6.52
2012-11,2012,11,201211,0.23,6.75
2012-12,2012,12,201212,0.29,7.04
2013-01,2013,01,201301,0.39,0.39
2013-02,2013,02,201302,0.8,1.19
2013-03,2013,03,201303,0.28,1.47
2013-04,2013,04,201304,0.84,2.31
2013-05,2013,05,201305,1.24,3.55
2013-06,2013,06,201306,1.96,5.51
2013-07,2013,07,201307,0.73,6.24
2013-08,2013,08,201308,0.31,6.55
2013-09,2013,09,201309,0.43,6.98
2013-10,2013,10,201310,0.33,7.31
2013-11,2013,11,201311,0.27,7.58
2013-12,2013,12,201312,0.22,7.8
2014-01,2014,01,201401,0.7,0.7
2014-02,2014,02,201402,0.44,1.14
2014-03,2014,03,201403,0.22,1.36
2014-04,2014,04,201404,0.67,2.03
2014-05,2014,05,201405,1.37,3.4
2014-06,2014,06,201406,1.25,4.65
2014-07,2014,07,201407,0.8,5.45
2014-08,2014,08,201408,0.19,5.64
2014-09,2014,09,201409,0.16,5.8
2014-10,2014,10,201410,0.2,6
2014-11,2014,11,201411,0.3,6.3
2014-12,2014,12,201412,0.25,6.55
2015-01,2015,01,201501,0.7,0.7
2015-02,2015,02,201502,0.5,1.2
2015-03,2015,03,201503,0.36,1.56
2015-04,2015,04,201504,0.65,2.21
2015-05,2015,05,201505,0.45,2.66
2015-06,2015,06,201506,1.87,4.53
2015-07,2015,07,201507,0.66,5.19
2015-08,2015,08,201508,0.8,5.99
2015-09,2015,09,201509,0.22,6.21
2015-10,2015,10,201510,0.27,6.48
2015-11,2015,11,201511,0.4,6.88
2015-12,2015,12,201512,0.12,7
2016-01,2016,01,201601,0.32,0.32
2016-02,2016,02,201602,0.52,0.84
2016-03,2016,03,201603,0.79,1.63
2016-04,2016,04,201604,0.41,2.04
2016-05,2016,05,201605,0.19,2.23
2016-06,2016,06,201606,1.52,3.75
2016-07,2016,07,201607,1.09,4.84
2016-08,2016,08,201608,0.26,5.1
2016-09,2016,09,201609,0.37,5.47
2016-10,2016,10,201610,0.17,5.64
2016-11,2016,11,201611,0.17,5.81
2016-12,2016,12,201612,0.36,6.17
2017-01,2017,01,201701,0.29,0.29
2017-02,2017,02,201702,0.53,0.82
2017-03,2017,03,201703,0.36,1.18
2017-05,2017,05,201705,0.13,1.31
2017-06,2017,06,201706,1.36,2.67
2017-07,2017,07,201707,0.22,2.89
2017-08,2017,08,201708,0.4,3.29
2017-09,2017,09,201709,0.14,3.43
2017-10,2017,10,201710,0.19,3.62
2017-11,2017,11,201711,0.28,3.9
2017-12,2017,12,201712,0.14,4.04
2018-01,2018,01,201801,0.28,0.28
2018-02,2018,02,201802,0.14,0.42
2018-03,2018,03,201803,0.23,0.65
2018-04,2018,04,201804,0.28,0.93
2018-05,2018,05,201805,0.3,1.23
2018-06,2018,06,201806,0.76,1.99
2018-07,2018,07,201807,0.72,2.71
2018-08,2018,08,201808,0.3,3.01
2018-09,2018,09,201809,0.17,3.18
2018-10,2018,10,201810,0.33,3.51
2018-11,2018,11,201811,0.26,3.77
2018-12,2018,12,201812,0.13,3.9
