referencia,ano,mes,Anomes,variacao,acumulado_ano
1989-01,1989,01,198901,0,0
1989-02,1989,02,198902,0,0
1989-03,1989,03,198903,0,0
1989-04,1989,04,198904,0,0
1989-05,1989,05,198905,0,0
1989-06,1989,06,198906,23.59,23.59
1989-07,1989,07,198907,30.79,54.38
1989-08,1989,08,198908,45.87,100.25
1989-09,1989,09,198909,38.04,138.29
1989-10,1989,10,198910,38.59,176.88
1989-11,1989,11,198911,42.35,219.23
1989-12,1989,12,198912,44.84,264.07
1990-01,1990,01,199001,51.9,51.9
1990-02,1990,02,199002,70.2,122.1
1990-03,1990,03,199003,72.48,194.58
1990-04,1990,04,199004,38.2,232.78
1990-05,1990,05,199005,1.1,233.88
1990-06,1990,06,199006,4.43,238.31
1990-07,1990,07,199007,11.21,249.52
1990-08,1990,08,199008,13.94,263.46
1990-09,1990,09,199009,12.39,275.85
1990-10,1990,10,199010,11.52,287.37
1990-11,1990,11,199011,12.14,299.51
1990-12,1990,12,199012,14.15,313.66
1991-01,1991,01,199101,15.67,15.67
1991-02,1991,02,199102,17.54,33.21
1991-03,1991,03,199103,12.34,45.55
1991-04,1991,04,199104,8.51,54.06
1991-05,1991,05,199105,7.25,61.31
1991-06,1991,06,199106,13.36,74.67
1991-07,1991,07,199107,11.74,86.41
1991-08,1991,08,199108,14.15,100.56
1991-09,1991,09,199109,13.53,114.09
1991-10,1991,10,199110,23.07,137.16
1991-11,1991,11,199111,21.1,158.26
1991-12,1991,12,199112,29.72,187.98
1992-01,1992,01,199201,18.25,18.25
1992-02,1992,02,199202,28.24,46.49
1992-03,1992,03,199203,23.47,69.96
1992-04,1992,04,199204,28.74,98.7
1992-05,1992,05,199205,17.74,116.44
1992-06,1992,06,199206,27.55,143.99
1992-07,1992,07,199207,18.78,162.77
1992-08,1992,08,199208,23.19,185.96
1992-09,1992,09,199209,19.51,205.47
1992-10,1992,10,199210,31.33,236.8
1992-11,1992,11,199211,21.01,257.81
1992-12,1992,12,199212,27.75,285.56
1993-01,1993,01,199301,19.13,19.13
1993-02,1993,02,199302,34.43,53.56
1993-03,1993,03,199303,23.72,77.28
1993-04,1993,04,199304,32.46,109.74
1993-05,1993,05,199305,27.53,137.27
1993-06,1993,06,199306,36.11,173.38
1993-07,1993,07,199307,27.7,201.08
1993-08,1993,08,199308,33.37,234.45
1993-09,1993,09,199309,31.19,265.64
1993-10,1993,10,199310,36.63,302.27
1993-11,1993,11,199311,36.07,338.34
1993-12,1993,12,199312,38.16,376.5
1994-01,1994,01,199401,33.62,33.62
1994-02,1994,02,199402,40.68,74.3
1994-03,1994,03,199403,43.41,117.71
1994-04,1994,04,199404,50.7,168.41
1994-05,1994,05,199405,45.18,213.59
1994-06,1994,06,199406,45.51,259.1
1994-07,1994,07,199407,42.85,301.95
1994-08,1994,08,199408,3.95,305.9
1994-09,1994,09,199409,0.31,306.21
1994-10,1994,10,199410,0.88,307.09
1994-11,1994,11,199411,1.42,308.51
1994-12,1994,12,199412,2.44,310.95
1995-01,1995,01,199501,1.37,1.37
1995-02,1995,02,199502,3.54,4.91
1995-03,1995,03,199503,2.41,7.32
1995-04,1995,04,199504,2.74,10.06
1995-05,1995,05,199505,2.43,12.49
1995-06,1995,06,199506,9.38,21.87
1995-07,1995,07,199507,2.71,24.58
1995-08,1995,08,199508,0.93,25.51
1995-09,1995,09,199509,4.68,30.19
1995-10,1995,10,199510,0.72,30.91
1995-11,1995,11,199511,0.76,31.67
1995-12,1995,12,199512,1.07,32.74
1996-01,1996,01,199601,0.67,0.67
1996-02,1996,02,199602,1.35,2.02
1996-03,1996,03,199603,0.19,2.21
1996-04,1996,04,199604,0.89,3.1
1996-05,1996,05,199605,0.55,3.65
1996-06,1996,06,199606,2.01,5.66
1996-07,1996,07,199607,1.52,7.18
1996-08,1996,08,199608,0.74,7.92
1996-09,1996,09,199609,0.15,8.07
1996-10,1996,10,199610,0.23,8.3
1996-11,1996,11,199611,0.28,8.58
1996-12,1996,12,199612,0.48,9.06
1997-01,1997,01,199701,0.68,0.68
1997-02,1997,02,199702,0.31,0.99
1997-03,1997,03,199703,0.42,1.41
1997-04,1997,04,199704,0.73,2.14
1997-05,1997,05,199705,0.3,2.44
1997-06,1997,06,199706,0.99,3.43
1997-07,1997,07,199707,0.94,4.37
1997-08,1997,08,199708,0.55,4.92
1997-09,1997,09,199709,1.18,6.1
1997-10,1997,10,199710,0.22,6.32
1997-11,1997,11,199711,0.22,6.54
