referencia,ano,mes,Anomes,variacao,acumulado_ano
1945-01,1945,01,194501,-4.42,-4.42
1945-02,1945,02,194502,-0.64,-5.06
1945-03,1945,03,194503,0,-5.06
1945-04,1945,04,194504,3.49,-1.57
1945-05,1945,05,194505,0.25,-1.32
1945-06,1945,06,194506,1.62,0.3
1945-07,1945,07,194507,1.23,1.53
1945-08,1945,08,194508,0.85,2.38
1945-09,1945,09,194509,2.52,4.9
1945-10,1945,10,194510,1.17,6.07
1945-11,1945,11,194511,4.06,10.13
1945-12,1945,12,194512,1.56,11.69
1946-01,1946,01,194601,5.26,5.26
1946-02,1946,02,194602,0.94,6.2
1946-03,1946,03,194603,-0.52,5.68
1946-04,1946,04,194604,0.62,6.3
1946-05,1946,05,194605,1.13,7.43
1946-06,1946,06,194606,0.31,7.74
1946-07,1946,07,194607,1.42,9.16
1946-08,1946,08,194608,1.6,10.76
1946-09,1946,09,194609,3.35,14.11
1946-10,1946,10,194610,0.1,14.21
1946-11,1946,11,194611,0.76,14.97
1946-12,1946,12,194612,0.19,15.16
1947-01,1947,01,194701,2.93,2.93
1947-02,1947,02,194702,1.65,4.58
1947-03,1947,03,194703,0.37,4.95
1947-04,1947,04,194704,-36,-31.05
1947-05,1947,05,194705,4.51,-26.54
1947-06,1947,06,194706,0.52,-26.02
1947-07,1947,07,194707,0.6,-25.42
1947-08,1947,08,194708,1.28,-24.14
1947-09,1947,09,194709,-0.17,-24.31
1947-10,1947,10,194710,0.34,-23.97
1947-11,1947,11,194711,-0.17,-24.14
1947-12,1947,12,194712,-0.08,-24.22
1948-01,1948,01,194801,1.27,1.27
1948-02,1948,02,194802,-0.08,1.19
1948-03,1948,03,194803,0.17,1.36
1948-04,1948,04,194804,0.5,1.86
1948-05,1948,05,194805,0.08,1.94
1948-06,1948,06,194806,0.17,2.11
1948-07,1948,07,194807,0.08,2.19
1948-08,1948,08,194808,0,2.19
1948-09,1948,09,194809,0,2.19
1948-10,1948,10,194810,0.41,2.6
1948-11,1948,11,194811,0,2.6
1948-12,1948,12,194812,0.58,3.18
1949-01,1949,01,194901,-0.9,-0.9
1949-02,1949,02,194902,-0.17,-1.07
1949-03,1949,03,194903,1.65,0.58
1949-04,1949,04,194904,0.57,1.15
1949-05,1949,05,194905,0.57,1.72
1949-06,1949,06,194906,1.29,3.01
1949-07,1949,07,194907,1.11,4.12
1949-08,1949,08,194908,3.61,7.73
1949-09,1949,09,194909,1.97,9.7
1949-10,1949,10,194910,0.82,10.52
1949-11,1949,11,194911,0.59,11.11
1949-12,1949,12,194912,0.22,11.33
1950-01,1950,01,195001,-2.05,-2.05
1950-02,1950,02,195002,1.27,-0.78
1950-03,1950,03,195003,0.88,0.1
1950-04,1950,04,195004,0.95,1.05
1950-05,1950,05,195005,0.58,1.63
1950-06,1950,06,195006,-1.65,-0.02
1950-07,1950,07,195007,-4.17,-4.19
1950-08,1950,08,195008,0.76,-3.43
1950-09,1950,09,195009,-0.38,-3.81
1950-10,1950,10,195010,4.64,0.83
1950-11,1950,11,195011,0,0.83
1950-12,1950,12,195012,1.24,2.07
1951-01,1951,01,195101,0.43,0.43
1951-02,1951,02,195102,0.86,1.29
1951-03,1951,03,195103,-0.85,0.44
1951-04,1951,04,195104,2.72,3.16
1951-05,1951,05,195105,0.21,3.37
1951-06,1951,06,195106,5,8.37
1951-07,1951,07,195107,0.4,8.77
1951-08,1951,08,195108,3.1,11.87
1951-09,1951,09,195109,-0.38,11.49
1951-10,1951,10,195110,1.09,12.58
1951-11,1951,11,195111,0.19,12.77
1951-12,1951,12,195112,-0.51,12.26
1952-01,1952,01,195201,-0.7,-0.7
1952-02,1952,02,195202,0,-0.7
