referencia,ano,mes,variacao,acumulado_ano,acumulado_doze_meses,consolidado_ano,identificador_ibge
1979-12,1979,12,4.51,0,0,true,Num197912
1980-01,1980,01,6.56,6.56,0,false,Num198001
1980-02,1980,02,4.15,10.98,0,false,Num198002
1980-03,1980,03,5.12,16.67,75.11,false,Num198003
1980-04,1980,04,4.85,22.33,77.48,false,Num198004
1980-05,1980,05,5.53,29.1,84.06,false,Num198005
1980-06,1980,06,5.52,36.23,88.57,false,Num198006
1980-07,1980,07,5.51,43.74,88.85,false,Num198007
1980-08,1980,08,5.15,51.14,87.71,false,Num198008
1980-09,1980,09,4.45,57.87,83.91,false,Num198009
1980-10,1980,10,9.65,73.09,91.93,false,Num198010
1980-11,1980,11,8.03,86.98,95.41,false,Num198011
1980-12,1980,12,6.8,99.7,99.7,true,Num198012
1981-01,1981,01,6.21,6.21,99.04,false,Num198101
1981-02,1981,02,6.05,12.64,102.68,false,Num198102
1981-03,1981,03,5.35,18.67,103.13,false,Num198103
1981-04,1981,04,6.54,26.43,106.4,false,Num198104
1981-05,1981,05,5.51,33.4,106.36,false,Num198105
1981-06,1981,06,5.07,40.16,105.48,false,Num198106
1981-07,1981,07,6.2,48.86,106.82,false,Num198107
1981-08,1981,08,6.12,57.97,108.74,false,Num198108
1981-09,1981,09,5.28,66.31,110.38,false,Num198109
1981-10,1981,10,4.62,73.99,100.74,false,Num198110
1981-11,1981,11,5.23,83.1,95.55,false,Num198111
1981-12,1981,12,5.69,93.51,93.51,true,Num198112
1982-01,1982,01,6.71,6.71,94.43,false,Num198201
1982-02,1982,02,6.58,13.73,95.39,false,Num198202
1982-03,1982,03,5.24,19.69,95.17,false,Num198203
1982-04,1982,04,5.65,26.45,93.54,false,Num198204
1982-05,1982,05,6.66,34.88,95.65,false,Num198205
1982-06,1982,06,7.14,44.51,99.51,false,Num198206
1982-07,1982,07,6.39,53.75,99.87,false,Num198207
1982-08,1982,08,5.57,62.31,98.82,false,Num198208
1982-09,1982,09,4.3,69.29,96.98,false,Num198209
1982-10,1982,10,3.91,75.9,95.63,false,Num198210
1982-11,1982,11,5.26,85.16,95.69,false,Num198211
1982-12,1982,12,8.19,100.31,100.31,true,Num198212
1983-01,1983,01,9.14,9.14,104.87,false,Num198301
1983-02,1983,02,8.04,17.92,107.69,false,Num198302
1983-03,1983,03,7.22,26.43,111.6,false,Num198303
1983-04,1983,04,6.57,34.74,113.44,false,Num198304
1983-05,1983,05,6.71,43.78,113.53,false,Num198305
1983-06,1983,06,10.83,59.35,120.88,false,Num198306
1983-07,1983,07,11.43,77.56,131.34,false,Num198307
1983-08,1983,08,9.85,95.05,140.72,false,Num198308
1983-09,1983,09,11.27,117.03,156.8,false,Num198309
1983-10,1983,10,10.1,138.95,172.1,false,Num198310
1983-11,1983,11,7.37,156.56,177.56,false,Num198311
1983-12,1983,12,8.34,177.97,177.97,true,Num198312
1984-01,1984,01,9.39,9.39,178.6,false,Num198401
1984-02,1984,02,9.74,20.04,182.97,false,Num198402
1984-03,1984,03,9.83,31.85,189.87,false,Num198403
1984-04,1984,04,9.52,44.4,197.92,false,Num198404
1984-05,1984,05,8.71,56.98,203.5,false,Num198405
1984-06,1984,06,9.96,72.62,201.11,false,Num198406
1984-07,1984,07,9.11,88.34,194.84,false,Num198407
1984-08,1984,08,8.57,104.48,191.41,false,Num198408
1984-09,1984,09,11.1,127.18,190.97,false,Num198409
1984-10,1984,10,10.49,151.01,192.01,false,Num198410
1984-11,1984,11,10.33,176.93,200.04,false,Num198411
1984-12,1984,12,11.62,209.12,209.12,true,Num198412
1985-01,1985,01,11.84,11.84,216.03,false,Num198501
1985-02,1985,02,10.95,24.08,219.52,false,Num198502
1985-03,1985,03,9.94,36.42,219.84,false,Num198503
1985-04,1985,04,8.58,48.13,217.1,false,Num198504
1985-05,1985,05,7.2,58.8,212.71,false,Num198505
1985-06,1985,06,8.33,72.04,208.08,false,Num198506
1985-07,1985,07,10.08,89.37,210.81,false,Num198507
1985-08,1985,08,11.61,111.36,219.52,false,Num198508
1985-09,1985,09,10.09,132.68,216.61,false,Num198509
1985-10,1985,10,10.25,156.53,215.91,false,Num198510
1985-11,1985,11,14.18,192.92,226.96,false,Num198511
1985-12,1985,12,15.75,239.05,239.05,true,Num198512
1986-01,1986,01,15.01,15.01,248.67,false,Num198601
1986-02,1986,02,12.46,29.35,253.46,false,Num198602
1986-03,1986,03,3.18,33.46,231.69,false,Num198603
1986-04,1986,04,0.43,34.03,206.78,false,Num198604
1986-05,1986,05,1.08,35.47,189.24,false,Num198605
1986-06,1986,06,0.97,36.78,169.57,false,Num198606
1986-07,1986,07,0.91,38.02,147.11,false,Num198607
1986-08,1986,08,1.43,40,124.57,false,Num198608
1986-09,1986,09,1.19,41.66,106.43,false,Num198609
1986-10,1986,10,1.43,43.69,89.91,false,Num198610
1986-11,1986,11,3.29,48.42,71.79,false,Num198611
1986-12,1986,12,7.27,59.2,59.2,true,Num198612
1987-01,1987,01,16.82,16.82,61.7,false,Num198701
1987-02,1987,02,13.94,33.1,63.82,false,Num198702
1987-03,1987,03,14.4,52.27,81.64,false,Num198703
1987-04,1987,04,20.96,84.18,118.77,false,Num198704
1987-05,1987,05,23.14,126.8,166.53,false,Num198705
1987-06,1987,06,21.3,175.11,220.21,false,Num198706
1987-07,1987,07,9.93,202.43,248.84,false,Num198707
1987-08,1987,08,5.09,217.82,261.42,false,Num198708
1987-09,1987,09,7.15,240.55,282.7,false,Num198709
1987-10,1987,10,10.88,277.6,318.35,false,Num198710
1987-11,1987,11,14.93,333.98,365.51,false,Num198711
1987-12,1987,12,13.97,394.6,394.6,true,Num198712
1988-01,1988,01,18.97,18.97,403.72,false,Num198801
