referencia,ano,mes,Anomes,variacao,acumulado_ano
1964-01,1964,01,196401,8.36,8.36
1964-02,1964,02,196402,5.62,13.98
1964-03,1964,03,196403,5.8,19.78
1964-04,1964,04,196404,3.77,23.55
1964-05,1964,05,196405,2.95,26.5
1964-06,1964,06,196406,4.71,31.21
1964-07,1964,07,196407,6.37,37.58
1964-08,1964,08,196408,3.17,40.75
1964-09,1964,09,196409,4.28,45.03
1964-10,1964,10,196410,4.64,49.67
1964-11,1964,11,196411,8.37,58.04
1964-12,1964,12,196412,4.76,62.8
1965-01,1965,01,196501,5.04,5.04
1965-02,1965,02,196502,1.76,6.8
1965-03,1965,03,196503,4.31,11.11
1965-04,1965,04,196504,1.81,12.92
1965-05,1965,05,196505,1.64,14.56
1965-06,1965,06,196506,1.35,15.91
1965-07,1965,07,196507,2.4,18.31
1965-08,1965,08,196508,1.46,19.77
1965-09,1965,09,196509,1.24,21.01
1965-10,1965,10,196510,2.81,23.82
1965-11,1965,11,196511,1.62,25.44
1965-12,1965,12,196512,2.24,27.68
1966-01,1966,01,196601,9.1,9.1
1966-02,1966,02,196602,1.97,11.07
1966-03,1966,03,196603,1.78,12.85
1966-04,1966,04,196604,5.2,18.05
1966-05,1966,05,196605,3.05,21.1
1966-06,1966,06,196606,1.85,22.95
1966-07,1966,07,196607,3.87,26.82
1966-08,1966,08,196608,2.19,29.01
1966-09,1966,09,196609,2.75,31.76
1966-10,1966,10,196610,2.69,34.45
1966-11,1966,11,196611,0.78,35.23
1966-12,1966,12,196612,0.34,35.57
1967-01,1967,01,196701,4.11,4.11
1967-02,1967,02,196702,2.65,6.76
1967-03,1967,03,196703,1.31,8.07
1967-04,1967,04,196704,2,10.07
1967-05,1967,05,196705,-0.02,10.05
1967-06,1967,06,196706,0.56,10.61
1967-07,1967,07,196707,3.51,14.12
1967-08,1967,08,196708,0.36,14.48
1967-09,1967,09,196709,1.41,15.89
1967-10,1967,10,196710,1.92,17.81
1967-11,1967,11,196711,1.67,19.48
1967-12,1967,12,196712,0.65,20.13
1968-01,1968,01,196801,3.67,3.67
1968-02,1968,02,196802,2.58,6.25
1968-03,1968,03,196803,2.33,8.58
1968-04,1968,04,196804,1.14,9.72
1968-05,1968,05,196805,0.81,10.53
