referencia,ano,mes,Anomes,variacao,acumulado_ano
1975-01,1975,01,197501,2.78,2.78
1975-02,1975,02,197502,2.41,5.19
1975-03,1975,03,197503,1.29,6.48
1975-04,1975,04,197504,2.22,8.7
1975-05,1975,05,197505,1.89,10.59
1975-06,1975,06,197506,2.96,13.55
1975-07,1975,07,197507,2.02,15.57
1975-08,1975,08,197508,3.3,18.87
1975-09,1975,09,197509,1.91,20.78
1975-10,1975,10,197510,2.06,22.84
1975-11,1975,11,197511,1.84,24.68
1975-12,1975,12,197512,1.3,25.98
1976-01,1976,01,197601,3.15,3.15
1976-02,1976,02,197602,5.58,8.73
1976-03,1976,03,197603,2.26,10.99
1976-04,1976,04,197604,2.65,13.64
1976-05,1976,05,197605,2.5,16.14
1976-06,1976,06,197606,1.81,17.95
1976-07,1976,07,197607,2.04,19.99
1976-08,1976,08,197608,3.52,23.51
1976-09,1976,09,197609,2.66,26.17
1976-10,1976,10,197610,2.32,28.49
1976-11,1976,11,197611,1.77,30.26
1976-12,1976,12,197612,2.48,32.74
1977-01,1977,01,197701,3.62,3.62
1977-02,1977,02,197702,3.99,7.61
1977-03,1977,03,197703,4.8,12.41
1977-04,1977,04,197704,4.43,16.84
1977-05,1977,05,197705,2.16,19
1977-06,1977,06,197706,2.57,21.57
1977-07,1977,07,197707,1.93,23.5
1977-08,1977,08,197708,1.57,25.07
1977-09,1977,09,197709,1.99,27.06
1977-10,1977,10,197710,2.26,29.32
1977-11,1977,11,197711,2.86,32.18
1977-12,1977,12,197712,2.8,34.98
1978-01,1978,01,197801,1.75,1.75
1978-02,1978,02,197802,3.86,5.61
1978-03,1978,03,197803,2.55,8.16
1978-04,1978,04,197804,1.86,10.02
1978-05,1978,05,197805,2.92,12.94
1978-06,1978,06,197806,5,17.94
1978-07,1978,07,197807,4.22,22.16
1978-08,1978,08,197808,2.63,24.79
1978-09,1978,09,197809,2.45,27.24
1978-10,1978,10,197810,2.7,29.94
1978-11,1978,11,197811,2.51,32.45
1978-12,1978,12,197812,1.65,34.1
1979-01,1979,01,197901,4.13,4.13
1979-02,1979,02,197902,2.14,6.27
1979-03,1979,03,197903,5.91,12.18
1979-04,1979,04,197904,3.36,15.54
1979-05,1979,05,197905,2.09,17.63
1979-06,1979,06,197906,4.34,21.97
1979-07,1979,07,197907,4.35,26.32
1979-08,1979,08,197908,3.4,29.72
1979-09,1979,09,197909,6.45,36.17
1979-10,1979,10,197910,4.7,40.87
1979-11,1979,11,197911,4.72,45.59
1979-12,1979,12,197912,7.06,52.65
1980-01,1980,01,198001,4.48,4.48
1980-02,1980,02,198002,3.35,7.83
1980-03,1980,03,198003,4.34,12.17
1980-04,1980,04,198004,3.93,16.1
1980-05,1980,05,198005,6.52,22.62
1980-06,1980,06,198006,5.02,27.64
1980-07,1980,07,198007,5.24,32.88
1980-08,1980,08,198008,5.46,38.34
1980-09,1980,09,198009,6.15,44.49
1980-10,1980,10,198010,6.78,51.27
1980-11,1980,11,198011,6.82,58.09
1980-12,1980,12,198012,4.97,63.06
1981-01,1981,01,198101,4.92,4.92
1981-02,1981,02,198102,8.41,13.33
1981-03,1981,03,198103,5.28,18.61
1981-04,1981,04,198104,5.4,24.01
1981-05,1981,05,198105,6.3,30.31
1981-06,1981,06,198106,4.21,34.52
1981-07,1981,07,198107,5.09,39.61
1981-08,1981,08,198108,8.57,48.18
1981-09,1981,09,198109,4.34,52.52
1981-10,1981,10,198110,4.65,57.17
1981-11,1981,11,198111,4.92,62.09
1981-12,1981,12,198112,4.44,66.53
1982-01,1982,01,198201,3.94,3.94
1982-02,1982,02,198202,5.9,9.84
1982-03,1982,03,198203,5.81,15.65
1982-04,1982,04,198204,5.34,20.99
1982-05,1982,05,198205,6.02,27.01
1982-06,1982,06,198206,8.37,35.38
1982-07,1982,07,198207,6.71,42.09
1982-08,1982,08,198208,6.3,48.39
1982-09,1982,09,198209,3.62,52.01
1982-10,1982,10,198210,3.65,55.66
1982-11,1982,11,198211,5.37,61.03
1982-12,1982,12,198212,7.56,68.59
1983-01,1983,01,198301,7.19,7.19
1983-02,1983,02,198302,8.09,15.28
1983-03,1983,03,198303,9.88,25.16
1983-04,1983,04,198304,6.4,31.56
1983-05,1983,05,198305,4.97,36.53
1983-06,1983,06,198306,11.77,48.3
1983-07,1983,07,198307,12.56,60.86
1983-08,1983,08,198308,7.33,68.19
1983-09,1983,09,198309,11.43,79.62
1983-10,1983,10,198310,9.58,89.2
1983-11,1983,11,198311,4.41,93.61
1983-12,1983,12,198312,7.89,101.5
1984-01,1984,01,198401,8.98,8.98
1984-02,1984,02,198402,10.16,19.14
1984-03,1984,03,198403,8.91,28.05
1984-04,1984,04,198404,7.93,35.98
1984-05,1984,05,198405,6.69,42.67
1984-06,1984,06,198406,11.69,54.36
1984-07,1984,07,198407,7.92,62.28
1984-08,1984,08,198408,8.06,70.34
1984-09,1984,09,198409,9.2,79.54
1984-10,1984,10,198410,9.48,89.02
1984-11,1984,11,198411,9.6,98.62
1984-12,1984,12,198412,8.41,107.03
1985-01,1985,01,198501,11.18,11.18
1985-02,1985,02,198502,9.69,20.87
1985-03,1985,03,198503,10.79,31.66
1985-04,1985,04,198504,8.33,39.99
1985-05,1985,05,198505,8.91,48.9
1985-06,1985,06,198506,8.16,57.06
1985-07,1985,07,198507,11.4,68.46
1985-08,1985,08,198508,11.71,80.17
1985-09,1985,09,198509,7.62,87.79
1985-10,1985,10,198510,12.09,99.88
1985-11,1985,11,198511,12.76,112.64
1985-12,1985,12,198512,12.46,125.1
1986-01,1986,01,198601,14.05,14.05
1986-02,1986,02,198602,10.86,24.91
1986-03,1986,03,198603,1.83,26.74
1986-04,1986,04,198604,2.31,29.05
1986-05,1986,05,198605,1.92,30.97
1986-06,1986,06,198606,0.96,31.93
1986-07,1986,07,198607,1.07,33
1986-08,1986,08,198608,1.88,34.88
1986-09,1986,09,198609,1.43,36.31
1986-10,1986,10,198610,3.08,39.39
1986-11,1986,11,198611,4.43,43.82
1986-12,1986,12,198612,10.3,54.12
1987-01,1987,01,198701,13.75,13.75
1987-02,1987,02,198702,11.28,25.03
1987-03,1987,03,198703,11.97,37
1987-04,1987,04,198704,16.55,53.55
1987-05,1987,05,198705,26.49,80.04
1987-06,1987,06,198706,26.76,106.8
1987-07,1987,07,198707,9.24,116.04
1987-08,1987,08,198708,4.45,120.49
1987-09,1987,09,198709,6.73,127.22
