referencia,ano,mes,variacao,acumulado_ano,acumulado_doze_meses,consolidado_ano,identificador_ibge
1980-01,1980,01,6.62,6.62,0,false,Num198001
1980-02,1980,02,4.62,11.54,0,false,Num198002
1980-03,1980,03,6.04,18.27,0,false,Num198003
1980-04,1980,04,5.29,24.53,0,false,Num198004
1980-05,1980,05,5.7,31.63,0,false,Num198005
1980-06,1980,06,5.31,38.61,0,false,Num198006
1980-07,1980,07,5.55,46.3,0,false,Num198007
1980-08,1980,08,4.95,53.53,0,false,Num198008
1980-09,1980,09,4.23,60.03,0,false,Num198009
1980-10,1980,10,9.48,75.2,0,false,Num198010
1980-11,1980,11,6.67,86.89,0,false,Num198011
1980-12,1980,12,6.61,99.25,99.25,true,Num198012
1981-01,1981,01,6.84,6.84,99.67,false,Num198101
1981-02,1981,02,6.4,13.68,103.07,false,Num198102
1981-03,1981,03,4.97,19.33,101.03,false,Num198103
1981-04,1981,04,6.46,27.04,103.27,false,Num198104
1981-05,1981,05,5.56,34.1,103,false,Num198105
1981-06,1981,06,5.52,41.5,103.41,false,Num198106
1981-07,1981,07,6.26,50.35,104.78,false,Num198107
1981-08,1981,08,5.5,58.62,105.85,false,Num198108
1981-09,1981,09,5.26,66.95,107.88,false,Num198109
1981-10,1981,10,5.08,75.43,99.52,false,Num198110
1981-11,1981,11,5.27,84.68,96.89,false,Num198111
1981-12,1981,12,5.93,95.62,95.62,true,Num198112
1982-01,1982,01,6.97,6.97,95.86,false,Num198201
1982-02,1982,02,6.64,14.06,96.29,false,Num198202
1982-03,1982,03,5.71,20.58,97.68,false,Num198203
1982-04,1982,04,5.89,27.68,96.61,false,Num198204
1982-05,1982,05,6.66,36.18,98.65,false,Num198205
1982-06,1982,06,7.1,45.86,101.64,false,Num198206
1982-07,1982,07,6.36,55.13,101.84,false,Num198207
1982-08,1982,08,5.97,64.39,102.75,false,Num198208
1982-09,1982,09,5.08,72.75,102.41,false,Num198209
1982-10,1982,10,4.44,80.42,101.19,false,Num198210
1982-11,1982,11,5.29,89.96,101.22,false,Num198211
1982-12,1982,12,7.81,104.79,104.79,true,Num198212
1983-01,1983,01,8.64,8.64,108,false,Num198301
1983-02,1983,02,7.86,17.18,110.38,false,Num198302
1983-03,1983,03,7.34,25.78,113.63,false,Num198303
1983-04,1983,04,6.58,34.06,115.03,false,Num198304
1983-05,1983,05,6.48,42.75,114.67,false,Num198305
1983-06,1983,06,9.88,56.86,120.24,false,Num198306
1983-07,1983,07,10.08,72.66,127.94,false,Num198307
1983-08,1983,08,9.11,88.4,134.69,false,Num198308
1983-09,1983,09,10.3,107.8,146.35,false,Num198309
1983-10,1983,10,8.87,126.23,156.78,false,Num198310
1983-11,1983,11,7.38,142.93,161.9,false,Num198311
1983-12,1983,12,8.68,164.01,164.01,true,Num198312
1984-01,1984,01,9.67,9.67,166.51,false,Num198401
1984-02,1984,02,9.5,20.09,170.57,false,Num198402
1984-03,1984,03,8.94,30.82,174.59,false,Num198403
1984-04,1984,04,9.54,43.31,182.22,false,Num198404
1984-05,1984,05,9.05,56.28,189.03,false,Num198405
1984-06,1984,06,10.08,72.03,189.55,false,Num198406
1984-07,1984,07,9.72,88.76,188.62,false,Num198407
1984-08,1984,08,9.35,106.41,189.25,false,Num198408
1984-09,1984,09,11.75,130.65,193.05,false,Num198409
1984-10,1984,10,10.44,154.73,197.27,false,Num198410
1984-11,1984,11,10.53,181.54,205.97,false,Num198411
1984-12,1984,12,11.98,215.26,215.26,true,Num198412
1985-01,1985,01,11.76,11.76,221.27,false,Num198501
1985-02,1985,02,10.87,23.9,225.28,false,Num198502
1985-03,1985,03,10.16,36.49,228.93,false,Num198503
1985-04,1985,04,8.2,47.68,224.88,false,Num198504
1985-05,1985,05,7.2,58.31,219.36,false,Num198505
1985-06,1985,06,8.49,71.75,214.76,false,Num198506
1985-07,1985,07,10.31,89.47,216.44,false,Num198507
1985-08,1985,08,12.05,112.3,224.26,false,Num198508
1985-09,1985,09,11.12,135.9,222.43,false,Num198509
1985-10,1985,10,10.62,160.94,222.95,false,Num198510
1985-11,1985,11,13.97,197.4,233.02,false,Num198511
1985-12,1985,12,15.07,242.23,242.23,true,Num198512
1986-01,1986,01,14.37,14.37,250.23,false,Num198601
1986-02,1986,02,12.72,28.92,256.08,false,Num198602
1986-03,1986,03,4.77,35.07,238.65,false,Num198603
1986-04,1986,04,0.78,36.12,215.44,false,Num198604
1986-05,1986,05,1.4,38.02,198.38,false,Num198605
1986-06,1986,06,1.27,39.78,178.52,false,Num198606
1986-07,1986,07,1.71,42.17,156.8,false,Num198607
1986-08,1986,08,3.55,47.22,137.33,false,Num198608
1986-09,1986,09,1.72,49.75,117.25,false,Num198609
1986-10,1986,10,1.9,52.6,100.13,false,Num198610
1986-11,1986,11,5.45,60.92,85.17,false,Num198611
1986-12,1986,12,11.65,79.66,79.66,true,Num198612
1987-01,1987,01,13.21,13.21,77.84,false,Num198701
1987-02,1987,02,12.64,27.51,77.71,false,Num198702
1987-03,1987,03,16.37,48.39,97.39,false,Num198703
1987-04,1987,04,19.1,76.73,133.27,false,Num198704
1987-05,1987,05,21.45,114.64,179.4,false,Num198705
1987-06,1987,06,19.71,156.95,230.27,false,Num198706
1987-07,1987,07,9.21,180.62,254.63,false,Num198707
1987-08,1987,08,4.87,194.29,259.14,false,Num198708
1987-09,1987,09,7.78,217.19,280.55,false,Num198709
1987-10,1987,10,11.22,252.77,315.35,false,Num198710
1987-11,1987,11,15.08,305.97,353.27,false,Num198711
1987-12,1987,12,14.15,363.41,363.41,true,Num198712
1988-01,1988,01,18.89,18.89,386.67,false,Num198801
1988-02,1988,02,15.7,37.55,399.9,false,Num198802
1988-03,1988,03,17.6,61.77,405.18,false,Num198803
1988-04,1988,04,19.29,92.97,405.99,false,Num198804
1988-05,1988,05,17.42,126.58,389.19,false,Num198805
1988-06,1988,06,22,176.43,398.54,false,Num198806
1988-07,1988,07,21.91,237,456.52,false,Num198807
1988-08,1988,08,21.59,309.76,545.24,false,Num198808
1988-09,1988,09,27.45,422.23,662.99,false,Num198809
1988-10,1988,10,25.62,556.03,761.78,false,Num198810
1988-11,1988,11,27.94,739.33,858.09,false,Num198811
1988-12,1988,12,28.7,980.21,980.21,true,Num198812
1989-01,1989,01,37.49,37.49,1149.22,false,Num198901
1989-02,1989,02,16.78,60.56,1160.88,false,Num198902
1989-03,1989,03,6.82,71.51,1045.29,false,Num198903
1989-04,1989,04,8.33,85.8,940.07,false,Num198904
1989-05,1989,05,17.92,119.09,944.5,false,Num198905
1989-06,1989,06,28.65,181.86,1001.44,false,Num198906
1989-07,1989,07,27.74,260.05,1054.11,false,Num198907
1989-08,1989,08,33.71,381.43,1169.15,false,Num198908
1989-09,1989,09,37.56,562.25,1269.82,false,Num198909
1989-10,1989,10,39.77,825.62,1424.12,false,Num198910
1989-11,1989,11,47.82,1268.26,1660.95,false,Num198911
1989-12,1989,12,51.5,1972.91,1972.91,true,Num198912
1990-01,1990,01,67.55,67.55,2426.12,false,Num199001
1990-02,1990,02,75.73,194.44,3701.29,false,Num199002
1990-03,1990,03,82.39,437.02,6390.53,false,Num199003
1990-04,1990,04,15.52,520.37,6821.31,false,Num199004
1990-05,1990,05,7.59,567.45,6214.99,false,Num199005
1990-06,1990,06,11.75,645.88,5385.43,false,Num199006
1990-07,1990,07,12.92,742.25,4749.03,false,Num199007
1990-08,1990,08,12.88,850.73,3993.62,false,Num199008
1990-09,1990,09,14.41,987.73,3304.71,false,Num199009
1990-10,1990,10,14.36,1143.92,2685.74,false,Num199010
1990-11,1990,11,16.81,1353.03,2101.34,false,Num199011
1990-12,1990,12,18.44,1620.97,1620.97,true,Num199012
1991-01,1991,01,20.75,20.75,1140.27,false,Num199101
1991-02,1991,02,20.72,45.77,752.02,false,Num199102
1991-03,1991,03,11.92,63.15,422.84,false,Num199103
1991-04,1991,04,4.99,71.29,375.18,false,Num199104
1991-05,1991,05,7.43,84.02,374.48,false,Num199105
1991-06,1991,06,11.19,104.61,372.1,false,Num199106
1991-07,1991,07,12.41,130,369.96,false,Num199107
