referencia,ano,mes,variacao,acumulado_ano,acumulado_doze_meses,consolidado_ano,identificador_ibge
2000-05,2000,05,0.09,1.65,6.57,false,Num200005
2000-06,2000,06,0.08,1.73,6.68,false,Num200006
2000-07,2000,07,0.78,2.52,6.67,false,Num200007
2000-08,2000,08,1.99,4.56,7.92,false,Num200008
2000-09,2000,09,0.45,5.03,7.9,false,Num200009
2000-10,2000,10,0.18,5.22,7.23,false,Num200010
2000-11,2000,11,0.17,5.4,6.36,false,Num200011
2000-12,2000,12,0.6,6.04,6.04,true,Num200012
2001-01,2001,01,0.63,0.63,6.01,false,Num200101
2001-02,2001,02,0.5,1.13,6.18,false,Num200102
2001-03,2001,03,0.36,1.5,6.47,false,Num200103
2001-04,2001,04,0.5,2.01,6.5,false,Num200104
2001-05,2001,05,0.49,2.51,6.93,false,Num200105
2001-06,2001,06,0.38,2.89,7.25,false,Num200106
2001-07,2001,07,0.94,3.86,7.42,false,Num200107
2001-08,2001,08,1.18,5.09,6.57,false,Num200108
2001-09,2001,09,0.38,5.49,6.49,false,Num200109
2001-10,2001,10,0.37,5.88,6.69,false,Num200110
2001-11,2001,11,0.99,6.92,7.57,false,Num200111
2001-12,2001,12,0.55,7.51,7.51,true,Num200112
2002-01,2002,01,0.62,0.62,7.5,false,Num200201
2002-02,2002,02,0.44,1.06,7.44,false,Num200202
2002-03,2002,03,0.4,1.47,7.48,false,Num200203
2002-04,2002,04,0.78,2.26,7.78,false,Num200204
2002-05,2002,05,0.42,2.69,7.7,false,Num200205
2002-06,2002,06,0.33,3.03,7.65,false,Num200206
2002-07,2002,07,0.77,3.82,7.47,false,Num200207
2002-08,2002,08,1,4.86,7.28,false,Num200208
2002-09,2002,09,0.62,5.51,7.54,false,Num200209
2002-10,2002,10,0.9,6.46,8.1,false,Num200210
2002-11,2002,11,2.08,8.67,9.27,false,Num200211
2002-12,2002,12,3.05,11.99,11.99,true,Num200212
2003-01,2003,01,1.98,1.98,13.5,false,Num200301
2003-02,2003,02,2.19,4.21,15.48,false,Num200302
2003-03,2003,03,1.14,5.4,16.33,false,Num200303
2003-04,2003,04,1.14,6.6,16.74,false,Num200304
2003-05,2003,05,0.85,7.51,17.24,false,Num200305
2003-06,2003,06,0.22,7.75,17.12,false,Num200306
2003-07,2003,07,-0.18,7.55,16.01,false,Num200307
2003-08,2003,08,0.27,7.84,15.17,false,Num200308
2003-09,2003,09,0.57,8.46,15.12,false,Num200309
2003-10,2003,10,0.66,9.17,14.84,false,Num200310
2003-11,2003,11,0.17,9.36,12.69,false,Num200311
2003-12,2003,12,0.46,9.86,9.86,true,Num200312
2004-01,2004,01,0.68,0.68,8.46,false,Num200401
2004-02,2004,02,0.9,1.59,7.09,false,Num200402
2004-03,2004,03,0.4,1.99,6.31,false,Num200403
2004-04,2004,04,0.21,2.21,5.33,false,Num200404
2004-05,2004,05,0.54,2.76,5.01,false,Num200405
2004-06,2004,06,0.56,3.33,5.36,false,Num200406
2004-07,2004,07,0.93,4.3,6.53,false,Num200407
2004-08,2004,08,0.79,5.12,7.09,false,Num200408
2004-09,2004,09,0.49,5.63,7,false,Num200409
2004-10,2004,10,0.32,5.97,6.64,false,Num200410
2004-11,2004,11,0.63,6.64,7.13,false,Num200411
2004-12,2004,12,0.84,7.54,7.54,true,Num200412
2005-01,2005,01,0.68,0.68,7.54,false,Num200501
2005-02,2005,02,0.74,1.43,7.36,false,Num200502
2005-03,2005,03,0.35,1.78,7.31,false,Num200503
2005-04,2005,04,0.74,2.53,7.88,false,Num200504
2005-05,2005,05,0.83,3.38,8.19,false,Num200505
2005-06,2005,06,0.12,3.51,7.72,false,Num200506
2005-07,2005,07,0.11,3.62,6.84,false,Num200507
2005-08,2005,08,0.28,3.91,6.3,false,Num200508
2005-09,2005,09,0.16,4.08,5.95,false,Num200509
2005-10,2005,10,0.56,4.66,6.21,false,Num200510
2005-11,2005,11,0.78,5.48,6.36,false,Num200511
2005-12,2005,12,0.38,5.88,5.88,true,Num200512
2006-01,2006,01,0.51,0.51,5.7,false,Num200601
2006-02,2006,02,0.52,1.03,5.47,false,Num200602
2006-03,2006,03,0.37,1.41,5.49,false,Num200603
2006-04,2006,04,0.17,1.58,4.89,false,Num200604
