referencia,ano,mes,variacao_geral,variacao_alimentacao,variacao_habitacao,variacao_artigos_residencia,variacao_vestuario,variacao_transporte,variacao_saude_cuidados_pessoais,variacao_despesas_pessoais,variacao_educacao,variacao_comunicacao,variacao_alimentacao_dec,variacao_habitacao_dec,variacao_artigos_residencia_dec,variacao_vestuario_dec,variacao_transporte_dec,variacao_saude_cuidados_pessoais_dec,variacao_despesas_pessoais_dec,variacao_educacao_dec,variacao_comunicacao_dec,consolidado_ano,identificador_ibge
2012-01,2012,01,0.56,0.86,0.53,0.16,0.07,0.69,0.3,0.71,0.39,0.21,0.16598,0.08268,0.00608,0.00322,0.14214,0.0405,0.07597,0.02379,0.01197,false,Num201201
2012-02,2012,02,0.45,0.19,0.6,0.06,-0.23,-0.33,0.7,0.88,5.62,-0.17,0.03667,0.0936,0.00228,-0.01058,-0.06798,0.0945,0.09416,0.34282,-0.00969,false,Num201202
2012-03,2012,03,0.21,0.25,0.48,-0.4,-0.61,0.16,0.38,0.55,0.54,-0.36,0.04825,0.07488,-0.0152,-0.028059999999999998,0.032959999999999996,0.051300000000000005,0.058850000000000006,0.032940000000000004,-0.02052,false,Num201203
2012-04,2012,04,0.64,0.51,0.8,-0.79,0.98,0.1,0.96,2.23,0.04,0.46,0.09843,0.12480000000000001,-0.03002,0.045079999999999995,0.0206,0.1296,0.23861,0.00244,0.026220000000000004,false,Num201204
2012-05,2012,05,0.36,0.73,0.8,0.17,0.89,-0.58,0.66,0.6,-0.01,-0.19,0.14089,0.12480000000000001,0.0064600000000000005,0.04094,-0.11947999999999999,0.08910000000000001,0.0642,-0.00061,-0.010830000000000001,false,Num201205
2012-06,2012,06,0.08,0.68,0.28,-0.03,0.39,-1.18,0.38,0.47,0.06,-0.01,0.13124000000000002,0.043680000000000004,-0.00114,0.01794,-0.24307999999999996,0.051300000000000005,0.050289999999999994,0.0036599999999999996,-0.0005700000000000001,false,Num201206
2012-07,2012,07,0.43,0.91,0.54,-0.01,0.04,-0.03,0.36,0.91,0.12,0.15,0.17563,0.08424000000000001,-0.00038,0.00184,-0.00618,0.048600000000000004,0.09737,0.007319999999999999,0.00855,false,Num201207
2012-08,2012,08,0.41,0.88,0.22,0.4,0.19,0.06,0.53,0.42,0.51,-0.01,0.16984000000000002,0.03432,0.0152,0.00874,0.01236,0.07155,0.04494,0.03111,-0.0005700000000000001,false,Num201208
2012-09,2012,09,0.57,1.26,0.71,0.18,0.89,-0.08,0.32,0.73,0.1,0.03,0.24318,0.11076,0.00684,0.04094,-0.016479999999999998,0.0432,0.07811,0.0061,0.00171,false,Num201209
2012-10,2012,10,0.59,1.36,0.38,0.37,1.09,0.24,0.48,0.1,0.05,0.31,0.26248000000000005,0.05928,0.01406,0.050140000000000004,0.04944,0.0648,0.010700000000000001,0.00305,0.01767,false,Num201210
2012-11,2012,11,0.6,0.79,0.64,0.47,0.86,0.68,0.32,0.53,0.05,0.31,0.15247000000000002,0.09984,0.017859999999999997,0.03956,0.14008,0.0432,0.05671,0.00305,0.01767,false,Num201211
2012-12,2012,12,0.79,1.03,0.63,0.27,1.11,0.75,0.4,1.6,0.19,0.03,0.19879000000000002,0.09828,0.01026,0.05106,0.1545,0.054000000000000006,0.17120000000000002,0.01159,0.00171,true,Num201212
