referencia,ano,mes,variacao_geral,variacao_alimentacao,variacao_habitacao,variacao_artigos_residencia,variacao_vestuario,variacao_transporte,variacao_saude_cuidados_pessoais,variacao_despesas_pessoais,variacao_educacao,variacao_comunicacao,variacao_alimentacao_dec,variacao_habitacao_dec,variacao_artigos_residencia_dec,variacao_vestuario_dec,variacao_transporte_dec,variacao_saude_cuidados_pessoais_dec,variacao_despesas_pessoais_dec,variacao_educacao_dec,variacao_comunicacao_dec,consolidado_ano,identificador_ibge
2012-12,2012,12,5.84,9.86,6.79,0.84,5.79,0.48,5.95,10.17,7.78,0.77,0,0,0,0,0,0,0,0,0,true,Num201212
2013-01,2013,01,6.15,11.08,6.01,1.84,5.16,0.54,6.4,11.09,7.74,0.48,0,0,0,0,0,0,0,0,0,false,Num201301
2013-02,2013,02,6.31,12.48,2.87,2.31,5.99,1.69,6.35,10.74,7.52,0.75,0,0,0,0,0,0,0,0,0,false,Num201302
2013-03,2013,03,6.59,13.48,2.9,2.83,6.8,1.44,6.29,10.73,7.55,1.24,0,0,0,0,0,0,0,0,0,false,Num201303
2013-04,2013,04,6.49,13.99,2.71,4.31,6.45,1.14,6.62,8.97,7.61,0.45,0,0,0,0,0,0,0,0,0,false,Num201304
2013-05,2013,05,6.5,13.53,2.66,4.61,6.4,1.48,6.92,8.77,7.69,0.73,0,0,0,0,0,0,0,0,0,false,Num201305
2013-06,2013,06,6.7,12.8,2.96,4.78,6.52,2.84,6.9,8.69,7.82,0.92,0,0,0,0,0,0,0,0,0,false,Num201306
2013-07,2013,07,6.27,11.42,2.99,5.08,6.07,2.18,6.88,8.92,7.81,0.98,0,0,0,0,0,0,0,0,0,false,Num201307
2013-08,2013,08,6.09,10.46,3.35,5.59,5.95,2.06,6.8,8.89,7.98,1,0,0,0,0,0,0,0,0,0,false,Num201308
2013-09,2013,09,5.86,9.24,3.26,6.09,5.68,2.58,6.95,8.31,8,0.92,0,0,0,0,0,0,0,0,0,false,Num201309
2013-10,2013,10,5.84,8.88,3.45,6.56,5.72,2.5,6.86,8.67,8.05,0.69,0,0,0,0,0,0,0,0,0,false,Num201310
2013-11,2013,11,5.77,8.63,3.5,6.47,5.7,2.17,6.94,9.04,8.08,0.78,0,0,0,0,0,0,0,0,0,false,Num201311
2013-12,2013,12,5.91,8.48,3.4,7.12,5.38,3.29,6.95,8.39,7.94,1.5,0,0,0,0,0,0,0,0,0,true,Num201312
2014-01,2014,01,5.59,7.26,4.18,6.42,5.78,2.49,6.68,8.57,8.17,1.61,0,0,0,0,0,0,0,0,0,false,Num201401
2014-02,2014,02,5.68,6.32,7.54,7,4.77,1.61,6.79,8.7,8.75,1.65,0,0,0,0,0,0,0,0,0,false,Num201402
2014-03,2014,03,6.15,7.14,7.35,7.29,4.94,3.1,6.9,8.98,8.72,0.25,0,0,0,0,0,0,0,0,0,false,Num201403
2014-04,2014,04,6.28,7.38,7.62,6.83,4.75,3.62,6.62,8.67,8.65,0.59,0,0,0,0,0,0,0,0,0,false,Num201404
2014-05,2014,05,6.37,7.67,7.48,7.43,4.74,3.41,6.66,9.08,8.72,0.62,0,0,0,0,0,0,0,0,0,false,Num201405
2014-06,2014,06,6.52,7.51,7.46,7.7,4.73,3.65,6.91,10.36,8.55,0.4,0,0,0,0,0,0,0,0,0,false,Num201406
2014-07,2014,07,6.5,7.69,8.13,8.33,4.88,3.32,7.09,9.25,8.48,-0.59,0,0,0,0,0,0,0,0,0,false,Num201407
2014-08,2014,08,6.51,7.53,8.53,7.88,4.65,3.72,7.04,8.92,8.22,-0.51,0,0,0,0,0,0,0,0,0,false,Num201408
2014-09,2014,09,6.75,8.21,8.7,7.55,4.58,3.92,6.9,9.12,8.28,-0.34,0,0,0,0,0,0,0,0,0,false,Num201409
2014-10,2014,10,6.59,7.61,8.82,6.89,4.05,4.16,6.89,9.05,8.29,-0.47,0,0,0,0,0,0,0,0,0,false,Num201410
2014-11,2014,11,6.56,7.83,8.82,6.44,3.58,4.23,6.91,8.63,8.43,-0.8,0,0,0,0,0,0,0,0,0,false,Num201411
2014-12,2014,12,6.41,8.03,8.8,5.49,3.63,3.75,6.97,8.31,8.45,-1.52,0,0,0,0,0,0,0,0,0,true,Num201412
2015-01,2015,01,7.14,8.72,10.82,4.68,3.07,5.68,6.8,8.26,8.17,-1.4,0,0,0,0,0,0,0,0,0,false,Num201501
2015-02,2015,02,7.7,8.99,11.31,4.48,2.87,8.05,6.65,8.45,8.08,-1.56,0,0,0,0,0,0,0,0,0,false,Num201502
2015-03,2015,03,8.13,8.19,16.82,4.44,3.15,7.08,6.93,7.98,8.31,-1.46,0,0,0,0,0,0,0,0,0,false,Num201503
2015-04,2015,04,8.17,7.95,16.88,4.92,3.6,6.86,7.26,8.19,8.5,-1.18,0,0,0,0,0,0,0,0,0,false,Num201504
2015-05,2015,05,8.47,8.8,17.59,4.23,3.37,7.03,7.39,8.13,8.42,-1.12,0,0,0,0,0,0,0,0,0,false,Num201505
2015-06,2015,06,8.89,9.61,17.94,4.58,3.46,7.39,7.73,8.19,8.62,-0.76,0,0,0,0,0,0,0,0,0,false,Num201506
2015-07,2015,07,9.56,10.5,18.32,4.57,3.39,8.62,8.09,8.72,8.58,0.34,0,0,0,0,0,0,0,0,0,false,Num201507
2015-08,2015,08,9.53,10.65,17.55,4.47,3.75,7.96,8.32,9.43,9,0.39,0,0,0,0,0,0,0,0,0,false,Num201508
2015-09,2015,09,9.49,10.06,18.17,4.31,3.68,8.05,8.56,9.37,9.08,0.26,0,0,0,0,0,0,0,0,0,false,Num201509
2015-10,2015,10,9.93,10.39,18.25,4.51,3.73,9.48,8.74,9.59,9.06,0.71,0,0,0,0,0,0,0,0,0,false,Num201510
2015-11,2015,11,10.48,11.56,18.33,4.87,4.15,10.19,8.98,9.64,9.08,1.67,0,0,0,0,0,0,0,0,0,false,Num201511
2015-12,2015,12,10.67,12.03,18.31,5.36,4.46,10.16,9.23,9.5,9.25,2.11,0,0,0,0,0,0,0,0,0,true,Num201512
2016-01,2016,01,10.71,12.9,16.46,6.14,4.94,10.1,9.76,8.98,9.25,2.18,0,0,0,0,0,0,0,0,0,false,Num201601
2016-02,2016,02,10.36,13.19,14.88,6.29,5.83,8.4,10.13,8.88,9.28,2.88,0,0,0,0,0,0,0,0,0,false,Num201602
2016-03,2016,03,9.39,13.27,8.41,6.65,5.95,8.07,10.22,9.14,9.15,2.37,0,0,0,0,0,0,0,0,0,false,Num201603
2016-04,2016,04,9.28,13.4,7.01,6.23,5.42,7.98,11.31,8.84,9.14,3.55,0,0,0,0,0,0,0,0,0,false,Num201604
2016-05,2016,05,9.32,12.74,7.62,6.51,5.72,7.66,11.89,9.49,9.25,3.39,0,0,0,0,0,0,0,0,0,false,Num201605
2016-06,2016,06,8.84,12.83,7.37,6.03,5.45,6.34,11.79,8.12,9.15,3.08,0,0,0,0,0,0,0,0,0,false,Num201606
2016-07,2016,07,8.74,13.58,5.46,5.69,5.38,6.61,11.53,8.22,9.19,2.79,0,0,0,0,0,0,0,0,0,false,Num201607
2016-08,2016,08,8.97,13.92,5.48,5.68,5.33,7.19,11.73,8.44,9.37,2.61,0,0,0,0,0,0,0,0,0,false,Num201608
2016-09,2016,09,8.48,13.33,4.78,5.24,5.26,6.33,11.48,8.19,9.29,2.8,0,0,0,0,0,0,0,0,0,false,Num201609
2016-10,2016,10,7.87,12.41,4.45,4.7,5.02,5.31,11.36,7.59,9.2,2.46,0,0,0,0,0,0,0,0,0,false,Num201610
