referencia,ano,mes,variacao_geral,variacao_alimentacao,variacao_habitacao,variacao_artigos_residencia,variacao_vestuario,variacao_transporte,variacao_saude_cuidados_pessoais,variacao_despesas_pessoais,variacao_educacao,variacao_comunicacao,variacao_alimentacao_dec,variacao_habitacao_dec,variacao_artigos_residencia_dec,variacao_vestuario_dec,variacao_transporte_dec,variacao_saude_cuidados_pessoais_dec,variacao_despesas_pessoais_dec,variacao_educacao_dec,variacao_comunicacao_dec,consolidado_ano,identificador_ibge
2012-01,2012,01,0.56,0.86,0.53,0.16,0.07,0.69,0.3,0.71,0.39,0.21,0,0,0,0,0,0,0,0,0,false,Num201201
2012-02,2012,02,1.01,1.05,1.13,0.21,-0.17,0.36,1,1.59,6.03,0.04,0,0,0,0,0,0,0,0,0,false,Num201202
2012-03,2012,03,1.22,1.3,1.62,-0.19,-0.78,0.52,1.39,2.15,6.6,-0.32,0,0,0,0,0,0,0,0,0,false,Num201203
2012-04,2012,04,1.87,1.82,2.43,-0.98,0.2,0.62,2.36,4.43,6.64,0.14,0,0,0,0,0,0,0,0,0,false,Num201204
2012-05,2012,05,2.24,2.56,3.24,-0.81,1.09,0.04,3.04,5.05,6.63,-0.05,0,0,0,0,0,0,0,0,0,false,Num201205
2012-06,2012,06,2.32,3.26,3.53,-0.84,1.48,-1.14,3.43,5.55,6.7,-0.06,0,0,0,0,0,0,0,0,0,false,Num201206
2012-07,2012,07,2.76,4.19,4.09,-0.85,1.52,-1.17,3.8,6.51,6.82,0.1,0,0,0,0,0,0,0,0,0,false,Num201207
2012-08,2012,08,3.18,5.1,4.32,-0.46,1.71,-1.11,4.35,6.96,7.37,0.09,0,0,0,0,0,0,0,0,0,false,Num201208
2012-09,2012,09,3.77,6.43,5.06,-0.28,2.61,-1.18,4.69,7.75,7.48,0.13,0,0,0,0,0,0,0,0,0,false,Num201209
2012-10,2012,10,4.38,7.88,5.45,0.09,3.73,-0.94,5.19,7.86,7.53,0.43,0,0,0,0,0,0,0,0,0,false,Num201210
2012-11,2012,11,5.01,8.74,6.12,0.56,4.63,-0.27,5.53,8.43,7.58,0.74,0,0,0,0,0,0,0,0,0,false,Num201211
