referencia,ano,mes,Anomes,valor,consolidado
1952-01,1952,01,195201,1.19,false
1954-07,1954,07,195407,2.29,false
1956-08,1956,08,195608,3.7,false
1959-01,1959,01,195901,5.9,false
1960-10,1960,10,196010,9.44,false
1961-10,1961,10,196110,13.21,false
1963-01,1963,01,196301,21,false
1964-02,1964,02,196402,42,false
1964-03,1964,03,196403,42,false
1964-04,1964,04,196404,42,false
1964-05,1964,05,196405,42,false
1964-06,1964,06,196406,42,false
1964-07,1964,07,196407,42,false
1964-08,1964,08,196408,42,false
1964-09,1964,09,196409,42,false
1964-10,1964,10,196410,42,false
1964-11,1964,11,196411,42,false
1964-12,1964,12,196412,42,true
1965-01,1965,01,196501,42,false
1965-02,1965,02,196502,42,false
1965-03,1965,03,196503,66,false
1965-04,1965,04,196504,66,false
1965-05,1965,05,196505,66,false
1965-06,1965,06,196506,66,false
1965-07,1965,07,196507,66,false
1965-08,1965,08,196508,66,false
1965-09,1965,09,196509,66,false
1965-10,1965,10,196510,66,false
1965-11,1965,11,196511,66,false
1965-12,1965,12,196512,66,true
1966-01,1966,01,196601,66,false
1966-02,1966,02,196602,66,false
1966-03,1966,03,196603,84,false
1966-04,1966,04,196604,84,false
1966-05,1966,05,196605,84,false
1966-06,1966,06,196606,84,false
1966-07,1966,07,196607,84,false
1966-08,1966,08,196608,84,false
1966-09,1966,09,196609,84,false
1966-10,1966,10,196610,84,false
1966-11,1966,11,196611,84,false
1966-12,1966,12,196612,84,true
1967-01,1967,01,196701,84,false
1967-02,1967,02,196702,84,false
1967-03,1967,03,196703,105,false
1967-04,1967,04,196704,105,false
1967-05,1967,05,196705,105,false
1967-06,1967,06,196706,105,false
1967-07,1967,07,196707,105,false
1967-08,1967,08,196708,105,false
1967-09,1967,09,196709,105,false
1967-10,1967,10,196710,105,false
1967-11,1967,11,196711,105,false
1967-12,1967,12,196712,105,true
1968-01,1968,01,196801,105,false
1968-02,1968,02,196802,105,false
1968-03,1968,03,196803,129.6,false
1968-04,1968,04,196804,129.6,false
1968-05,1968,05,196805,129.6,false
1968-06,1968,06,196806,129.6,false
1968-07,1968,07,196807,129.6,false
1968-08,1968,08,196808,129.6,false
1968-09,1968,09,196809,129.6,false
1968-10,1968,10,196810,129.6,false
1968-11,1968,11,196811,129.6,false
1968-12,1968,12,196812,129.6,true
1969-01,1969,01,196901,129.6,false
1969-02,1969,02,196902,129.6,false
1969-03,1969,03,196903,129.6,false
1969-04,1969,04,196904,129.6,false
1969-05,1969,05,196905,156,false
1969-06,1969,06,196906,156,false
1969-07,1969,07,196907,156,false
1969-08,1969,08,196908,156,false
1969-09,1969,09,196909,156,false
1969-10,1969,10,196910,156,false
1969-11,1969,11,196911,156,false
1969-12,1969,12,196912,156,true
1970-01,1970,01,197001,156,false
1970-02,1970,02,197002,156,false
1970-03,1970,03,197003,156,false
1970-04,1970,04,197004,156,false
1970-05,1970,05,197005,187.2,false
1970-06,1970,06,197006,187.2,false
1970-07,1970,07,197007,187.2,false
1970-08,1970,08,197008,187.2,false
1970-09,1970,09,197009,187.2,false
1970-10,1970,10,197010,187.2,false
1970-11,1970,11,197011,187.2,false
1970-12,1970,12,197012,187.2,true
1971-01,1971,01,197101,187.2,false
1971-02,1971,02,197102,187.2,false
1971-03,1971,03,197103,187.2,false
1971-04,1971,04,197104,187.2,false
1971-05,1971,05,197105,225.6,false
1971-06,1971,06,197106,225.6,false
1971-07,1971,07,197107,225.6,false
1971-08,1971,08,197108,225.6,false
1971-09,1971,09,197109,225.6,false
1971-10,1971,10,197110,225.6,false
1971-11,1971,11,197111,225.6,false
1971-12,1971,12,197112,225.6,true
1972-01,1972,01,197201,225.6,false
1972-02,1972,02,197202,225.6,false
1972-03,1972,03,197203,225.6,false
1972-04,1972,04,197204,225.6,false
1972-05,1972,05,197205,268.8,false
1972-06,1972,06,197206,268.8,false
1972-07,1972,07,197207,268.8,false
1972-08,1972,08,197208,268.8,false
1972-09,1972,09,197209,268.8,false
1972-10,1972,10,197210,268.8,false
1972-11,1972,11,197211,268.8,false
1972-12,1972,12,197212,268.8,true
1973-01,1973,01,197301,268.8,false
1973-02,1973,02,197302,268.8,false
1973-03,1973,03,197303,268.8,false
1973-04,1973,04,197304,268.8,false
1973-05,1973,05,197305,312,false
1973-06,1973,06,197306,312,false
1973-07,1973,07,197307,312,false
1973-08,1973,08,197308,312,false
1973-09,1973,09,197309,312,false
1973-10,1973,10,197310,312,false
