mes_ano,variacao_mes,acumulado_ano
Jan/2003,2.47,2.47
Fev/2003,1.46,3.9661
Mar/2003,1.37,5.3904
Abr/2003,1.38,6.8448
Mai/2003,0.99,7.9025
Jun/2003,0,7.8378
Jul/2003,0.04,7.8809
Ago/2003,0.18,8.0751
Set/2003,0.82,8.9613
Out/2003,0.39,9.3863
Nov/2003,0.37,9.791
Dez/2003,0.54,10.3839
Jan/2004,0.83,0.83
Fev/2004,0.39,1.2232
Mar/2004,0.57,1.8002
Abri/2004,0.41,2.2176
Mai/2004,0.4,2.6265
Jun/2004,0.5,3.1396
Jul/2004,0.73,3.8925
Ago/2004,0.5,4.412
Set/2004,0.17,4.5895
Out/2004,0.17,4.7673
Nov/2004,0.44,5.2283
Dez/2004,0.86,6.1332
Jan/2005,0.57,0.57
Fev/2005,0.44,1.0125
Mar/2005,0.73,1.7499
Abri/2005,0.91,2.6758
Mai/2005,0.7,3.3946
Jun/2005,0,3.2808
Jul/2005,0.03,3.3118
Ago/2005,0,3.3118
Set/2005,0.15,3.4668
Out/2005,0.58,4.0669
Nov/2005,0.54,4.6288
Dez/2005,0.4,5.0474
Jan/2006,0.38,0.38
Fev/2006,0.23,0.6109
Mar/2006,0.27,0.8825
Abri/2006,0.12,1.0036
Mai/2006,0.13,1.1349
Jun/2006,0,1.0641
Jul/2006,0.11,1.1753
Ago/2006,0,1.155
Set/2006,0.16,1.3169
Out/2006,0.43,1.7525
Nov/2006,0.42,2.1799
Dez/2006,0.62,2.8134
Jan/2007,0.49,0.49
Fev/2007,0.42,0.912
Mar/2007,0.44,1.356
Abr/2007,0.26,1.6195
Mai/2007,0.26,1.8837
Jun/2007,0.31,2.1996
Jul/2007,0.32,2.5267
Ago/2007,0.59,3.1316
Set/2007,0.25,3.3893
Out/2007,0.3,3.6996
Nov/2007,0.43,4.1454
Dez/2007,0.97,5.1556
Jan/2008,0.69,0.69
Fev/2008,0.48,1.1733
Mar/2008,0.51,1.6893
Abr/2008,0.64,2.3401
Mai/2008,0.96,3.3225
