mes_ano,variacao_mes,acumulado_ano
Jan/04,0.76,0.76
Fev/04,0.61,1.3746
Mar/04,0.47,1.8511
Abr/04,0.37,2.2279
Mai/04,0.51,2.7493
Jun/04,0.71,3.4788
Jul/04,0.91,4.4205
Ago/04,0.69,5.141
Set/04,0.33,5.488
Out/04,0.44,5.9521
Nov/04,0.69,6.6832
Dez/04,0.86,7.6006
Jan/05,0.58,0.58
Fev/05,0.59,1.1734
Mar/05,0.61,1.7906
Abr/05,0.87,2.6762
Mai/05,0.49,3.1793
Jun/05,-0.02,3.1586
Jul/05,0.25,3.4165
Ago/05,0.17,3.5923
Set/05,0.35,3.9549
Out/05,0.75,4.7346
Nov/05,0.55,5.3106
Dez/05,0.36,5.6897
Jan/06,0.59,0.59
Fev/06,0.41,1.0024
Mar/06,0.43,1.4367
Abr/06,0.21,1.6497
Mai/06,0.1,1.7514
Jun/06,-0.21,1.5377
Jul/06,0.19,1.7306
Ago/06,0.05,1.7815
Set/06,0.21,1.9952
Out/06,0.33,2.3318
Nov/06,0.31,2.6491
Dez/06,0.48,3.1418
Jan/07,0.44,0.44
Fev/07,0.44,0.8819
Mar/07,0.37,1.2551
Abr/07,0.25,1.5083
Mai/07,0.28,1.7925
Jun/07,0.28,2.0775
Jul/07,0.24,2.3226
Ago/07,0.47,2.8034
Set/07,0.18,2.9884
Out/07,0.3,3.2975
Nov/07,0.38,3.6899
Dez/07,0.74,4.4572
Jan/08,0.54,0.54
Fev/08,0.49,1.0326
Mar/08,0.48,1.5176
Abr/08,0.55,2.0759
Mai/08,0.79,2.8823
Jun/08,0.74,3.6436
Jul/08,0.53,4.193
Ago/08,0.28,4.4847
Set/08,0.26,4.7564
Out/08,0.45,5.2278
Nov/08,0.36,5.6066
Dez/08,0.28,5.9023
Jan/09,0.48,0.48
Fev/09,0.55,1.0326
Mar/09,0.2,1.2347
Abr/09,0.48,1.7206
Mai/09,0.47,2.1987
Jun/09,0.36,2.5666
Jul/09,0.24,2.8128
Ago/09,0.15,2.967
Set/09,0.24,3.2141
Out/09,0.28,3.5031
Nov/09,0.41,3.9275
Dez/09,0.37,4.312
Jan/10,0.75,0.75
Fev/10,0.78,1.5358
Mar/10,0.52,2.0638
Abr/10,0.57,2.6456
Mai/10,0.43,3.087
Jun/10,0,3.087
Jul/10,0.01,3.0973
Ago/10,0.04,3.1385
Set/10,0.45,3.6026
Out/10,0.75,4.3797
Nov/10,0.83,5.246
Dez/10,0.63,5.909
Jan/11,0.83,0.83
Fev/11,0.8,1.6366
Mar/11,0.79,2.4396
Abr/11,0.77,3.2284
Mai/11,0.47,3.7135
Jun/11,0.15,3.8691
Jul/11,0.16,4.0353
Ago/11,0.37,4.4202
Set/11,0.53,4.9736
Out/11,0.43,5.425
Nov/11,0.52,5.9732
Dez/11,0.5,6.5031
Jan/12,0.56,0.56
Fev/12,0.45,1.0125
