ano_trimestre,valor
1º 2000,4.4
2º 2000,4
3º 2000,4.6
4º 2000,4.6
1º 2001,3.5
2º 2001,2.3
3º 2001,0.5
4º 2001,-0.5
1º 2002,0.5
2º 2002,2.3
3º 2002,4.2
4º 2002,5.2
1º 2003,2.7
2º 2003,0.8
3º 2003,0.6
4º 2003,0.6
1º 2004,3.9
2º 2004,6.3
3º 2004,6.6
4º 2004,6.2
1º 2005,4.2
2º 2005,4.5
3º 2005,2.1
4º 2005,2.2
1º 2006,4.3
2º 2006,2.3
3º 2006,4.5
4º 2006,4.8
1º 2007,5.2
2º 2007,6.5
3º 2007,5.9
4º 2007,6.6
1º 2008,6.2
2º 2008,6.3
3º 2008,7
4º 2008,1
1º 2009,-2.4
2º 2009,-2.2
3º 2009,-1.2
4º 2009,5.3
1º 2010,9.2
2º 2010,8.5
3º 2010,6.9
4º 2010,5.7
1º 2011,5.2
2º 2011,4.7
3º 2011,3.5
4º 2011,2.6
1º 2012,1.7
2º 2012,1
3º 2012,2.5
4º 2012,2.5
1º 2013,2.7
2º 2013,4
3º 2013,2.8
4º 2013,2.5
1º 2014,3.5
2º 2014,-0.4
3º 2014,-0.6
4º 2014,-0.2
1º 2015,-1.6
2º 2015,-2.7
3º 2015,-4.3
4º 2015,-5.5
1º 2016,-5.1
2º 2016,-3.2
3º 2016,-2.5
4º 2016,-2.3
1º 2017,0.3
2º 2017,0.8
3º 2017,1.6
4º 2017,2.6
1º 2018,1.9
2º 2018,1.6
3º 2018,2.1
4º 2018,1.6
1º 2019,0.9
2º 2019,1.2
3º 2019,1.1
4º 2019,1.7
1º 2020,0.4
2º 2020,-10.1
3º 2020,-3
4º 2020,-0.4
1º 2021,1.7
2º 2021,12.4
3º 2021,4.4
4º 2021,2.1
1º 2022,2.4
2º 2022,3.7
3º 2022,3.6
4º 2022,1.9
1º 2023,4
2º 2023,3.4
