referencia,valor,modo_venda,kg
1990-01,0.00012818,atacado,30
1990-02,0.00021071,atacado,30
1990-03,0.00024399,atacado,30
1990-04,0.0002492,atacado,30
1990-05,0.00028931,atacado,30
1990-06,0.00031895,atacado,30
1990-07,0.00034855,atacado,30
1990-08,0.00038081,atacado,30
1990-09,0.00046974,atacado,30
1990-10,0.001,atacado,30
1990-11,0.001,atacado,30
1990-12,0.001,atacado,30
1991-01,0.002,atacado,30
1991-02,0.002,atacado,30
1991-03,0.002,atacado,30
1991-04,0.002,atacado,30
1991-05,0.002,atacado,30
1991-06,0.002,atacado,30
1991-07,0.002,atacado,30
1991-08,0.003,atacado,30
1991-09,0.003,atacado,30
1991-10,0.005,atacado,30
1991-11,0.005,atacado,30
1991-12,0.005,atacado,30
1992-01,0.007,atacado,30
1992-02,0.008,atacado,30
1992-03,0.008,atacado,30
1992-04,0.009,atacado,30
1992-05,0.011,atacado,30
1992-06,0.015,atacado,30
1992-07,0.018,atacado,30
1992-08,0.024,atacado,30
1992-09,0.033,atacado,30
1992-10,0.041,atacado,30
1992-11,0.05,atacado,30
1992-12,0.06,atacado,30
1993-01,0.075,atacado,30
1993-02,0.084,atacado,30
1993-03,0.102,atacado,30
1993-04,0.123,atacado,30
1993-05,0.17,atacado,30
1993-06,0.23,atacado,30
1993-07,0.312,atacado,30
1993-08,0.453,atacado,30
1993-09,0.612,atacado,30
1993-10,0.823,atacado,30
1993-11,1.156,atacado,30
1993-12,1.753,atacado,30
1994-01,2.48,atacado,30
1994-02,3.256,atacado,30
1994-03,4.173,atacado,30
1994-04,5.672,atacado,30
1994-05,8.479,atacado,30
1994-06,13.583,atacado,30
1994-07,16.93,atacado,30
1994-08,16.48,atacado,30
1994-09,17.12,atacado,30
1994-10,17.11,atacado,30
1994-11,17.27,atacado,30
1994-12,17.13,atacado,30
1995-01,17.21,atacado,30
1995-02,16.73,atacado,30
1995-03,16.15,atacado,30
1995-04,15.37,atacado,30
1995-05,15.08,atacado,30
1995-06,15.21,atacado,30
1995-07,15.53,atacado,30
1995-08,16.22,atacado,30
1995-09,16.79,atacado,30
1995-10,16.79,atacado,30
1995-11,17.71,atacado,30
1995-12,18.04,atacado,30
1996-01,18,atacado,30
1996-02,18.24,atacado,30
1996-03,17.86,atacado,30
1996-04,17.1,atacado,30
1996-05,17.16,atacado,30
1996-06,17.12,atacado,30
1996-07,17.17,atacado,30
1996-08,17.08,atacado,30
1996-09,17.63,atacado,30
1996-10,18.58,atacado,30
1996-11,18.52,atacado,30
1996-12,18.99,atacado,30
1997-01,19.35,atacado,30
1997-02,19.17,atacado,30
1997-03,18.86,atacado,30
1997-04,18.35,atacado,30
1997-05,17.77,atacado,30
1997-06,18.17,atacado,30
1997-07,18.28,atacado,30
1997-08,18.63,atacado,30
1997-09,19.63,atacado,30
1997-10,20.74,atacado,30
1997-11,21.96,atacado,30
1997-12,22.4,atacado,30
1998-01,22.94,atacado,30
1998-02,22.25,atacado,30
1998-03,21.46,atacado,30
1998-04,21.18,atacado,30
1998-05,23.21,atacado,30
1998-06,25.21,atacado,30
1998-07,25.14,atacado,30
1998-08,25.43,atacado,30
1998-09,26.92,atacado,30
1998-10,27.12,atacado,30
1998-11,26.87,atacado,30
1998-12,26.28,atacado,30
1999-01,26.62,atacado,30
1999-02,27.84,atacado,30
1999-03,26.06,atacado,30
