referencia,valor,modo_venda,kg
1990-01,0.000001324,produtor,1
1990-02,0.000002633,produtor,1
1990-03,0.000005225,produtor,1
1990-04,0.000005116,produtor,1
1990-05,0.000005411,produtor,1
1990-06,0.00000552,produtor,1
1990-07,0.000005749,produtor,1
1990-08,0.000006349,produtor,1
1990-09,0.000006964,produtor,1
1990-10,0.000007778,produtor,1
1990-11,0.000008549,produtor,1
1990-12,0.000009625,produtor,1
1991-01,0.000012222,produtor,1
1991-02,0.000016269,produtor,1
1991-03,0.000017636,produtor,1
1991-04,0.000018309,produtor,1
1991-05,0.000019425,produtor,1
1991-06,0.000022207,produtor,1
1991-07,0.000025778,produtor,1
1991-08,0.000029109,produtor,1
1991-09,0.000033189,produtor,1
1991-10,0.000038833,produtor,1
1991-11,0.000048625,produtor,1
1991-12,0.000061124,produtor,1
1992-01,0.000070858,produtor,1
1992-02,0.000087665,produtor,1
1992-03,0.00011814,produtor,1
1992-04,0.00015799,produtor,1
1992-05,0.00019638,produtor,1
1992-06,0.00024721,produtor,1
1992-07,0.00028692,produtor,1
1992-08,0.00031527,produtor,1
1992-09,0.0003664,produtor,1
1992-10,0.00044232,produtor,1
1992-11,0.00049688,produtor,1
1992-12,0.00058694,produtor,1
1993-01,0.00078119,produtor,1
1993-02,0.0011417,produtor,1
1993-03,0.0015866,produtor,1
1993-04,0.0022626,produtor,1
1993-05,0.0032745,produtor,1
1993-06,0.0044156,produtor,1
1993-07,0.01,produtor,1
1993-08,0.01,produtor,1
1993-09,0.01,produtor,1
1993-10,0.01,produtor,1
1993-11,0.01,produtor,1
1993-12,0.02,produtor,1
1994-01,0.02,produtor,1
1994-02,0.03,produtor,1
1994-03,0.05,produtor,1
1994-04,0.07,produtor,1
1994-05,0.11,produtor,1
1994-06,0.16,produtor,1
1994-07,0.19,produtor,1
1994-08,0.21,produtor,1
1994-09,0.22,produtor,1
1994-10,0.23,produtor,1
1994-11,0.24,produtor,1
1994-12,0.24,produtor,1
1995-01,0.23,produtor,1
1995-02,0.23,produtor,1
1995-03,0.23,produtor,1
1995-04,0.24,produtor,1
1995-05,0.25,produtor,1
1995-06,0.25,produtor,1
1995-07,0.25,produtor,1
1995-08,0.24,produtor,1
1995-09,0.24,produtor,1
1995-10,0.23,produtor,1
1995-11,0.23,produtor,1
1995-12,0.22,produtor,1
1996-01,0.21,produtor,1
1996-02,0.21,produtor,1
1996-03,0.21,produtor,1
1996-04,0.22,produtor,1
1996-05,0.23,produtor,1
1996-06,0.25,produtor,1
1996-07,0.26,produtor,1
1996-08,0.27,produtor,1
1996-09,0.27,produtor,1
1996-10,0.27,produtor,1
1996-11,0.26,produtor,1
1996-12,0.24,produtor,1
1997-01,0.23,produtor,1
1997-02,0.23,produtor,1
1997-03,0.23,produtor,1
1997-04,0.25,produtor,1
1997-05,0.25,produtor,1
1997-06,0.26,produtor,1
1997-07,0.26,produtor,1
1997-08,0.26,produtor,1
1997-09,0.24,produtor,1
1997-10,0.23,produtor,1
1997-11,0.22,produtor,1
1997-12,0.21,produtor,1
1998-01,0.2,produtor,1
1998-02,0.2,produtor,1
1998-03,0.2,produtor,1
1998-04,0.22,produtor,1
1998-05,0.24,produtor,1
1998-06,0.25,produtor,1
1998-07,0.26,produtor,1
1998-08,0.26,produtor,1
1998-09,0.25,produtor,1
1998-10,0.24,produtor,1
1998-11,0.22,produtor,1
1998-12,0.21,produtor,1
1999-01,0.21,produtor,1
1999-02,0.21,produtor,1
1999-03,0.22,produtor,1
1999-04,0.24,produtor,1
1999-05,0.24,produtor,1
