referencia,valor,modo_venda,tonelada
1990-01,0.000055407,produtor,1
1990-02,0.000092044,produtor,1
1990-03,0.00017342,produtor,1
1990-04,0.0002101,produtor,1
1990-05,0.0002076,produtor,1
1990-06,0.00020288,produtor,1
1990-07,0.00020947,produtor,1
1990-08,0.00024892,produtor,1
1990-09,0.000295,produtor,1
1990-10,0.0003475,produtor,1
1990-11,0.00042033,produtor,1
1990-12,0.001,produtor,1
1991-01,0.001,produtor,1
1991-02,0.001,produtor,1
1991-03,0.001,produtor,1
1991-04,0.001,produtor,1
1991-05,0.001,produtor,1
1991-06,0.001,produtor,1
1991-07,0.001,produtor,1
1991-08,0.001,produtor,1
1991-09,0.001,produtor,1
1991-10,0.002,produtor,1
1991-11,0.002,produtor,1
1991-12,0.003,produtor,1
1992-01,0.004,produtor,1
1992-02,0.005,produtor,1
1992-03,0.006,produtor,1
1992-04,0.008,produtor,1
1992-05,0.009,produtor,1
1992-06,0.011,produtor,1
1992-07,0.014,produtor,1
1992-08,0.018,produtor,1
1992-09,0.021,produtor,1
1992-10,0.026,produtor,1
1992-11,0.028,produtor,1
1992-12,0.035,produtor,1
1993-01,0.045,produtor,1
1993-02,0.06,produtor,1
1993-03,0.074,produtor,1
1993-04,0.094,produtor,1
1993-05,0.117,produtor,1
1993-06,0.172,produtor,1
1993-07,0.222,produtor,1
1993-08,0.292,produtor,1
1993-09,0.402,produtor,1
1993-10,0.566,produtor,1
1993-11,0.766,produtor,1
1993-12,1.046,produtor,1
1994-01,1.479,produtor,1
1994-02,2.129,produtor,1
1994-03,3.288,produtor,1
1994-04,4.58,produtor,1
1994-05,5.857,produtor,1
1994-06,8.506,produtor,1
1994-07,10.4,produtor,1
1994-08,10.4,produtor,1
1994-09,10.45,produtor,1
1994-10,10.47,produtor,1
1994-11,10.43,produtor,1
1994-12,10.36,produtor,1
1995-01,10.78,produtor,1
1995-02,10.86,produtor,1
1995-03,10.97,produtor,1
1995-04,11.12,produtor,1
1995-05,11.36,produtor,1
1995-06,11.28,produtor,1
1995-07,11.64,produtor,1
1995-08,11.7,produtor,1
1995-09,12.01,produtor,1
1995-10,12.74,produtor,1
1995-11,13.09,produtor,1
1995-12,13.08,produtor,1
1996-01,13.18,produtor,1
1996-02,13.33,produtor,1
1996-03,13.55,produtor,1
1996-04,14.2,produtor,1
1996-05,14.96,produtor,1
1996-06,15.31,produtor,1
1996-07,15.29,produtor,1
1996-08,15.67,produtor,1
1996-09,15.43,produtor,1
1996-10,15.16,produtor,1
1996-11,15.33,produtor,1
1996-12,15.64,produtor,1
1997-01,15.5,produtor,1
1997-02,15.56,produtor,1
1997-03,15.37,produtor,1
1997-04,15.37,produtor,1
1997-05,15.53,produtor,1
1997-06,16.56,produtor,1
1997-07,16.77,produtor,1
1997-08,16.76,produtor,1
1997-09,16.78,produtor,1
1997-10,16.77,produtor,1
1997-11,16.81,produtor,1
1997-12,16.79,produtor,1
1998-01,16.78,produtor,1
1998-02,16.86,produtor,1
1998-03,16.83,produtor,1
1998-04,16.75,produtor,1
1998-05,16.74,produtor,1
1998-06,16.76,produtor,1
1998-07,16.67,produtor,1
1998-08,16.36,produtor,1
1998-09,16.42,produtor,1
1998-10,16.49,produtor,1
1998-11,16.67,produtor,1
1998-12,16.18,produtor,1
1999-01,16.54,produtor,1
1999-02,16.42,produtor,1
1999-03,16.51,produtor,1
1999-04,15.87,produtor,1
1999-05,14.69,produtor,1
1999-06,14.12,produtor,1
1999-07,13.31,produtor,1
1999-08,12.57,produtor,1
1999-09,12.13,produtor,1
1999-10,12.43,produtor,1
1999-11,12.53,produtor,1
1999-12,12.86,produtor,1
2000-01,13.44,produtor,1
2000-02,13.89,produtor,1
2000-03,13.52,produtor,1
2000-04,14.19,produtor,1
2000-05,15.1,produtor,1
2000-06,14.82,produtor,1
2000-07,14.91,produtor,1
2000-08,16.78,produtor,1
2000-09,18.31,produtor,1
2000-10,18.94,produtor,1
2000-11,18.89,produtor,1
2000-12,18.34,produtor,1
2001-01,18.91,produtor,1
2001-02,19.11,produtor,1
2001-03,18.81,produtor,1
2001-04,18.8,produtor,1
2001-05,18.82,produtor,1
2001-06,18.94,produtor,1
2001-07,20.28,produtor,1
2001-08,20.98,produtor,1
2001-09,22.04,produtor,1
2001-10,22.18,produtor,1
2001-11,21.27,produtor,1
2001-12,22.45,produtor,1
2002-01,22.53,produtor,1
2002-02,22.5,produtor,1
2002-03,22.25,produtor,1
2002-04,21.98,produtor,1
2002-05,20.51,produtor,1
2002-06,19.04,produtor,1
2002-07,17.96,produtor,1
2002-08,18.6,produtor,1
2002-09,19.97,produtor,1
2002-10,21.49,produtor,1
2002-11,22.14,produtor,1
2002-12,22.63,produtor,1
2003-01,23.3,produtor,1
2003-02,24.14,produtor,1
2003-03,24.83,produtor,1
2003-04,24.89,produtor,1
2003-05,26.21,produtor,1
2003-06,28.52,produtor,1
2003-07,26.6,produtor,1
2003-08,25.63,produtor,1
2003-09,27.39,produtor,1
2003-10,28.02,produtor,1
2003-11,26.662,produtor,1
2003-12,26.254,produtor,1
2004-01,26.015,produtor,1
2004-02,25.045,produtor,1
2004-03,24.893,produtor,1
2004-04,24.903,produtor,1
2004-05,23.976,produtor,1
2004-06,23.86,produtor,1
2004-07,24.589,produtor,1
2004-08,26.087,produtor,1
2004-09,26.452,produtor,1
2004-10,27.031,produtor,1
2004-11,27.97,produtor,1
2004-12,28.46,produtor,1
2005-01,28.006,produtor,1
2005-02,28.218,produtor,1
2005-03,27.781,produtor,1
2005-04,27.868,produtor,1
2005-05,27.89,produtor,1
2005-06,27.7,produtor,1
2005-07,28.057,produtor,1
2005-08,28.654,produtor,1
2005-09,28.61,produtor,1
2005-10,28.546,produtor,1
2005-11,28.751,produtor,1
2005-12,28.81,produtor,1
2006-01,29.027,produtor,1
2006-02,29.227,produtor,1
2006-03,29.404,produtor,1
2006-04,29.221,produtor,1
2006-05,35.283,produtor,1
2006-06,35.819,produtor,1
2006-07,37.095,produtor,1
2006-08,38.096,produtor,1
2006-09,37.145,produtor,1
2006-10,36.369,produtor,1
2006-11,35.939,produtor,1
2006-12,35.91,produtor,1
2007-01,35.574,produtor,1
2007-02,34.63,produtor,1
2007-03,34.189,produtor,1
2007-04,34.158,produtor,1
2007-05,32.63,produtor,1
2007-06,29.544,produtor,1
2007-07,27.931,produtor,1
2007-08,27.859,produtor,1
2007-09,28.231,produtor,1
2007-10,27.944,produtor,1
2007-11,27.455,produtor,1
2007-12,28.138,produtor,1
2008-01,28.536,produtor,1
2008-02,28.48,produtor,1
2008-03,28.616,produtor,1
2008-04,28.172,produtor,1
2008-05,28.128,produtor,1
2008-06,27.684,produtor,1
2008-07,26.384,produtor,1
2008-08,25.981,produtor,1
2008-09,26.78,produtor,1
2008-10,27.786,produtor,1
2008-11,29.184,produtor,1
2008-12,29.321,produtor,1
2009-01,29.509,produtor,1
2009-02,29.183,produtor,1
2009-03,29.253,produtor,1
2009-04,28.842,produtor,1
2009-05,28.576,produtor,1
2009-06,28.902,produtor,1
2009-07,29.483,produtor,1
2009-08,30.329,produtor,1
2009-09,30.54,produtor,1
2009-10,31.304,produtor,1
2009-11,31.824,produtor,1
2009-12,32.218,produtor,1
2010-01,32.51,produtor,1
2010-02,32.59,produtor,1
2010-03,33.63,produtor,1
2010-04,34.6,produtor,1
2010-05,34.21,produtor,1
2010-06,34.43,produtor,1
2010-07,34.77,produtor,1
2010-08,34.85,produtor,1
2010-09,35.34,produtor,1
2010-10,36.51,produtor,1
2010-11,37.38,produtor,1
2010-12,39.21,produtor,1
2011-01,39.85,produtor,1
2011-02,41.11,produtor,1
2011-03,41.4,produtor,1
2011-04,42.27,produtor,1
2011-05,44.7,produtor,1
2011-06,45.21,produtor,1
2011-07,47.98,produtor,1
2011-08,49.68,produtor,1
2011-09,51.12,produtor,1
2011-10,52.28,produtor,1
2011-11,52.68,produtor,1
2011-12,53.17,produtor,1
2012-01,55.18,produtor,1
2012-02,54.44,produtor,1
2012-03,52.08,produtor,1
2012-04,51.97,produtor,1
2012-05,52.491,produtor,1
2012-06,53.2,produtor,1
2012-07,53.417,produtor,1
2012-08,54.098,produtor,1
2012-09,54.601,produtor,1
2012-10,53.871,produtor,1
2012-11,53.758,produtor,1
2012-12,53.255,produtor,1
2013-01,52.945,produtor,1
2013-02,53.076,produtor,1
2013-03,53.162,produtor,1
2013-04,51.381,produtor,1
2013-05,50.766,produtor,1
2013-06,49.807,produtor,1
2013-07,50.366,produtor,1
2013-08,50.813,produtor,1
2013-09,50.49,produtor,1
2013-10,52.052,produtor,1
2013-11,52.349,produtor,1
2013-12,52.167,produtor,1
2014-01,53.071,produtor,1
2014-02,53.178,produtor,1
2014-03,52.778,produtor,1
2014-04,52.752,produtor,1
2014-05,52.923,produtor,1
2014-06,51.972,produtor,1
2014-07,52.175,produtor,1
2014-08,52.038,produtor,1
2014-09,52.034,produtor,1
2014-10,52.224,produtor,1
2014-11,52.217,produtor,1
2014-12,51.834,produtor,1
2015-01,51.955,produtor,1
2015-02,52.59,produtor,1
2015-03,52.51,produtor,1
2015-04,53.175,produtor,1
2015-05,54.077,produtor,1
2015-06,53.97,produtor,1
2015-07,53.747,produtor,1
2015-08,54.263,produtor,1
2015-09,54.967,produtor,1
2015-10,56.265,produtor,1
2015-11,58.881,produtor,1
2015-12,60.348,produtor,1
2016-01,60.481,produtor,1
2016-02,60.734,produtor,1
2016-03,60.581,produtor,1
2016-04,65.456,produtor,1
2016-05,66.398,produtor,1
2016-06,65.785,produtor,1
2016-07,66.804,produtor,1
2016-08,67.194,produtor,1
2016-09,67.241,produtor,1
2016-10,68.017,produtor,1
2016-11,68.622,produtor,1
2016-12,69.424,produtor,1
2017-01,70.016,produtor,1
2017-02,69.887,produtor,1
2017-03,69.551,produtor,1
2017-04,71.475,produtor,1
2017-05,70.863,produtor,1
2017-06,69.998,produtor,1
2017-07,67.618,produtor,1
2017-08,68.08,produtor,1
2017-09,66.87,produtor,1
2017-10,65.867,produtor,1
2017-11,65.379,produtor,1
2017-12,64.472,produtor,1
2018-01,66.987,produtor,1
2018-02,67.292,produtor,1
2018-03,67.465,produtor,1
2018-04,66.401,produtor,1
2018-05,63.287,produtor,1
2018-06,63.955,produtor,1
2018-07,66.322,produtor,1
2018-08,68.038,produtor,1
2018-09,67.052,produtor,1
2018-10,67.034,produtor,1
2018-11,68.041,produtor,1
2018-12,67.601,produtor,1
2019-01,67.297,produtor,1
2019-02,65.679,produtor,1
2019-03,64.97,produtor,1
2019-04,64.981,produtor,1
2019-05,65.972,produtor,1
2019-06,68.344,produtor,1
2019-07,67.916,produtor,1
2019-08,66.077,produtor,1
2019-09,65.855,produtor,1
2019-10,66.373,produtor,1
2019-11,66.515,produtor,1
2019-12,66.734,produtor,1
2020-01,67.628,produtor,1
2020-02,70.015,produtor,1
2020-03,70.638,produtor,1
2020-04,71.882,produtor,1
2020-05,73.718,produtor,1
2020-06,73.228,produtor,1
2020-07,74.497,produtor,1
2020-08,76.768,produtor,1
2020-09,76.886,produtor,1
2020-10,76.533,produtor,1
2020-11,74.486,produtor,1
2020-12,76.96,produtor,1
2021-01,76.894,produtor,1
2021-02,77.4,produtor,1
2021-03,77.948,produtor,1
2021-04,81.695,produtor,1
2021-05,95.148,produtor,1
2021-06,99.784,produtor,1
2021-07,102.472,produtor,1
2021-08,103.166,produtor,1
2021-09,105.018,produtor,1
2021-10,105.07,produtor,1
2021-11,106.549,produtor,1
2021-12,109.689,produtor,1
2022-01,111.129,produtor,1
2022-02,111.266,produtor,1
2022-03,110.994,produtor,1
2022-04,110.849,produtor,1
2022-05,118.325,produtor,1
2022-06,122.031,produtor,1
2022-07,121.906,produtor,1
2022-08,120.414,produtor,1
2022-09,117.995,produtor,1
2022-10,114.756,produtor,1
2022-11,115.608,produtor,1
2022-12,116.407,produtor,1
2023-01,115.77,produtor,1
2023-02,118.632,produtor,1
2023-03,119.006,produtor,1
2023-04,119.841,produtor,1
2023-05,122.643,produtor,1
2023-06,122.573,produtor,1
2023-07,120.722,produtor,1
2023-08,117.152,produtor,1
