referencia,valor,modo_venda,kg
1990-01,0.000008589,atacado,1
1990-02,0.000014778,atacado,1
1990-03,0.000029873,atacado,1
1990-04,0.000026484,atacado,1
1990-05,0.000028735,atacado,1
1990-06,0.000036284,atacado,1
1990-07,0.000039636,atacado,1
1990-08,0.000044924,atacado,1
1990-09,0.000058538,atacado,1
1990-10,0.000057964,atacado,1
1990-11,0.000055451,atacado,1
1990-12,0.000055927,atacado,1
1991-01,0.000070356,atacado,1
1991-02,0.000094713,atacado,1
1991-03,0.000097276,atacado,1
1991-04,0.00011024,atacado,1
1991-05,0.00011621,atacado,1
1991-06,0.00012755,atacado,1
1991-07,0.00016948,atacado,1
1991-08,0.00021393,atacado,1
1991-09,0.00023348,atacado,1
1991-10,0.0003371,atacado,1
1991-11,0.0003836,atacado,1
1991-12,0.00039696,atacado,1
1992-01,0.001,atacado,1
1992-02,0.001,atacado,1
1992-03,0.001,atacado,1
1992-04,0.001,atacado,1
1992-05,0.001,atacado,1
1992-06,0.001,atacado,1
1992-07,0.001,atacado,1
1992-08,0.002,atacado,1
1992-09,0.003,atacado,1
1992-10,0.004,atacado,1
1992-11,0.004,atacado,1
1992-12,0.005,atacado,1
1993-01,0.006,atacado,1
1993-02,0.008,atacado,1
1993-03,0.01,atacado,1
1993-04,0.014,atacado,1
1993-05,0.016,atacado,1
1993-06,0.019,atacado,1
1993-07,0.031,atacado,1
1993-08,0.047,atacado,1
1993-09,0.062,atacado,1
1993-10,0.072,atacado,1
1993-11,0.093,atacado,1
1993-12,0.133,atacado,1
1994-01,0.175,atacado,1
1994-02,0.275,atacado,1
1994-03,0.388,atacado,1
1994-04,0.517,atacado,1
1994-05,0.61,atacado,1
1994-06,1.234,atacado,1
1994-07,1.34,atacado,1
1994-08,1.39,atacado,1
1994-09,1.34,atacado,1
1994-10,1.54,atacado,1
1994-11,1.73,atacado,1
1994-12,1.55,atacado,1
1995-01,1.34,atacado,1
1995-02,1.29,atacado,1
1995-03,1.27,atacado,1
1995-04,1.25,atacado,1
1995-05,1.16,atacado,1
1995-06,1.16,atacado,1
1995-07,1.25,atacado,1
1995-08,1.31,atacado,1
1995-09,1.27,atacado,1
1995-10,1.28,atacado,1
1995-11,1.32,atacado,1
1995-12,1.25,atacado,1
1996-01,1.22,atacado,1
1996-02,1.22,atacado,1
1996-03,1.11,atacado,1
1996-04,1.13,atacado,1
1996-05,1.08,atacado,1
1996-06,1.08,atacado,1
1996-07,1.19,atacado,1
1996-08,1.24,atacado,1
1996-09,1.24,atacado,1
1996-10,1.26,atacado,1
1996-11,1.2,atacado,1
1996-12,1.17,atacado,1
1997-01,1.16,atacado,1
1997-02,1.15,atacado,1
1997-03,1.18,atacado,1
1997-04,1.26,atacado,1
1997-05,1.22,atacado,1
1997-06,1.24,atacado,1
1997-07,1.3,atacado,1
1997-08,1.3,atacado,1
1997-09,1.26,atacado,1
1997-10,1.31,atacado,1
1997-11,1.34,atacado,1
1997-12,1.33,atacado,1
1998-01,1.34,atacado,1
1998-02,1.34,atacado,1
1998-03,1.32,atacado,1
1998-04,1.33,atacado,1
1998-05,1.33,atacado,1
1998-06,1.39,atacado,1
1998-07,1.42,atacado,1
