referencia,valor,modo_venda,kg
1990-01,0.000013775,atacado,1
1990-02,0.000021095,atacado,1
1990-03,0.000036185,atacado,1
1990-04,0.000037349,atacado,1
1990-05,0.000041818,atacado,1
1990-06,0.0001,atacado,1
1990-07,0.0001,atacado,1
1990-08,0.0001,atacado,1
1990-09,0.0001,atacado,1
1990-10,0.0001,atacado,1
1990-11,0.0001,atacado,1
1990-12,0.0001,atacado,1
1991-01,0.0001,atacado,1
1991-02,0.0001,atacado,1
1991-03,0.0001,atacado,1
1991-04,0.0001,atacado,1
1991-05,0.0002,atacado,1
1991-06,0.0002,atacado,1
1991-07,0.0002,atacado,1
1991-08,0.0003,atacado,1
1991-09,0.0004,atacado,1
1991-10,0.0005,atacado,1
1991-11,0.0006,atacado,1
1991-12,0.0006,atacado,1
1992-01,0.0009,atacado,1
1992-02,0.0009,atacado,1
1992-03,0.001,atacado,1
1992-04,0.0013,atacado,1
1992-05,0.0015,atacado,1
1992-06,0.0016,atacado,1
1992-07,0.002,atacado,1
1992-08,0.0029,atacado,1
1992-09,0.0039,atacado,1
1992-10,0.0051,atacado,1
1992-11,0.0054,atacado,1
1992-12,0.007,atacado,1
1993-01,0.0096,atacado,1
1993-02,0.0111,atacado,1
1993-03,0.0135,atacado,1
1993-04,0.0176,atacado,1
1993-05,0.0218,atacado,1
1993-06,0.0267,atacado,1
1993-07,0.0389,atacado,1
1993-08,0.0604,atacado,1
1993-09,0.0855,atacado,1
1993-10,0.1143,atacado,1
1993-11,0.1454,atacado,1
1993-12,0.2052,atacado,1
1994-01,0.2805,atacado,1
1994-02,0.3812,atacado,1
1994-03,0.5441,atacado,1
1994-04,0.7905,atacado,1
1994-05,0.9623,atacado,1
1994-06,1.6203,atacado,1
1994-07,1.76,atacado,1
1994-08,1.92,atacado,1
1994-09,1.98,atacado,1
1994-10,2.48,atacado,1
1994-11,2.79,atacado,1
1994-12,2.69,atacado,1
1995-01,2.59,atacado,1
1995-02,2.43,atacado,1
1995-03,2.28,atacado,1
1995-04,2.19,atacado,1
1995-05,2.07,atacado,1
1995-06,2.03,atacado,1
1995-07,2.17,atacado,1
1995-08,2.26,atacado,1
1995-09,2.23,atacado,1
1995-10,2.25,atacado,1
1995-11,2.31,atacado,1
1995-12,2.28,atacado,1
1996-01,2.3,atacado,1
1996-02,2.24,atacado,1
1996-03,2.11,atacado,1
1996-04,2.09,atacado,1
1996-05,1.98,atacado,1
1996-06,1.94,atacado,1
1996-07,2.11,atacado,1
1996-08,2.14,atacado,1
1996-09,2.13,atacado,1
1996-10,2.21,atacado,1
1996-11,2.19,atacado,1
1996-12,2.17,atacado,1
1997-01,2.18,atacado,1
1997-02,2.2,atacado,1
1997-03,2.27,atacado,1
1997-04,2.24,atacado,1
1997-05,2.2,atacado,1
1997-06,2.23,atacado,1
1997-07,2.25,atacado,1
1997-08,2.2,atacado,1
1997-09,2.21,atacado,1
1997-10,2.26,atacado,1
1997-11,2.26,atacado,1
1997-12,2.25,atacado,1
1998-01,2.31,atacado,1
1998-02,2.27,atacado,1
1998-03,2.26,atacado,1
1998-04,2.27,atacado,1
1998-05,2.25,atacado,1
1998-06,2.23,atacado,1
1998-07,2.24,atacado,1
1998-08,2.26,atacado,1
1998-09,2.33,atacado,1
1998-10,2.32,atacado,1
1998-11,2.34,atacado,1
1998-12,2.37,atacado,1
1999-01,2.4,atacado,1
1999-02,2.51,atacado,1
1999-03,2.5,atacado,1
1999-04,2.44,atacado,1
1999-05,2.35,atacado,1
1999-06,2.32,atacado,1
1999-07,2.47,atacado,1
1999-08,2.51,atacado,1
1999-09,2.62,atacado,1
1999-10,2.81,atacado,1
1999-11,2.95,atacado,1
1999-12,2.99,atacado,1
2000-01,3.12,atacado,1
2000-02,3.12,atacado,1
2000-03,2.92,atacado,1
2000-04,2.89,atacado,1
2000-05,2.74,atacado,1
2000-06,2.79,atacado,1
2000-07,2.85,atacado,1
2000-08,2.98,atacado,1
2000-09,3.03,atacado,1
2000-10,3.05,atacado,1
2000-11,3.07,atacado,1
2000-12,3.05,atacado,1
2001-01,3.04,atacado,1
2001-02,3,atacado,1
2001-03,3.04,atacado,1
2001-04,3.14,atacado,1
2001-05,3.1,atacado,1
2001-06,3.05,atacado,1
2001-07,3.19,atacado,1
2001-08,3.13,atacado,1
2001-09,3.14,atacado,1
2001-10,3.34,atacado,1
2001-11,3.43,atacado,1
2001-12,3.48,atacado,1
2002-01,3.49,atacado,1
2002-02,3.44,atacado,1
2002-03,3.5,atacado,1
2002-04,3.34,atacado,1
2002-05,3.23,atacado,1
2002-06,3.17,atacado,1
2002-07,3.18,atacado,1
2002-08,3.44,atacado,1
2002-09,3.52,atacado,1
2002-10,3.62,atacado,1
2002-11,3.91,atacado,1
2002-12,4,atacado,1
2003-01,4.07,atacado,1
2003-02,4.01,atacado,1
2003-03,3.95,atacado,1
2003-04,3.85,atacado,1
2003-05,3.78,atacado,1
2003-06,3.65,atacado,1
2003-07,3.84,atacado,1
2003-08,4,atacado,1
2003-09,4.15,atacado,1
2003-10,4.2,atacado,1
2003-11,4.4317,atacado,1
2003-12,4.4785,atacado,1
2004-01,4.6066,atacado,1
2004-02,4.5046,atacado,1
2004-03,4.3231,atacado,1
2004-04,4.0779,atacado,1
2004-05,4.1888,atacado,1
2004-06,4.1826,atacado,1
2004-07,4.2286,atacado,1
2004-08,4.3186,atacado,1
2004-09,4.3828,atacado,1
2004-10,4.4244,atacado,1
2004-11,4.4923,atacado,1
2004-12,4.5502,atacado,1
2005-01,4.4443,atacado,1
2005-02,4.379,atacado,1
2005-03,4.2673,atacado,1
2005-04,4.1708,atacado,1
2005-05,3.9944,atacado,1
2005-06,4.0023,atacado,1
2005-07,3.9394,atacado,1
2005-08,3.9844,atacado,1
2005-09,4.0088,atacado,1
2005-10,4.3819,atacado,1
2005-11,4.302,atacado,1
2005-12,4.2362,atacado,1
2006-01,4.1985,atacado,1
2006-02,4.2021,atacado,1
2006-03,4.0108,atacado,1
2006-04,4.0446,atacado,1
2006-05,4.0498,atacado,1
2006-06,4.0882,atacado,1
2006-07,4.0719,atacado,1
2006-08,4.3242,atacado,1
2006-09,4.5148,atacado,1
2006-10,4.7504,atacado,1
2006-11,4.6921,atacado,1
2006-12,4.7054,atacado,1
2007-01,4.6206,atacado,1
2007-02,4.5545,atacado,1
2007-03,4.4798,atacado,1
2007-04,4.4282,atacado,1
2007-05,4.4017,atacado,1
2007-06,4.4616,atacado,1
2007-07,4.8597,atacado,1
2007-08,5.0264,atacado,1
2007-09,4.9471,atacado,1
2007-10,5.1251,atacado,1
2007-11,5.4574,atacado,1
2007-12,5.7582,atacado,1
2008-01,5.8108,atacado,1
2008-02,5.8706,atacado,1
2008-03,5.7831,atacado,1
2008-04,5.7481,atacado,1
2008-05,5.8624,atacado,1
2008-06,6.224,atacado,1
2008-07,6.292,atacado,1
2008-08,6.2731,atacado,1
2008-09,6.3723,atacado,1
2008-10,6.5605,atacado,1
2008-11,6.7144,atacado,1
2008-12,6.7351,atacado,1
2009-01,7.0123,atacado,1
2009-02,6.6777,atacado,1
2009-03,6.3591,atacado,1
2009-04,6.2634,atacado,1
2009-05,6.1087,atacado,1
2009-06,6.0497,atacado,1
2009-07,6.0843,atacado,1
2009-08,6.098,atacado,1
2009-09,6.1155,atacado,1
2009-10,6.3778,atacado,1
2009-11,6.3071,atacado,1
2009-12,6.3293,atacado,1
2010-01,6.86,atacado,1
2010-02,6.78,atacado,1
2010-03,6.59,atacado,1
2010-04,6.51,atacado,1
2010-05,6.32,atacado,1
2010-06,6.29,atacado,1
2010-07,6.49,atacado,1
2010-08,6.72,atacado,1
2010-09,7.14,atacado,1
2010-10,7.69,atacado,1
