referencia,valor,modo_venda,kg
1990-01,0.000008364,atacado,1
1990-02,0.000012313,atacado,1
1990-03,0.000026527,atacado,1
1990-04,0.000028644,atacado,1
1990-05,0.000038007,atacado,1
1990-06,0.000049895,atacado,1
1990-07,0.0001,atacado,1
1990-08,0.0001,atacado,1
1990-09,0.0001,atacado,1
1990-10,0.0001,atacado,1
1990-11,0.0001,atacado,1
1990-12,0.0001,atacado,1
1991-01,0.0001,atacado,1
1991-02,0.0001,atacado,1
1991-03,0.0001,atacado,1
1991-04,0.0001,atacado,1
1991-05,0.0001,atacado,1
1991-06,0.0002,atacado,1
1991-07,0.0002,atacado,1
1991-08,0.0002,atacado,1
1991-09,0.0002,atacado,1
1991-10,0.0003,atacado,1
1991-11,0.0004,atacado,1
1991-12,0.0004,atacado,1
1992-01,0.0005,atacado,1
1992-02,0.0006,atacado,1
1992-03,0.0007,atacado,1
1992-04,0.0008,atacado,1
1992-05,0.001,atacado,1
1992-06,0.0013,atacado,1
1992-07,0.0016,atacado,1
1992-08,0.0022,atacado,1
1992-09,0.0027,atacado,1
1992-10,0.0033,atacado,1
1992-11,0.004,atacado,1
1992-12,0.0071,atacado,1
1993-01,0.0095,atacado,1
1993-02,0.0102,atacado,1
1993-03,0.0134,atacado,1
1993-04,0.0155,atacado,1
1993-05,0.0183,atacado,1
1993-06,0.0275,atacado,1
1993-07,0.0327,atacado,1
1993-08,0.0422,atacado,1
1993-09,0.0619,atacado,1
1993-10,0.0823,atacado,1
1993-11,0.1083,atacado,1
1993-12,0.1655,atacado,1
1994-01,0.2089,atacado,1
1994-02,0.238,atacado,1
1994-03,0.4775,atacado,1
1994-04,0.7557,atacado,1
1994-05,1.096,atacado,1
1994-06,1.6244,atacado,1
1994-07,1.76,atacado,1
1994-08,1.66,atacado,1
1994-09,1.69,atacado,1
1994-10,1.72,atacado,1
1994-11,1.74,atacado,1
1994-12,2.13,atacado,1
1995-01,2.17,atacado,1
1995-02,2,atacado,1
1995-03,1.86,atacado,1
1995-04,1.7,atacado,1
1995-05,1.57,atacado,1
1995-06,1.36,atacado,1
1995-07,1.39,atacado,1
1995-08,1.5,atacado,1
1995-09,1.48,atacado,1
1995-10,1.51,atacado,1
1995-11,1.51,atacado,1
1995-12,1.52,atacado,1
1996-01,1.56,atacado,1
1996-02,1.48,atacado,1
1996-03,1.39,atacado,1
1996-04,1.36,atacado,1
1996-05,1.49,atacado,1
1996-06,1.77,atacado,1
1996-07,1.72,atacado,1
1996-08,1.59,atacado,1
1996-09,1.63,atacado,1
1996-10,1.59,atacado,1
1996-11,1.59,atacado,1
1996-12,1.66,atacado,1
1997-01,1.59,atacado,1
1997-02,1.83,atacado,1
1997-03,2.33,atacado,1
1997-04,2.58,atacado,1
1997-05,2.54,atacado,1
1997-06,2.35,atacado,1
1997-07,2.36,atacado,1
1997-08,2.35,atacado,1
1997-09,2.22,atacado,1
1997-10,2.2,atacado,1
1997-11,2.4,atacado,1
1997-12,2.28,atacado,1
1998-01,2.4,atacado,1
1998-02,2.26,atacado,1
1998-03,2.22,atacado,1
1998-04,2.19,atacado,1
1998-05,2.13,atacado,1
1998-06,2.26,atacado,1
1998-07,2.14,atacado,1
1998-08,1.9,atacado,1
1998-09,1.98,atacado,1
1998-10,1.88,atacado,1
1998-11,1.77,atacado,1
1998-12,1.98,atacado,1
1999-01,1.95,atacado,1
1999-02,2.11,atacado,1
1999-03,2.13,atacado,1
1999-04,2.14,atacado,1
1999-05,2.16,atacado,1
1999-06,2.01,atacado,1
1999-07,2.26,atacado,1
1999-08,2.35,atacado,1
1999-09,2.82,atacado,1
1999-10,2.81,atacado,1
1999-11,2.52,atacado,1
1999-12,2.95,atacado,1
2000-01,2.76,atacado,1
2000-02,2.93,atacado,1
2000-03,2.83,atacado,1
