referencia,valor,modo_venda,kg
1990-01,0.000023964,atacado,1
1990-02,0.000027102,atacado,1
1990-03,0.000071753,atacado,1
1990-04,0.00007256,atacado,1
1990-05,0.00008276,atacado,1
1990-06,0.000092327,atacado,1
1990-07,0.000096044,atacado,1
1990-08,0.00010136,atacado,1
1990-09,0.00011602,atacado,1
1990-10,0.00012517,atacado,1
1990-11,0.00013505,atacado,1
1990-12,0.00013422,atacado,1
1991-01,0.00016229,atacado,1
1991-02,0.00026249,atacado,1
1991-03,0.00028012,atacado,1
1991-04,0.00027061,atacado,1
1991-05,0.00029938,atacado,1
1991-06,0.00029922,atacado,1
1991-07,0.00033536,atacado,1
1991-08,0.00041108,atacado,1
1991-09,0.00044281,atacado,1
1991-10,0.001,atacado,1
1991-11,0.001,atacado,1
1991-12,0.001,atacado,1
1992-01,0.001,atacado,1
1992-02,0.001,atacado,1
1992-03,0.001,atacado,1
1992-04,0.001,atacado,1
1992-05,0.002,atacado,1
1992-06,0.003,atacado,1
1992-07,0.003,atacado,1
1992-08,0.004,atacado,1
1992-09,0.006,atacado,1
1992-10,0.008,atacado,1
1992-11,0.008,atacado,1
1992-12,0.015,atacado,1
1993-01,0.018,atacado,1
1993-02,0.019,atacado,1
1993-03,0.024,atacado,1
1993-04,0.031,atacado,1
1993-05,0.031,atacado,1
1993-06,0.061,atacado,1
1993-07,0.077,atacado,1
1993-08,0.078,atacado,1
1993-09,0.104,atacado,1
1993-10,0.163,atacado,1
1993-11,0.247,atacado,1
1993-12,0.479,atacado,1
1994-01,0.459,atacado,1
1994-02,0.482,atacado,1
1994-03,0.816,atacado,1
1994-04,1.295,atacado,1
1994-05,1.683,atacado,1
1994-06,2.527,atacado,1
1994-07,2.95,atacado,1
1994-08,2.8,atacado,1
1994-09,3.05,atacado,1
1994-10,3.46,atacado,1
1994-11,3.87,atacado,1
1994-12,4.53,atacado,1
1995-01,5.6,atacado,1
1995-02,4.45,atacado,1
1995-03,3.88,atacado,1
1995-04,3.91,atacado,1
1995-05,3.72,atacado,1
1995-06,3.92,atacado,1
1995-07,3.82,atacado,1
1995-08,3.99,atacado,1
1995-09,3.67,atacado,1
1995-10,3.72,atacado,1
1995-11,4.26,atacado,1
1995-12,4.42,atacado,1
1996-01,3.78,atacado,1
1996-02,3.83,atacado,1
1996-03,3.32,atacado,1
1996-04,3.2,atacado,1
1996-05,3.42,atacado,1
1996-06,3.93,atacado,1
1996-07,3.8,atacado,1
1996-08,3.48,atacado,1
1996-09,3.51,atacado,1
1996-10,3.47,atacado,1
1996-11,3.56,atacado,1
1996-12,3.67,atacado,1
1997-01,3.65,atacado,1
1997-02,3.7,atacado,1
1997-03,3.84,atacado,1
1997-04,4.28,atacado,1
1997-05,4.37,atacado,1
1997-06,4.36,atacado,1
1997-07,4.34,atacado,1
1997-08,4.31,atacado,1
1997-09,3.42,atacado,1
1997-10,3.51,atacado,1
1997-11,4.43,atacado,1
1997-12,4.23,atacado,1
1998-01,4.44,atacado,1
1998-02,4.42,atacado,1
1998-03,4.17,atacado,1
1998-04,4.34,atacado,1
1998-05,4.34,atacado,1
1998-06,4.29,atacado,1
1998-07,4.24,atacado,1
1998-08,4.05,atacado,1
1998-09,3.77,atacado,1
1998-10,3.68,atacado,1
1998-11,3.91,atacado,1
1998-12,4.05,atacado,1
1999-01,4.1,atacado,1
1999-02,4.47,atacado,1
1999-03,4.2,atacado,1
1999-04,3.77,atacado,1
1999-05,4.12,atacado,1
1999-06,4.46,atacado,1
