referencia,valor,modo_venda,kg
1990-01,0.000013807,atacado,1
1990-02,0.000021804,atacado,1
1990-03,0.00004004,atacado,1
1990-04,0.000044927,atacado,1
1990-05,0.0001,atacado,1
1990-06,0.0001,atacado,1
1990-07,0.0001,atacado,1
1990-08,0.0001,atacado,1
1990-09,0.0001,atacado,1
1990-10,0.0001,atacado,1
1990-11,0.0001,atacado,1
1990-12,0.0001,atacado,1
1991-01,0.0001,atacado,1
1991-02,0.0001,atacado,1
1991-03,0.0001,atacado,1
1991-04,0.0002,atacado,1
1991-05,0.0002,atacado,1
1991-06,0.0003,atacado,1
1991-07,0.0002,atacado,1
1991-08,0.0003,atacado,1
1991-09,0.0003,atacado,1
1991-10,0.0003,atacado,1
1991-11,0.0005,atacado,1
1991-12,0.0005,atacado,1
1992-01,0.0007,atacado,1
1992-02,0.0007,atacado,1
1992-03,0.0009,atacado,1
1992-04,0.001,atacado,1
1992-05,0.0011,atacado,1
1992-06,0.0015,atacado,1
1992-07,0.0018,atacado,1
1992-08,0.0025,atacado,1
1992-09,0.0033,atacado,1
1992-10,0.0043,atacado,1
1992-11,0.0048,atacado,1
1992-12,0.0071,atacado,1
1993-01,0.0113,atacado,1
1993-02,0.0117,atacado,1
1993-03,0.0135,atacado,1
1993-04,0.0158,atacado,1
1993-05,0.0183,atacado,1
1993-06,0.0318,atacado,1
1993-07,0.0388,atacado,1
1993-08,0.0463,atacado,1
1993-09,0.0615,atacado,1
1993-10,0.0822,atacado,1
1993-11,0.1067,atacado,1
1993-12,0.1707,atacado,1
1994-01,0.2372,atacado,1
1994-02,0.2434,atacado,1
1994-03,0.355,atacado,1
1994-04,0.6352,atacado,1
1994-05,0.8,atacado,1
1994-06,1.1555,atacado,1
1994-07,1.46,atacado,1
1994-08,1.47,atacado,1
1994-09,1.63,atacado,1
1994-10,2.21,atacado,1
1994-11,2.29,atacado,1
1994-12,2.68,atacado,1
1995-01,2.59,atacado,1
1995-02,2.3,atacado,1
1995-03,2.45,atacado,1
1995-04,2.25,atacado,1
1995-05,2.16,atacado,1
1995-06,2.17,atacado,1
1995-07,2.18,atacado,1
1995-08,1.97,atacado,1
1995-09,1.93,atacado,1
1995-10,1.82,atacado,1
1995-11,1.81,atacado,1
1995-12,1.84,atacado,1
1996-01,2.21,atacado,1
1996-02,1.77,atacado,1
1996-03,1.58,atacado,1
1996-04,1.57,atacado,1
1996-05,1.59,atacado,1
1996-06,1.88,atacado,1
1996-07,2.02,atacado,1
1996-08,1.93,atacado,1
1996-09,1.82,atacado,1
1996-10,1.82,atacado,1
1996-11,1.83,atacado,1
1996-12,1.87,atacado,1
1997-01,1.99,atacado,1
1997-02,2.37,atacado,1
1997-03,2.69,atacado,1
1997-04,2.57,atacado,1
1997-05,2.49,atacado,1
1997-06,2.51,atacado,1
1997-07,2.55,atacado,1
1997-08,2.5,atacado,1
1997-09,2.35,atacado,1
1997-10,2.25,atacado,1
1997-11,2.31,atacado,1
1997-12,2.37,atacado,1
1998-01,2.34,atacado,1
1998-02,2.35,atacado,1
1998-03,2.39,atacado,1
1998-04,2.37,atacado,1
1998-05,2.47,atacado,1
1998-06,2.52,atacado,1
1998-07,2.58,atacado,1
1998-08,2.28,atacado,1
1998-09,2.19,atacado,1
1998-10,2.14,atacado,1
1998-11,2.07,atacado,1
1998-12,2.06,atacado,1
1999-01,2.13,atacado,1
1999-02,2.21,atacado,1
1999-03,2.31,atacado,1
1999-04,2.37,atacado,1
1999-05,2.39,atacado,1
1999-06,2.34,atacado,1
1999-07,2.14,atacado,1
1999-08,2.14,atacado,1
1999-09,2.05,atacado,1
1999-10,2.15,atacado,1
1999-11,2.32,atacado,1
1999-12,2.53,atacado,1
2000-01,2.6,atacado,1
2000-02,2.57,atacado,1
2000-03,2.41,atacado,1
2000-04,2.36,atacado,1
2000-05,2.32,atacado,1
2000-06,2.36,atacado,1
2000-07,2.39,atacado,1
2000-08,2.41,atacado,1
2000-09,2.4,atacado,1
2000-10,2.41,atacado,1
2000-11,2.46,atacado,1
2000-12,2.6,atacado,1
2001-01,2.52,atacado,1
2001-02,2.35,atacado,1
2001-03,2.49,atacado,1
2001-04,2.59,atacado,1
2001-05,2.58,atacado,1
