referencia,valor,modo_venda,kg
1990-01,0.000014807,atacado,1
1990-02,0.000021465,atacado,1
1990-03,0.0001,atacado,1
1990-04,0.000049684,atacado,1
1990-05,0.0001,atacado,1
1990-06,0.0001,atacado,1
1990-07,0.0001,atacado,1
1990-08,0.0001,atacado,1
1990-09,0.0001,atacado,1
1990-10,0.0001,atacado,1
1990-11,0.0001,atacado,1
1990-12,0.0001,atacado,1
1991-01,0.0001,atacado,1
1991-02,0.0002,atacado,1
1991-03,0.0002,atacado,1
1991-04,0.0002,atacado,1
1991-05,0.0002,atacado,1
1991-06,0.0003,atacado,1
1991-07,0.0002,atacado,1
1991-08,0.0003,atacado,1
1991-09,0.0003,atacado,1
1991-10,0.0004,atacado,1
1991-11,0.0007,atacado,1
1991-12,0.0008,atacado,1
1992-01,0.0009,atacado,1
1992-02,0.0009,atacado,1
1992-03,0.0011,atacado,1
1992-04,0.0011,atacado,1
1992-05,0.0014,atacado,1
1992-06,0.002,atacado,1
1992-07,0.0023,atacado,1
1992-08,0.0029,atacado,1
1992-09,0.0043,atacado,1
1992-10,0.0058,atacado,1
1992-11,0.0074,atacado,1
1992-12,0.0119,atacado,1
1993-01,0.0143,atacado,1
1993-02,0.0138,atacado,1
1993-03,0.0168,atacado,1
1993-04,0.0198,atacado,1
1993-05,0.0224,atacado,1
1993-06,0.032,atacado,1
1993-07,0.0473,atacado,1
1993-08,0.0589,atacado,1
1993-09,0.093,atacado,1
1993-10,0.1338,atacado,1
1993-11,0.2442,atacado,1
1993-12,0.3672,atacado,1
1994-01,0.3467,atacado,1
1994-02,0.3237,atacado,1
1994-03,0.5879,atacado,1
1994-04,1.0345,atacado,1
1994-05,1.3548,atacado,1
1994-06,2.0852,atacado,1
1994-07,2.82,atacado,1
1994-08,2.82,atacado,1
1994-09,2.93,atacado,1
1994-10,3.03,atacado,1
1994-11,3.19,atacado,1
1994-12,4.01,atacado,1
1995-01,3.77,atacado,1
1995-02,2.91,atacado,1
1995-03,3.18,atacado,1
1995-04,2.55,atacado,1
1995-05,2.09,atacado,1
1995-06,2.41,atacado,1
1995-07,3.18,atacado,1
1995-08,3.25,atacado,1
1995-09,3.25,atacado,1
1995-10,3.12,atacado,1
1995-11,3.99,atacado,1
1995-12,4.23,atacado,1
1996-01,3.93,atacado,1
1996-02,4.25,atacado,1
1996-03,4.38,atacado,1
1996-04,4.39,atacado,1
1996-05,3.65,atacado,1
1996-06,3.22,atacado,1
1996-07,2.94,atacado,1
1996-08,2.81,atacado,1
1996-09,2.81,atacado,1
1996-10,2.84,atacado,1
1996-11,2.92,atacado,1
1996-12,3.06,atacado,1
1997-01,3.01,atacado,1
1997-02,2.88,atacado,1
1997-03,3.28,atacado,1
1997-04,3.58,atacado,1
1997-05,3.64,atacado,1
1997-06,3.68,atacado,1
1997-07,3.68,atacado,1
1997-08,3.68,atacado,1
1997-09,2.74,atacado,1
1997-10,2.95,atacado,1
1997-11,3.33,atacado,1
1997-12,3.2,atacado,1
1998-01,3.36,atacado,1
1998-02,3.27,atacado,1
1998-03,3.05,atacado,1
1998-04,3.13,atacado,1
1998-05,3.21,atacado,1
1998-06,3.31,atacado,1
1998-07,2.62,atacado,1
1998-08,2.63,atacado,1
1998-09,2.51,atacado,1
1998-10,2.39,atacado,1
1998-11,2.56,atacado,1
1998-12,2.82,atacado,1
1999-01,2.86,atacado,1
1999-02,3.06,atacado,1
1999-03,2.94,atacado,1
1999-04,2.79,atacado,1
1999-05,2.62,atacado,1
1999-06,2.62,atacado,1
1999-07,2.45,atacado,1
1999-08,2.26,atacado,1
1999-09,2.63,atacado,1
1999-10,2.96,atacado,1
1999-11,3.73,atacado,1
1999-12,3.82,atacado,1
2000-01,3.55,atacado,1
2000-02,2.96,atacado,1
2000-03,2.78,atacado,1
2000-04,2.55,atacado,1
2000-05,2.51,atacado,1
2000-06,2.87,atacado,1
2000-07,2.94,atacado,1
2000-08,3.16,atacado,1
2000-09,3.16,atacado,1
2000-10,3.15,atacado,1
2000-11,3.14,atacado,1
2000-12,3.14,atacado,1
2001-01,3.14,atacado,1
2001-02,3.12,atacado,1
2001-03,3.07,atacado,1
2001-04,2.88,atacado,1
2001-05,3.27,atacado,1
2001-06,3.58,atacado,1
2001-07,3.36,atacado,1
2001-08,3,atacado,1
2001-09,2.85,atacado,1
2001-10,3.04,atacado,1
2001-11,3.64,atacado,1
2001-12,3.67,atacado,1
2002-01,3.75,atacado,1
2002-02,3.47,atacado,1
2002-03,3.5,atacado,1
2002-04,3.08,atacado,1
2002-05,3.11,atacado,1
2002-06,2.79,atacado,1
2002-07,2.66,atacado,1
2002-08,2.75,atacado,1
2002-09,2.98,atacado,1
2002-10,3.45,atacado,1
2002-11,3.73,atacado,1
2002-12,3.97,atacado,1
2003-01,3.86,atacado,1
2003-02,3.67,atacado,1
2003-03,3.91,atacado,1
2003-04,3.62,atacado,1
2003-05,3.59,atacado,1
2003-06,3.54,atacado,1
2003-07,3.81,atacado,1
2003-08,3.37,atacado,1
2003-09,4.02,atacado,1
2003-10,4.6,atacado,1
2003-11,4.2994,atacado,1
2003-12,4.2031,atacado,1
2004-01,4.3591,atacado,1
2004-02,4.2877,atacado,1
2004-03,4.3485,atacado,1
2004-04,4.6548,atacado,1
2004-05,4.3023,atacado,1
2004-06,4.5338,atacado,1
2004-07,4.644,atacado,1
2004-08,5.0717,atacado,1
2004-09,5.6487,atacado,1
2004-10,5.7159,atacado,1
2004-11,6.1064,atacado,1
2004-12,6.3987,atacado,1
2005-01,5.8726,atacado,1
2005-02,5.7344,atacado,1
2005-03,5.8326,atacado,1
2005-04,5.4941,atacado,1
2005-05,5.2663,atacado,1
2005-06,5.2097,atacado,1
2005-07,5.1622,atacado,1
2005-08,5.0455,atacado,1
2005-09,5.0897,atacado,1
2005-10,5.075,atacado,1
2005-11,4.8134,atacado,1
2005-12,5.4288,atacado,1
2006-01,4.6631,atacado,1
2006-02,4.3873,atacado,1
2006-03,4.1346,atacado,1
2006-04,3.8178,atacado,1
2006-05,4.3784,atacado,1
2006-06,3.7935,atacado,1
2006-07,3.6299,atacado,1
2006-08,4.1784,atacado,1
2006-09,4.0483,atacado,1
2006-10,3.9972,atacado,1
2006-11,4.2917,atacado,1
2006-12,4.5223,atacado,1
2007-01,4.4952,atacado,1
2007-02,4.3846,atacado,1
2007-03,4.0866,atacado,1
2007-04,3.9797,atacado,1
2007-05,4.1242,atacado,1
2007-06,4.0043,atacado,1
2007-07,3.6353,atacado,1
2007-08,4.0098,atacado,1
2007-09,4.1601,atacado,1
2007-10,4.7475,atacado,1
2007-11,5.2298,atacado,1
2007-12,5.5695,atacado,1
2008-01,5.3433,atacado,1
2008-02,5.2121,atacado,1
2008-03,5.0156,atacado,1
2008-04,4.8638,atacado,1
2008-05,5.0148,atacado,1
2008-06,5.3618,atacado,1
2008-07,5.6048,atacado,1
2008-08,6.0258,atacado,1
2008-09,5.9981,atacado,1
2008-10,6.3326,atacado,1
2008-11,5.85,atacado,1
2008-12,6.0892,atacado,1
2009-01,5.5475,atacado,1
2009-02,5.1232,atacado,1
2009-03,4.7792,atacado,1
2009-04,4.8995,atacado,1
2009-05,4.3725,atacado,1
2009-06,4.4133,atacado,1
2009-07,4.4519,atacado,1
2009-08,4.3669,atacado,1
2009-09,4.4616,atacado,1
2009-10,4.3396,atacado,1
2009-11,4.5987,atacado,1
2009-12,4.8289,atacado,1
2010-01,4.96,atacado,1
2010-02,4.94,atacado,1
2010-03,4.78,atacado,1
2010-04,4.64,atacado,1
2010-05,4.75,atacado,1
2010-06,4.54,atacado,1
2010-07,4.64,atacado,1
2010-08,4.94,atacado,1
2010-09,5.25,atacado,1
2010-10,5.3,atacado,1
2010-11,6.19,atacado,1
2010-12,6.55,atacado,1
2011-01,5.8,atacado,1
2011-02,5.14,atacado,1
2011-03,4.91,atacado,1
