referencia,valor,modo_venda,kg
1991-03,0.0013,atacado,50
1991-04,0.0013,atacado,50
1991-05,0.0013,atacado,50
1991-06,0.0013,atacado,50
1991-07,0.0015,atacado,50
1991-08,0.0018,atacado,50
1991-09,0.0019,atacado,50
1991-10,0.0024,atacado,50
1991-11,0.0036,atacado,50
1991-12,0.0042,atacado,50
1992-01,0.0051,atacado,50
1992-02,0.0064,atacado,50
1992-03,0.008,atacado,50
1992-04,0.0118,atacado,50
1992-05,0.0145,atacado,50
1992-06,0.017,atacado,50
1992-07,0.0197,atacado,50
1992-08,0.025,atacado,50
1992-09,0.0319,atacado,50
1992-10,0.0384,atacado,50
1992-11,0.0464,atacado,50
1992-12,0.0591,atacado,50
1993-01,0.0733,atacado,50
1993-02,0.0903,atacado,50
1993-03,0.1166,atacado,50
1993-04,0.1527,atacado,50
1993-05,0.1731,atacado,50
1993-06,0.2301,atacado,50
1993-07,0.3085,atacado,50
1993-08,0.3829,atacado,50
1993-09,0.5062,atacado,50
1993-10,0.6984,atacado,50
1993-11,0.9775,atacado,50
1993-12,1.3291,atacado,50
1994-01,1.8913,atacado,50
1994-02,2.6736,atacado,50
1994-03,3.7344,atacado,50
1994-04,5.6307,atacado,50
1994-05,7.9893,atacado,50
1994-06,11.986,atacado,50
1994-07,14,atacado,50
1994-08,13.9,atacado,50
1994-09,13.76,atacado,50
1994-10,13.79,atacado,50
1994-11,13.56,atacado,50
1994-12,13.78,atacado,50
1995-01,13.67,atacado,50
1995-02,13.38,atacado,50
1995-03,13.21,atacado,50
1995-04,13.08,atacado,50
1995-05,12.34,atacado,50
1995-06,12.06,atacado,50
1995-07,12.68,atacado,50
1995-08,14.44,atacado,50
1995-09,15.89,atacado,50
1995-10,16.15,atacado,50
1995-11,17.41,atacado,50
1995-12,17.54,atacado,50
1996-01,18.74,atacado,50
1996-02,18.91,atacado,50
1996-03,19.05,atacado,50
1996-04,19.89,atacado,50
1996-05,20.68,atacado,50
1996-06,22.66,atacado,50
1996-07,24.53,atacado,50
1996-08,23.52,atacado,50
1996-09,22.87,atacado,50
1996-10,21.87,atacado,50
1996-11,19.78,atacado,50
1996-12,18.07,atacado,50
1997-01,17.29,atacado,50
1997-02,16.88,atacado,50
1997-03,16.89,atacado,50
1997-04,15.33,atacado,50
1997-05,15.64,atacado,50
1997-06,15.7,atacado,50
1997-07,16.25,atacado,50
1997-08,16.15,atacado,50
1997-09,15.77,atacado,50
1997-10,15.77,atacado,50
1997-11,15.34,atacado,50
1997-12,15.32,atacado,50
1998-01,15.06,atacado,50
1998-02,14.92,atacado,50
1998-03,15.01,atacado,50
1998-04,14.96,atacado,50
1998-05,14.86,atacado,50
1998-06,15.19,atacado,50
1998-07,15.17,atacado,50
1998-08,16.1,atacado,50
1998-09,16.26,atacado,50
1998-10,16.37,atacado,50
1998-11,16.34,atacado,50
1998-12,16.31,atacado,50
1999-01,16.92,atacado,50
1999-02,18.74,atacado,50
1999-03,21.39,atacado,50
1999-04,21.55,atacado,50
1999-05,20.38,atacado,50
1999-06,21.04,atacado,50
1999-07,20.82,atacado,50
1999-08,20.7,atacado,50
1999-09,20.54,atacado,50
1999-10,20.16,atacado,50
1999-11,22.34,atacado,50
1999-12,22.23,atacado,50
2000-01,23.45,atacado,50
2000-02,22.28,atacado,50
2000-03,22.22,atacado,50
2000-04,22.53,atacado,50
2000-05,21.68,atacado,50
2000-06,21.53,atacado,50
2000-07,23.38,atacado,50
2000-08,22.8,atacado,50
2000-09,21.7,atacado,50
2000-10,21.18,atacado,50
2000-11,21.51,atacado,50
2000-12,20.96,atacado,50
2001-01,21.88,atacado,50
2001-02,21.54,atacado,50
2001-03,21.58,atacado,50
2001-04,21.26,atacado,50
2001-05,23.81,atacado,50
2001-06,24.75,atacado,50
2001-07,28.34,atacado,50
2001-08,29.51,atacado,50
2001-09,26.13,atacado,50
2001-10,26.68,atacado,50
2001-11,32.27,atacado,50
2001-12,31.31,atacado,50
2002-01,32.09,atacado,50
2002-02,30.86,atacado,50
2002-03,30.81,atacado,50
2002-04,29.66,atacado,50
2002-05,27.2,atacado,50
2002-06,32.26,atacado,50
2002-07,34.18,atacado,50
2002-08,36.83,atacado,50
2002-09,38.31,atacado,50
2002-10,44.71,atacado,50
2002-11,55.62,atacado,50
2002-12,52.26,atacado,50
2003-01,58.12,atacado,50
2003-02,53.47,atacado,50
2003-03,50.93,atacado,50
2003-04,49.28,atacado,50
2003-05,47.08,atacado,50
2003-06,47.18,atacado,50
2003-07,47.21,atacado,50
2003-08,47.04,atacado,50
2003-09,46.76,atacado,50
2003-10,45.87,atacado,50
