referencia,valor,modo_venda,kg
1990-01,0.00011014,atacado,30
1990-02,0.0001776,atacado,30
1990-03,0.00029636,atacado,30
1990-04,0.00029566,atacado,30
1990-05,0.00045377,atacado,30
1990-06,0.00048709,atacado,30
1990-07,0.001,atacado,30
1990-08,0.001,atacado,30
1990-09,0.001,atacado,30
1990-10,0.001,atacado,30
1990-11,0.001,atacado,30
1990-12,0.001,atacado,30
1991-01,0.001,atacado,30
1991-02,0.001,atacado,30
1991-03,0.001,atacado,30
1991-04,0.002,atacado,30
1991-05,0.003,atacado,30
1991-06,0.003,atacado,30
1991-07,0.003,atacado,30
1991-08,0.003,atacado,30
1991-09,0.003,atacado,30
1991-10,0.004,atacado,30
1991-11,0.004,atacado,30
1991-12,0.005,atacado,30
1992-01,0.005,atacado,30
1992-02,0.007,atacado,30
1992-03,0.009,atacado,30
1992-04,0.011,atacado,30
1992-05,0.014,atacado,30
1992-06,0.014,atacado,30
1992-07,0.018,atacado,30
1992-08,0.028,atacado,30
1992-09,0.038,atacado,30
1992-10,0.052,atacado,30
1992-11,0.061,atacado,30
1992-12,0.069,atacado,30
1993-01,0.074,atacado,30
1993-02,0.08,atacado,30
1993-03,0.135,atacado,30
1993-04,0.23,atacado,30
1993-05,0.307,atacado,30
1993-06,0.395,atacado,30
1993-07,0.432,atacado,30
1993-08,0.531,atacado,30
1993-09,0.779,atacado,30
1993-10,0.964,atacado,30
1993-11,1.351,atacado,30
1993-12,2.174,atacado,30
1994-01,3.076,atacado,30
1994-02,6.696,atacado,30
1994-03,14.557,atacado,30
1994-04,16.561,atacado,30
1994-05,15.811,atacado,30
1994-06,15.954,atacado,30
1994-07,24.32,atacado,30
1994-08,22.05,atacado,30
1994-09,23.18,atacado,30
1994-10,30.75,atacado,30
1994-11,27.33,atacado,30
1994-12,19.59,atacado,30
1995-01,18.04,atacado,30
1995-02,18.11,atacado,30
1995-03,17.67,atacado,30
1995-04,18.27,atacado,30
1995-05,15.81,atacado,30
1995-06,15.59,atacado,30
1995-07,15.4,atacado,30
1995-08,15.9,atacado,30
1995-09,16.24,atacado,30
1995-10,16.24,atacado,30
1995-11,16.38,atacado,30
1995-12,18.04,atacado,30
1996-01,23.49,atacado,30
1996-02,21.39,atacado,30
1996-03,20.75,atacado,30
1996-04,21.77,atacado,30
1996-05,22.45,atacado,30
1996-06,25,atacado,30
1996-07,25.83,atacado,30
1996-08,25.92,atacado,30
1996-09,27.2,atacado,30
1996-10,31.23,atacado,30
1996-11,31.32,atacado,30
1996-12,27.43,atacado,30
1997-01,22.05,atacado,30
1997-02,19.35,atacado,30
1997-03,20.34,atacado,30
1997-04,22.19,atacado,30
1997-05,24.5,atacado,30
1997-06,23.12,atacado,30
1997-07,21.51,atacado,30
1997-08,19.1,atacado,30
1997-09,18.15,atacado,30
1997-10,17.7,atacado,30
1997-11,17.53,atacado,30
1997-12,16.01,atacado,30
1998-01,18.37,atacado,30
1998-02,23.73,atacado,30
1998-03,26.19,atacado,30
1998-04,31.45,atacado,30
1998-05,51.67,atacado,30
1998-06,60.89,atacado,30
1998-07,43.82,atacado,30
1998-08,41.17,atacado,30
1998-09,38.72,atacado,30
1998-10,44.86,atacado,30
1998-11,35.12,atacado,30
1998-12,34.74,atacado,30
1999-01,37.37,atacado,30
1999-02,30.1,atacado,30
1999-03,28.78,atacado,30
1999-04,24.83,atacado,30
1999-05,22.74,atacado,30
1999-06,19.86,atacado,30
1999-07,18.21,atacado,30
1999-08,19.78,atacado,30
1999-09,31.05,atacado,30
1999-10,29.39,atacado,30
1999-11,27.18,atacado,30
1999-12,28,atacado,30
2000-01,23.77,atacado,30
2000-02,18.75,atacado,30
2000-03,17.1,atacado,30
2000-04,17.36,atacado,30
2000-05,21.44,atacado,30
2000-06,22.22,atacado,30
2000-07,22.86,atacado,30
2000-08,27.12,atacado,30
2000-09,26.96,atacado,30
2000-10,26.51,atacado,30
2000-11,25.22,atacado,30
2000-12,23.84,atacado,30
2001-01,25.89,atacado,30
2001-02,29.83,atacado,30
2001-03,33.5,atacado,30
