referencia,valor,modo_venda,kg
1990-01,0.00012122,atacado,30
1990-02,0.00015247,atacado,30
1990-03,0.00029472,atacado,30
1990-04,0.00032712,atacado,30
1990-05,0.0003756,atacado,30
1990-06,0.001,atacado,30
1990-07,0.001,atacado,30
1990-08,0.001,atacado,30
1990-09,0.001,atacado,30
1990-10,0.001,atacado,30
1990-11,0.001,atacado,30
1990-12,0.001,atacado,30
1991-01,0.001,atacado,30
1991-02,0.001,atacado,30
1991-03,0.001,atacado,30
1991-04,0.002,atacado,30
1991-05,0.002,atacado,30
1991-06,0.002,atacado,30
1991-07,0.002,atacado,30
1991-08,0.002,atacado,30
1991-09,0.002,atacado,30
1991-10,0.003,atacado,30
1991-11,0.004,atacado,30
1991-12,0.004,atacado,30
1992-01,0.006,atacado,30
1992-02,0.007,atacado,30
1992-03,0.008,atacado,30
1992-04,0.011,atacado,30
1992-05,0.014,atacado,30
1992-06,0.017,atacado,30
1992-07,0.019,atacado,30
1992-08,0.028,atacado,30
1992-09,0.036,atacado,30
1992-10,0.047,atacado,30
1992-11,0.055,atacado,30
1992-12,0.068,atacado,30
1993-01,0.069,atacado,30
1993-02,0.073,atacado,30
1993-03,0.102,atacado,30
1993-04,0.174,atacado,30
1993-05,0.222,atacado,30
1993-06,0.272,atacado,30
1993-07,0.335,atacado,30
1993-08,0.475,atacado,30
1993-09,0.634,atacado,30
1993-10,1.04,atacado,30
1993-11,1.394,atacado,30
1993-12,1.929,atacado,30
1994-01,2.555,atacado,30
1994-02,3.814,atacado,30
1994-03,7.023,atacado,30
1994-04,10.273,atacado,30
1994-05,12.87,atacado,30
1994-06,17.606,atacado,30
1994-07,23.59,atacado,30
1994-08,22.89,atacado,30
1994-09,22.47,atacado,30
1994-10,28.91,atacado,30
1994-11,29.63,atacado,30
1994-12,25.98,atacado,30
1995-01,24.28,atacado,30
1995-02,24.9,atacado,30
1995-03,25.2,atacado,30
1995-04,22.88,atacado,30
1995-05,22.58,atacado,30
1995-06,21.83,atacado,30
1995-07,21.26,atacado,30
1995-08,21.1,atacado,30
1995-09,20.85,atacado,30
1995-10,21.16,atacado,30
1995-11,21.87,atacado,30
1995-12,21.05,atacado,30
1996-01,22.94,atacado,30
1996-02,20.11,atacado,30
1996-03,19.7,atacado,30
1996-04,19.38,atacado,30
1996-05,20.05,atacado,30
1996-06,21.88,atacado,30
1996-07,20.63,atacado,30
1996-08,19.5,atacado,30
1996-09,19.64,atacado,30
1996-10,19.43,atacado,30
1996-11,20.06,atacado,30
1996-12,20.7,atacado,30
1997-01,20.43,atacado,30
1997-02,21.06,atacado,30
1997-03,23.1,atacado,30
1997-04,24.42,atacado,30
1997-05,25.84,atacado,30
1997-06,26.41,atacado,30
1997-07,25.99,atacado,30
1997-08,25.67,atacado,30
1997-09,27.44,atacado,30
1997-10,30.23,atacado,30
1997-11,32.85,atacado,30
1997-12,33.96,atacado,30
1998-01,34.22,atacado,30
1998-02,35.92,atacado,30
1998-03,36.65,atacado,30
1998-04,36.7,atacado,30
1998-05,43.09,atacado,30
1998-06,46.25,atacado,30
1998-07,41.03,atacado,30
1998-08,40.21,atacado,30
1998-09,39.17,atacado,30
1998-10,38.78,atacado,30
1998-11,36.59,atacado,30
1998-12,35.19,atacado,30
1999-01,33.65,atacado,30
1999-02,29.74,atacado,30
1999-03,26.33,atacado,30
1999-04,23.99,atacado,30
1999-05,23.23,atacado,30
1999-06,21.87,atacado,30
1999-07,20.52,atacado,30
1999-08,20.87,atacado,30
1999-09,25.29,atacado,30
1999-10,25.4,atacado,30
1999-11,24.9,atacado,30
1999-12,22.6,atacado,30
2000-01,21.01,atacado,30
2000-02,18.91,atacado,30
2000-03,18.45,atacado,30
2000-04,17.96,atacado,30
2000-05,19.49,atacado,30
2000-06,20.18,atacado,30
2000-07,19.8,atacado,30
2000-08,21.08,atacado,30
2000-09,21.02,atacado,30
2000-10,20.35,atacado,30
2000-11,20.16,atacado,30
2000-12,19.08,atacado,30
2001-01,21.83,atacado,30
2001-02,24.31,atacado,30
2001-03,26.85,atacado,30
2001-04,28.68,atacado,30
2001-05,31.97,atacado,30
2001-06,40.63,atacado,30
2001-07,43.75,atacado,30
2001-08,52.27,atacado,30
2001-09,57.47,atacado,30
2001-10,61.08,atacado,30
2001-11,57.2,atacado,30
2001-12,49.95,atacado,30
2002-01,45.4,atacado,30
2002-02,41.56,atacado,30
2002-03,41.85,atacado,30
2002-04,40.06,atacado,30
2002-05,38.22,atacado,30
2002-06,41.06,atacado,30
2002-07,46.9,atacado,30
2002-08,45.93,atacado,30
2002-09,44.71,atacado,30
2002-10,48.46,atacado,30
2002-11,46.7,atacado,30
2002-12,48.47,atacado,30
2003-01,44.37,atacado,30
2003-02,44.55,atacado,30
2003-03,46.11,atacado,30
2003-04,46.88,atacado,30
2003-05,46.77,atacado,30
2003-06,45.38,atacado,30
2003-07,42.64,atacado,30
2003-08,43.23,atacado,30
2003-09,45.64,atacado,30
2003-10,43.31,atacado,30
2003-11,42.078,atacado,30
2003-12,43.163,atacado,30
2004-01,41.107,atacado,30
2004-02,38.651,atacado,30
2004-03,40.91,atacado,30
2004-04,43.521,atacado,30
2004-05,43.913,atacado,30
2004-06,45.979,atacado,30
2004-07,45.555,atacado,30
2004-08,44.527,atacado,30
2004-09,46.214,atacado,30
2004-10,47.778,atacado,30
2004-11,48.118,atacado,30
2004-12,48.646,atacado,30
2005-01,50.047,atacado,30
2005-02,50.121,atacado,30
2005-03,52.041,atacado,30
2005-04,54.509,atacado,30
2005-05,54.218,atacado,30
2005-06,53.623,atacado,30
2005-07,51.351,atacado,30
2005-08,51.493,atacado,30
2005-09,51.932,atacado,30
2005-10,51.739,atacado,30
2005-11,56.035,atacado,30
2005-12,60.008,atacado,30
2006-01,54.14,atacado,30
2006-02,47.937,atacado,30
2006-03,47.97,atacado,30
2006-04,40.995,atacado,30
2006-05,39.891,atacado,30
2006-06,38.518,atacado,30
2006-07,37.511,atacado,30
2006-08,36.686,atacado,30
2006-09,36.664,atacado,30
2006-10,37.406,atacado,30
2006-11,34.368,atacado,30
2006-12,33.471,atacado,30
2007-01,29.874,atacado,30
2007-02,28.496,atacado,30
2007-03,29.884,atacado,30
2007-04,27.823,atacado,30
2007-05,30.237,atacado,30
2007-06,35.262,atacado,30
2007-07,36.504,atacado,30
2007-08,40.846,atacado,30
2007-09,45.669,atacado,30
2007-10,51.949,atacado,30
2007-11,56.272,atacado,30
2007-12,72.294,atacado,30
2008-01,78.102,atacado,30
2008-02,84.868,atacado,30
2008-03,82.93,atacado,30
2008-04,79.736,atacado,30
2008-05,88.059,atacado,30
2008-06,100.733,atacado,30
2008-07,95.44,atacado,30
2008-08,91.888,atacado,30
2008-09,104.867,atacado,30
2008-10,114.793,atacado,30
2008-11,88.566,atacado,30
2008-12,85.721,atacado,30
2009-01,90.339,atacado,30
2009-02,77.384,atacado,30
2009-03,61.211,atacado,30
2009-04,52.831,atacado,30
2009-05,47.324,atacado,30
2009-06,48.662,atacado,30
2009-07,51.688,atacado,30
2009-08,48.872,atacado,30
2009-09,48.075,atacado,30
2009-10,48.151,atacado,30
2009-11,46.16,atacado,30
2009-12,44.144,atacado,30
2010-01,47.07,atacado,30
2010-02,44.85,atacado,30
2010-03,52.58,atacado,30
2010-04,55.38,atacado,30
2010-05,54.06,atacado,30
2010-06,53.36,atacado,30
2010-07,52.65,atacado,30
2010-08,52.22,atacado,30
2010-09,58.71,atacado,30
2010-10,69.18,atacado,30
2010-11,62.86,atacado,30
2010-12,56.57,atacado,30
2011-01,54.49,atacado,30
2011-02,49.39,atacado,30
2011-03,52.32,atacado,30
2011-04,51.26,atacado,30
2011-05,50.34,atacado,30
2011-06,51.21,atacado,30
2011-07,49.73,atacado,30
2011-08,49.1,atacado,30
2011-09,50.3,atacado,30
2011-10,50.45,atacado,30
2011-11,50.35,atacado,30
2011-12,52.75,atacado,30
2012-01,63.35,atacado,30
2012-02,67.48,atacado,30
2012-03,64.86,atacado,30
2012-04,64.58,atacado,30
2012-05,65.888,atacado,30
2012-06,75.556,atacado,30
2012-07,74.605,atacado,30
2012-08,73.817,atacado,30
2012-09,78.903,atacado,30
2012-10,76.774,atacado,30
2012-11,79.736,atacado,30
2012-12,80.812,atacado,30
2013-01,84.367,atacado,30
2013-02,85.206,atacado,30
2013-03,82.473,atacado,30
2013-04,85.266,atacado,30
2013-05,90.392,atacado,30
2013-06,98.64,atacado,30
2013-07,95.357,atacado,30
2013-08,96.482,atacado,30
2013-09,95.575,atacado,30
2013-10,96.334,atacado,30
2013-11,94.406,atacado,30
2013-12,92.712,atacado,30
2014-01,89.62,atacado,30
2014-02,87.396,atacado,30
2014-03,94.405,atacado,30
2014-04,95.369,atacado,30
2014-05,88.741,atacado,30
2014-06,81.726,atacado,30
2014-07,80.255,atacado,30
2014-08,79.907,atacado,30
2014-09,80.769,atacado,30
2014-10,78.427,atacado,30
2014-11,77.839,atacado,30
2014-12,78.686,atacado,30
2015-01,87.869,atacado,30
2015-02,89.108,atacado,30
2015-03,84.945,atacado,30
2015-04,80.903,atacado,30
2015-05,77.907,atacado,30
2015-06,73.802,atacado,30
2015-07,74.075,atacado,30
2015-08,75.746,atacado,30
2015-09,77.418,atacado,30
2015-10,80.626,atacado,30
2015-11,81.41,atacado,30
2015-12,87.64,atacado,30
2016-01,106.775,atacado,30
2016-02,100.911,atacado,30
2016-03,96.826,atacado,30
2016-04,98.085,atacado,30
2016-05,107.831,atacado,30
2016-06,131.013,atacado,30
2016-07,158.529,atacado,30
2016-08,152.55,atacado,30
2016-09,148.652,atacado,30
2016-10,161.76,atacado,30
