referencia,valor,modo_venda,kg
1990-01,0.000007185,atacado,1
1990-02,0.000011876,atacado,1
1990-03,0.000024284,atacado,1
1990-04,0.000022822,atacado,1
1990-05,0.000023302,atacado,1
1990-06,0.000028385,atacado,1
1990-07,0.000036651,atacado,1
1990-08,0.000043175,atacado,1
1990-09,0.00005644,atacado,1
1990-10,0.000058229,atacado,1
1990-11,0.000051709,atacado,1
1990-12,0.000053131,atacado,1
1991-01,0.0000724,atacado,1
1991-02,0.000090811,atacado,1
1991-03,0.000092276,atacado,1
1991-04,0.000092836,atacado,1
1991-05,0.00010023,atacado,1
1991-06,0.00010467,atacado,1
1991-07,0.00011487,atacado,1
1991-08,0.00012608,atacado,1
1991-09,0.00014736,atacado,1
1991-10,0.00021454,atacado,1
1991-11,0.00028247,atacado,1
1991-12,0.00029675,atacado,1
1992-01,0.00040288,atacado,1
1992-02,0.001,atacado,1
1992-03,0.001,atacado,1
1992-04,0.001,atacado,1
1992-05,0.001,atacado,1
1992-06,0.001,atacado,1
1992-07,0.001,atacado,1
1992-08,0.001,atacado,1
1992-09,0.002,atacado,1
1992-10,0.003,atacado,1
1992-11,0.003,atacado,1
1992-12,0.004,atacado,1
1993-01,0.005,atacado,1
1993-02,0.006,atacado,1
1993-03,0.007,atacado,1
1993-04,0.009,atacado,1
1993-05,0.011,atacado,1
1993-06,0.014,atacado,1
1993-07,0.022,atacado,1
1993-08,0.03,atacado,1
1993-09,0.041,atacado,1
1993-10,0.056,atacado,1
1993-11,0.074,atacado,1
1993-12,0.103,atacado,1
1994-01,0.141,atacado,1
1994-02,0.168,atacado,1
1994-03,0.283,atacado,1
1994-04,0.421,atacado,1
1994-05,0.587,atacado,1
1994-06,0.87,atacado,1
1994-07,1.03,atacado,1
1994-08,1.01,atacado,1
1994-09,1,atacado,1
1994-10,1.05,atacado,1
1994-11,1.15,atacado,1
1994-12,1.23,atacado,1
1995-01,1.27,atacado,1
1995-02,1.12,atacado,1
1995-03,1.09,atacado,1
1995-04,1.05,atacado,1
1995-05,0.99,atacado,1
1995-06,0.93,atacado,1
1995-07,1.05,atacado,1
1995-08,1.09,atacado,1
1995-09,1.1,atacado,1
1995-10,1.06,atacado,1
1995-11,1.06,atacado,1
1995-12,1.09,atacado,1
1996-01,1.08,atacado,1
1996-02,1.04,atacado,1
1996-03,1.03,atacado,1
1996-04,1.04,atacado,1
1996-05,1.08,atacado,1
1996-06,1.15,atacado,1
1996-07,1.14,atacado,1
1996-08,1.13,atacado,1
1996-09,1.18,atacado,1
1996-10,1.26,atacado,1
1996-11,1.3,atacado,1
1996-12,1.29,atacado,1
1997-01,1.24,atacado,1
1997-02,1.21,atacado,1
1997-03,1.08,atacado,1
1997-04,1.12,atacado,1
1997-05,1.07,atacado,1
1997-06,1.06,atacado,1
1997-07,1.11,atacado,1
1997-08,1.12,atacado,1
1997-09,1.14,atacado,1
1997-10,1.14,atacado,1
1997-11,1.14,atacado,1
1997-12,1.13,atacado,1
1998-01,1.13,atacado,1
1998-02,1.17,atacado,1
1998-03,1.19,atacado,1
1998-04,1.26,atacado,1
1998-05,1.22,atacado,1
1998-06,1.16,atacado,1
1998-07,1.17,atacado,1
1998-08,1.16,atacado,1
1998-09,1.15,atacado,1
1998-10,1.14,atacado,1
1998-11,1.15,atacado,1
1998-12,1.16,atacado,1
1999-01,1.16,atacado,1
1999-02,1.16,atacado,1
1999-03,1.17,atacado,1
1999-04,1.13,atacado,1
1999-05,1.18,atacado,1
1999-06,1.2,atacado,1
1999-07,1.15,atacado,1
1999-08,1.13,atacado,1
1999-09,1.15,atacado,1
1999-10,1.2,atacado,1
1999-11,1.37,atacado,1
1999-12,1.5,atacado,1
2000-01,1.45,atacado,1
2000-02,1.3,atacado,1
2000-03,1.17,atacado,1
2000-04,1.1,atacado,1
2000-05,1.11,atacado,1
2000-06,1.18,atacado,1
2000-07,1.25,atacado,1
2000-08,1.51,atacado,1
2000-09,1.56,atacado,1
2000-10,1.52,atacado,1
2000-11,1.59,atacado,1
2000-12,1.69,atacado,1
2001-01,1.68,atacado,1
2001-02,1.59,atacado,1
2001-03,1.52,atacado,1
2001-04,1.55,atacado,1
2001-05,1.48,atacado,1
2001-06,1.46,atacado,1
2001-07,1.64,atacado,1
2001-08,1.57,atacado,1
2001-09,1.54,atacado,1
2001-10,1.6,atacado,1
2001-11,1.62,atacado,1
2001-12,1.67,atacado,1
2002-01,1.75,atacado,1
2002-02,1.6,atacado,1
2002-03,1.63,atacado,1
2002-04,1.58,atacado,1
2002-05,1.6,atacado,1
2002-06,1.6,atacado,1
2002-07,1.53,atacado,1
2002-08,1.57,atacado,1
2002-09,1.83,atacado,1
2002-10,2.06,atacado,1
2002-11,2.3,atacado,1
2002-12,2.37,atacado,1
2003-01,2.35,atacado,1
2003-02,2.21,atacado,1
2003-03,2.12,atacado,1
2003-04,2.38,atacado,1
2003-05,2.3,atacado,1
2003-06,2.21,atacado,1
