referencia,valor,modo_venda,kg
1990-01,0.000041618,atacado,60
1990-02,0.0001,atacado,60
1990-03,0.0001,atacado,60
1990-04,0.0001,atacado,60
1990-05,0.0001,atacado,60
1990-06,0.0002,atacado,60
1990-07,0.0002,atacado,60
1990-08,0.0002,atacado,60
1990-09,0.0003,atacado,60
1990-10,0.0003,atacado,60
1990-11,0.0004,atacado,60
1990-12,0.0005,atacado,60
1991-01,0.0005,atacado,60
1991-02,0.0005,atacado,60
1991-03,0.0006,atacado,60
1991-04,0.0007,atacado,60
1991-05,0.0007,atacado,60
1991-06,0.0007,atacado,60
1991-07,0.0008,atacado,60
1991-08,0.001,atacado,60
1991-09,0.0012,atacado,60
1991-10,0.0017,atacado,60
1991-11,0.0021,atacado,60
1991-12,0.0023,atacado,60
1992-01,0.0032,atacado,60
1992-02,0.0035,atacado,60
1992-03,0.0034,atacado,60
1992-04,0.0041,atacado,60
1992-05,0.0053,atacado,60
1992-06,0.0068,atacado,60
1992-07,0.0081,atacado,60
1992-08,0.0106,atacado,60
1992-09,0.0153,atacado,60
1992-10,0.0194,atacado,60
1992-11,0.0243,atacado,60
1992-12,0.0316,atacado,60
1993-01,0.0377,atacado,60
1993-02,0.0425,atacado,60
1993-03,0.0488,atacado,60
1993-04,0.0651,atacado,60
1993-05,0.0838,atacado,60
1993-06,0.1111,atacado,60
1993-07,0.1556,atacado,60
1993-08,0.2267,atacado,60
1993-09,0.3011,atacado,60
1993-10,0.4202,atacado,60
1993-11,0.5836,atacado,60
1993-12,0.8332,atacado,60
1994-01,1.0558,atacado,60
1994-02,1.2746,atacado,60
1994-03,1.6961,atacado,60
1994-04,2.4613,atacado,60
1994-05,3.5887,atacado,60
1994-06,5.3064,atacado,60
1994-07,6.75,atacado,60
1994-08,6.68,atacado,60
1994-09,6.67,atacado,60
1994-10,7.2,atacado,60
1994-11,7.71,atacado,60
1994-12,7.72,atacado,60
1995-01,7.5,atacado,60
1995-02,7.07,atacado,60
1995-03,6.39,atacado,60
1995-04,5.79,atacado,60
1995-05,5.77,atacado,60
1995-06,6.1,atacado,60
1995-07,6.68,atacado,60
1995-08,6.93,atacado,60
1995-09,6.36,atacado,60
1995-10,7.03,atacado,60
1995-11,7.41,atacado,60
1995-12,7.49,atacado,60
1996-01,7.73,atacado,60
1996-02,7.32,atacado,60
1996-03,7.38,atacado,60
1996-04,8.33,atacado,60
1996-05,9.19,atacado,60
1996-06,9,atacado,60
1996-07,8.88,atacado,60
1996-08,9.05,atacado,60
1996-09,9.04,atacado,60
1996-10,8.8,atacado,60
1996-11,8.33,atacado,60
1996-12,7.79,atacado,60
1997-01,7.34,atacado,60
1997-02,7.02,atacado,60
1997-03,6.9,atacado,60
1997-04,7.08,atacado,60
1997-05,7.27,atacado,60
1997-06,7.16,atacado,60
1997-07,7.15,atacado,60
1997-08,7.13,atacado,60
1997-09,7.12,atacado,60
1997-10,7.58,atacado,60
1997-11,7.68,atacado,60
1997-12,7.93,atacado,60
1998-01,8.25,atacado,60
1998-02,8.15,atacado,60
1998-03,7.91,atacado,60
1998-04,8.11,atacado,60
1998-05,8.48,atacado,60
1998-06,8.25,atacado,60
1998-07,8.11,atacado,60
1998-08,7.99,atacado,60
1998-09,8.03,atacado,60
1998-10,8.09,atacado,60
1998-11,8.23,atacado,60
1998-12,8.9,atacado,60
