referencia,valor,modo_venda,qtd_latas
1990-01,0.0001,atacado,20
1990-02,0.0002,atacado,20
1990-03,0.0003,atacado,20
1990-04,0.0002,atacado,20
1990-05,0.0002,atacado,20
1990-06,0.0003,atacado,20
1990-07,0.0003,atacado,20
1990-08,0.0003,atacado,20
1990-09,0.0004,atacado,20
1990-10,0.0005,atacado,20
1990-11,0.0006,atacado,20
1990-12,0.0007,atacado,20
1991-01,0.001,atacado,20
1991-02,0.0013,atacado,20
1991-03,0.0013,atacado,20
1991-04,0.0013,atacado,20
1991-05,0.0014,atacado,20
1991-06,0.0014,atacado,20
1991-07,0.0015,atacado,20
1991-08,0.0018,atacado,20
1991-09,0.0022,atacado,20
1991-10,0.0033,atacado,20
1991-11,0.0039,atacado,20
1991-12,0.0044,atacado,20
1992-01,0.0061,atacado,20
1992-02,0.0076,atacado,20
1992-03,0.0085,atacado,20
1992-04,0.0104,atacado,20
1992-05,0.0123,atacado,20
1992-06,0.0141,atacado,20
1992-07,0.0169,atacado,20
1992-08,0.0208,atacado,20
1992-09,0.0275,atacado,20
1992-10,0.0355,atacado,20
1992-11,0.0427,atacado,20
1992-12,0.0529,atacado,20
1993-01,0.0758,atacado,20
1993-02,0.0951,atacado,20
1993-03,0.1162,atacado,20
1993-04,0.138,atacado,20
1993-05,0.1608,atacado,20
1993-06,0.221,atacado,20
1993-07,0.3151,atacado,20
1993-08,0.4268,atacado,20
1993-09,0.574,atacado,20
1993-10,0.7596,atacado,20
1993-11,1.0372,atacado,20
1993-12,1.5079,atacado,20
1994-01,2.3068,atacado,20
1994-02,2.9709,atacado,20
1994-03,4.1954,atacado,20
1994-04,5.9784,atacado,20
1994-05,8.1876,atacado,20
1994-06,11.4975,atacado,20
1994-07,14.85,atacado,20
1994-08,14.85,atacado,20
1994-09,14.47,atacado,20
1994-10,14.52,atacado,20
1994-11,14.44,atacado,20
1994-12,14.86,atacado,20
1995-01,16.32,atacado,20
1995-02,16.82,atacado,20
1995-03,16.36,atacado,20
1995-04,15.7,atacado,20
1995-05,14.75,atacado,20
1995-06,14.54,atacado,20
1995-07,14.54,atacado,20
1995-08,14.91,atacado,20
1995-09,14.92,atacado,20
1995-10,14.78,atacado,20
1995-11,15.5,atacado,20
1995-12,15.58,atacado,20
1996-01,15.74,atacado,20
1996-02,15.87,atacado,20
1996-03,15.36,atacado,20
1996-04,14.82,atacado,20
1996-05,15.17,atacado,20
1996-06,15.22,atacado,20
1996-07,14.78,atacado,20
1996-08,14.65,atacado,20
1996-09,14.84,atacado,20
1996-10,15.14,atacado,20
1996-11,15.27,atacado,20
1996-12,15.34,atacado,20
1997-01,15.17,atacado,20
1997-02,15.49,atacado,20
1997-03,15.73,atacado,20
1997-04,15.56,atacado,20
1997-05,15.65,atacado,20
1997-06,15.75,atacado,20
1997-07,15.77,atacado,20
1997-08,15.78,atacado,20
1997-09,16.2,atacado,20
1997-10,17.11,atacado,20
1997-11,18.01,atacado,20
1997-12,20.18,atacado,20
1998-01,21.96,atacado,20
1998-02,21.87,atacado,20
1998-03,21.13,atacado,20
1998-04,21.06,atacado,20
1998-05,20.58,atacado,20
1998-06,21.21,atacado,20
1998-07,20.62,atacado,20
1998-08,19.54,atacado,20
1998-09,20.26,atacado,20
1998-10,20.18,atacado,20
1998-11,20.34,atacado,20
1998-12,19.86,atacado,20
1999-01,20.13,atacado,20
1999-02,23.48,atacado,20
1999-03,22.72,atacado,20
1999-04,20.42,atacado,20
1999-05,20.74,atacado,20
1999-06,20.21,atacado,20
1999-07,19.86,atacado,20
1999-08,19.95,atacado,20
1999-09,21.14,atacado,20
1999-10,20.86,atacado,20
1999-11,20.89,atacado,20
1999-12,20.44,atacado,20
2000-01,20.15,atacado,20
2000-02,20,atacado,20
2000-03,19.13,atacado,20
2000-04,18.26,atacado,20
2000-05,18.6,atacado,20
2000-06,18.09,atacado,20
2000-07,18.22,atacado,20
2000-08,17.65,atacado,20
2000-09,17.3,atacado,20
2000-10,17.18,atacado,20
2000-11,17.14,atacado,20
2000-12,17.93,atacado,20
2001-01,18.46,atacado,20
2001-02,18.03,atacado,20
2001-03,18.44,atacado,20
2001-04,19.39,atacado,20
2001-05,19.35,atacado,20
2001-06,19.46,atacado,20
2001-07,22.33,atacado,20
2001-08,25.77,atacado,20
2001-09,26.15,atacado,20
2001-10,25.73,atacado,20
