referencia,valor,modo_venda,duzias
1990-01,0.000090618,atacado,30
1990-02,0.00017924,atacado,30
1990-03,0.0004436,atacado,30
1990-04,0.00044706,atacado,30
1990-05,0.00044507,atacado,30
1990-06,0.001,atacado,30
1990-07,0.001,atacado,30
1990-08,0.001,atacado,30
1990-09,0.001,atacado,30
1990-10,0.001,atacado,30
1990-11,0.001,atacado,30
1990-12,0.001,atacado,30
1991-01,0.001,atacado,30
1991-02,0.001,atacado,30
1991-03,0.001,atacado,30
1991-04,0.002,atacado,30
1991-05,0.002,atacado,30
1991-06,0.002,atacado,30
1991-07,0.002,atacado,30
1991-08,0.002,atacado,30
1991-09,0.003,atacado,30
1991-10,0.003,atacado,30
1991-11,0.004,atacado,30
1991-12,0.005,atacado,30
1992-01,0.005,atacado,30
1992-02,0.01,atacado,30
1992-03,0.013,atacado,30
1992-04,0.012,atacado,30
1992-05,0.015,atacado,30
1992-06,0.016,atacado,30
1992-07,0.02,atacado,30
1992-08,0.026,atacado,30
1992-09,0.03,atacado,30
1992-10,0.037,atacado,30
1992-11,0.048,atacado,30
1992-12,0.064,atacado,30
1993-01,0.079,atacado,30
1993-02,0.118,atacado,30
1993-03,0.162,atacado,30
1993-04,0.184,atacado,30
1993-05,0.239,atacado,30
1993-06,0.329,atacado,30
1993-07,0.422,atacado,30
1993-08,0.544,atacado,30
1993-09,0.733,atacado,30
1993-10,0.757,atacado,30
1993-11,0.894,atacado,30
1993-12,1.41,atacado,30
1994-01,2.161,atacado,30
1994-02,2.964,atacado,30
1994-03,4.323,atacado,30
1994-04,5.858,atacado,30
1994-05,7.369,atacado,30
1994-06,12.237,atacado,30
1994-07,16.11,atacado,30
1994-08,16.31,atacado,30
1994-09,15.67,atacado,30
1994-10,15.18,atacado,30
1994-11,14.89,atacado,30
1994-12,15.75,atacado,30
1995-01,14.96,atacado,30
1995-02,16.04,atacado,30
1995-03,16.36,atacado,30
1995-04,15.78,atacado,30
1995-05,14.98,atacado,30
1995-06,15.14,atacado,30
1995-07,14.58,atacado,30
1995-08,14.39,atacado,30
1995-09,14.21,atacado,30
1995-10,14.08,atacado,30
1995-11,13.84,atacado,30
1995-12,14.03,atacado,30
1996-01,14.13,atacado,30
1996-02,15.52,atacado,30
1996-03,16.69,atacado,30
1996-04,17.26,atacado,30
1996-05,17.31,atacado,30
1996-06,18.52,atacado,30
1996-07,20.3,atacado,30
1996-08,22.5,atacado,30
1996-09,21.56,atacado,30
1996-10,20.7,atacado,30
1996-11,20.28,atacado,30
1996-12,19.86,atacado,30
