referencia,valor,modo_venda,duzias
1990-01,0.000080767,atacado,30
1990-02,0.00016392,atacado,30
1990-03,0.00038494,atacado,30
1990-04,0.00038795,atacado,30
1990-05,0.00039564,atacado,30
1990-06,0.00046563,atacado,30
1990-07,0.001,atacado,30
1990-08,0.001,atacado,30
1990-09,0.001,atacado,30
1990-10,0.001,atacado,30
1990-11,0.001,atacado,30
1990-12,0.001,atacado,30
1991-01,0.001,atacado,30
1991-02,0.001,atacado,30
1991-03,0.001,atacado,30
1991-04,0.002,atacado,30
1991-05,0.002,atacado,30
1991-06,0.002,atacado,30
1991-07,0.002,atacado,30
1991-08,0.002,atacado,30
1991-09,0.002,atacado,30
1991-10,0.002,atacado,30
1991-11,0.003,atacado,30
1991-12,0.005,atacado,30
1992-01,0.005,atacado,30
1992-02,0.009,atacado,30
1992-03,0.012,atacado,30
1992-04,0.011,atacado,30
1992-05,0.014,atacado,30
1992-06,0.016,atacado,30
1992-07,0.019,atacado,30
1992-08,0.025,atacado,30
1992-09,0.029,atacado,30
1992-10,0.036,atacado,30
1992-11,0.046,atacado,30
1992-12,0.061,atacado,30
1993-01,0.074,atacado,30
1993-02,0.115,atacado,30
1993-03,0.154,atacado,30
1993-04,0.187,atacado,30
1993-05,0.23,atacado,30
1993-06,0.317,atacado,30
1993-07,0.407,atacado,30
1993-08,0.508,atacado,30
1993-09,0.682,atacado,30
1993-10,0.718,atacado,30
1993-11,0.845,atacado,30
1993-12,1.283,atacado,30
1994-01,1.935,atacado,30
1994-02,2.728,atacado,30
1994-03,4.015,atacado,30
1994-04,5.364,atacado,30
1994-05,6.961,atacado,30
1994-06,11.54,atacado,30
1994-07,14.9,atacado,30
1994-08,15.14,atacado,30
1994-09,14.66,atacado,30
1994-10,14.37,atacado,30
1994-11,13.79,atacado,30
1994-12,14.68,atacado,30
1995-01,13.68,atacado,30
1995-02,14.77,atacado,30
1995-03,15.1,atacado,30
1995-04,14.66,atacado,30
1995-05,14.11,atacado,30
1995-06,14.08,atacado,30
1995-07,13.33,atacado,30
1995-08,13.43,atacado,30
1995-09,13.09,atacado,30
1995-10,13.08,atacado,30
1995-11,12.87,atacado,30
1995-12,13,atacado,30
1996-01,13.12,atacado,30
1996-02,14.27,atacado,30
1996-03,15.44,atacado,30
1996-04,15.53,atacado,30
1996-05,16.04,atacado,30
1996-06,17.64,atacado,30
1996-07,18.88,atacado,30
1996-08,20.97,atacado,30
1996-09,20.1,atacado,30
1996-10,18.98,atacado,30
1996-11,18.4,atacado,30
1996-12,17.84,atacado,30
1997-01,17.1,atacado,30
1997-02,18.95,atacado,30
1997-03,20.45,atacado,30
1997-04,19.53,atacado,30
1997-05,18.32,atacado,30
1997-06,20.31,atacado,30
1997-07,20.45,atacado,30
1997-08,20.28,atacado,30
1997-09,18.95,atacado,30
1997-10,18.54,atacado,30
1997-11,17.23,atacado,30
1997-12,18.08,atacado,30
1998-01,17.06,atacado,30
1998-02,16.49,atacado,30
1998-03,19.42,atacado,30
1998-04,20.15,atacado,30
1998-05,20.24,atacado,30
1998-06,20.38,atacado,30
1998-07,19.84,atacado,30
1998-08,18.36,atacado,30
1998-09,17,atacado,30
1998-10,16.95,atacado,30
1998-11,16.55,atacado,30
1998-12,15.94,atacado,30
1999-01,15.37,atacado,30
1999-02,16.1,atacado,30
1999-03,18.11,atacado,30
1999-04,16.93,atacado,30
1999-05,17.03,atacado,30
1999-06,19.6,atacado,30
1999-07,18.41,atacado,30
1999-08,17.99,atacado,30
1999-09,17.34,atacado,30
1999-10,16.91,atacado,30
1999-11,18.55,atacado,30
1999-12,20.27,atacado,30
2000-01,19.06,atacado,30
2000-02,20.58,atacado,30
2000-03,21.48,atacado,30
2000-04,21,atacado,30
2000-05,20.33,atacado,30
2000-06,20.62,atacado,30
2000-07,20.46,atacado,30
2000-08,22.04,atacado,30
2000-09,21.41,atacado,30
2000-10,21.36,atacado,30
2000-11,20.74,atacado,30
2000-12,20.96,atacado,30
2001-01,19.19,atacado,30
2001-02,20.44,atacado,30
2001-03,23.05,atacado,30
2001-04,24.7,atacado,30
2001-05,22.48,atacado,30
2001-06,23.56,atacado,30
2001-07,25.73,atacado,30
2001-08,24.83,atacado,30
2001-09,20.28,atacado,30
2001-10,18.99,atacado,30
2001-11,17.52,atacado,30
2001-12,18.94,atacado,30
2002-01,18.75,atacado,30
2002-02,22.04,atacado,30
2002-03,24.03,atacado,30
2002-04,19.88,atacado,30
2002-05,20.66,atacado,30
2002-06,24.14,atacado,30
2002-07,25.57,atacado,30
2002-08,24.19,atacado,30
2002-09,23.19,atacado,30
2002-10,27.2,atacado,30
2002-11,32.68,atacado,30
2002-12,36.99,atacado,30
2003-01,35.87,atacado,30
2003-02,39.76,atacado,30
2003-03,42,atacado,30
2003-04,43.61,atacado,30
2003-05,41.49,atacado,30
2003-06,42.22,atacado,30
2003-07,41.67,atacado,30
2003-08,41.69,atacado,30
2003-09,40.64,atacado,30
2003-10,35.87,atacado,30
2003-11,32.658,atacado,30
2003-12,33.246,atacado,30
2004-01,31.635,atacado,30
2004-02,37.23,atacado,30
2004-03,40.654,atacado,30
2004-04,37.418,atacado,30
2004-05,35.47,atacado,30
2004-06,38.226,atacado,30
2004-07,36.463,atacado,30
2004-08,36.918,atacado,30
2004-09,32.882,atacado,30
2004-10,29.981,atacado,30
2004-11,30.803,atacado,30
2004-12,31.502,atacado,30
2005-01,29.277,atacado,30
2005-02,35.49,atacado,30
2005-03,40.818,atacado,30
2005-04,36.907,atacado,30
2005-05,36.694,atacado,30
2005-06,37.834,atacado,30
2005-07,35.876,atacado,30
2005-08,32.972,atacado,30
2005-09,29.756,atacado,30
2005-10,31.344,atacado,30
2005-11,30.49,atacado,30
2005-12,28.711,atacado,30
2006-01,24.841,atacado,30
2006-02,26.127,atacado,30
2006-03,26.434,atacado,30
2006-04,26.952,atacado,30
2006-05,27.05,atacado,30
2006-06,27.825,atacado,30
2006-07,26.852,atacado,30
2006-08,25.902,atacado,30
2006-09,26.239,atacado,30
2006-10,28.384,atacado,30
2006-11,28.26,atacado,30
2006-12,32.861,atacado,30
2007-01,29.806,atacado,30
2007-02,36.392,atacado,30
2007-03,39.17,atacado,30
2007-04,38.29,atacado,30
2007-05,36.366,atacado,30
2007-06,38.942,atacado,30
2007-07,40.073,atacado,30
2007-08,39.775,atacado,30
2007-09,37.479,atacado,30
2007-10,35.57,atacado,30
2007-11,34.462,atacado,30
2007-12,39.219,atacado,30
2008-01,38.351,atacado,30
2008-02,46.736,atacado,30
2008-03,50.584,atacado,30
2008-04,41.433,atacado,30
2008-05,41.917,atacado,30
2008-06,42.801,atacado,30
2008-07,45.563,atacado,30
2008-08,46.071,atacado,30
2008-09,44.564,atacado,30
2008-10,39.724,atacado,30
2008-11,37.73,atacado,30
2008-12,38.457,atacado,30
2009-01,36.471,atacado,30
2009-02,40.741,atacado,30
2009-03,45.525,atacado,30
2009-04,45.338,atacado,30
2009-05,43.066,atacado,30
2009-06,44.955,atacado,30
2009-07,41.9,atacado,30
2009-08,40.166,atacado,30
2009-09,38.869,atacado,30
2009-10,36.214,atacado,30
2009-11,35.706,atacado,30
2009-12,36.768,atacado,30
2010-01,35.11,atacado,30
2010-02,39.84,atacado,30
2010-03,41.89,atacado,30
2010-04,38.9,atacado,30
2010-05,40.61,atacado,30
2010-06,43.24,atacado,30
2010-07,41.76,atacado,30
2010-08,41.59,atacado,30
2010-09,36.59,atacado,30
2010-10,34.81,atacado,30
2010-11,34.7,atacado,30
2010-12,35.05,atacado,30
2011-01,33.23,atacado,30
2011-02,37.2,atacado,30
2011-03,41.21,atacado,30
2011-04,46.98,atacado,30
2011-05,43.55,atacado,30
2011-06,44.46,atacado,30
2011-07,45.55,atacado,30
2011-08,45.09,atacado,30
2011-09,44.5,atacado,30
2011-10,43.56,atacado,30
2011-11,42.74,atacado,30
2011-12,42.61,atacado,30
2012-01,40.74,atacado,30
2012-02,41.42,atacado,30
2012-03,44.16,atacado,30
2012-04,43.11,atacado,30
2012-05,42.721,atacado,30
2012-06,47.402,atacado,30
2012-07,48.352,atacado,30
2012-08,50.578,atacado,30
2012-09,51.434,atacado,30
2012-10,51.278,atacado,30
2012-11,50.453,atacado,30
2012-12,53.78,atacado,30
2013-01,54.68,atacado,30
2013-02,65.029,atacado,30
2013-03,69.892,atacado,30
2013-04,68.862,atacado,30
2013-05,67.233,atacado,30
2013-06,66.469,atacado,30
2013-07,67.016,atacado,30
2013-08,66.476,atacado,30
2013-09,65.149,atacado,30
2013-10,58.625,atacado,30
2013-11,52.945,atacado,30
2013-12,53.755,atacado,30
2014-01,48.261,atacado,30
2014-02,55.234,atacado,30
2014-03,67.728,atacado,30
2014-04,72.379,atacado,30
2014-05,64.76,atacado,30
2014-06,61.47,atacado,30
2014-07,60.269,atacado,30
2014-08,58.696,atacado,30
2014-09,49.671,atacado,30
2014-10,49.613,atacado,30
2014-11,48.692,atacado,30
2014-12,48.42,atacado,30
2015-01,49.865,atacado,30
2015-02,64.108,atacado,30
2015-03,71.758,atacado,30
2015-04,62.646,atacado,30
2015-05,60.925,atacado,30
2015-06,63.234,atacado,30
2015-07,62.964,atacado,30
2015-08,63.352,atacado,30
2015-09,58.446,atacado,30
2015-10,61.627,atacado,30
2015-11,65.732,atacado,30
2015-12,66.283,atacado,30
2016-01,63.745,atacado,30
2016-02,76.007,atacado,30
2016-03,81.964,atacado,30
2016-04,74.449,atacado,30
2016-05,71.729,atacado,30
2016-06,82.551,atacado,30
2016-07,88.863,atacado,30
2016-08,87.942,atacado,30
2016-09,79.254,atacado,30
2016-10,72.983,atacado,30
2016-11,71.895,atacado,30
2016-12,77.196,atacado,30
2017-01,67.514,atacado,30
2017-02,81.525,atacado,30
2017-03,88.364,atacado,30
2017-04,91.031,atacado,30
2017-05,85.96,atacado,30
2017-06,88.127,atacado,30
2017-07,87.135,atacado,30
2017-08,84.147,atacado,30
2017-09,78.985,atacado,30
2017-10,72.95,atacado,30
2017-11,70.077,atacado,30
2017-12,72.294,atacado,30
2018-01,61.044,atacado,30
2018-02,74.425,atacado,30
2018-03,82.395,atacado,30
2018-04,75.923,atacado,30
2018-05,67.871,atacado,30
2018-06,84.756,atacado,30
2018-07,73.711,atacado,30
2018-08,70.024,atacado,30
2018-09,67.133,atacado,30
2018-10,60.827,atacado,30
2018-11,63.724,atacado,30
2018-12,64.337,atacado,30
2019-01,55.069,atacado,30
2019-02,78.54,atacado,30
2019-03,79.418,atacado,30
2019-04,83.005,atacado,30
2019-05,74.551,atacado,30
2019-06,75.689,atacado,30
2019-07,74.808,atacado,30
2019-08,79.221,atacado,30
2019-09,79.796,atacado,30
2019-10,80.311,atacado,30
2019-11,77.298,atacado,30
2019-12,86.729,atacado,30
2020-01,78.683,atacado,30
2020-02,97.229,atacado,30
2020-03,103.199,atacado,30
2020-04,111.403,atacado,30
2020-05,103.414,atacado,30
2020-06,98.829,atacado,30
2020-07,89.736,atacado,30
2020-08,88.014,atacado,30
2020-09,85.674,atacado,30
2020-10,88.386,atacado,30
2020-11,97.586,atacado,30
2020-12,103.969,atacado,30
2021-01,97.294,atacado,30
2021-02,117.388,atacado,30
2021-03,124.282,atacado,30
2021-04,123.663,atacado,30
2021-05,120.386,atacado,30
2021-06,121.197,atacado,30
2021-07,122.411,atacado,30
2021-08,132.879,atacado,30
2021-09,129.726,atacado,30
2021-10,124.946,atacado,30
2021-11,116.682,atacado,30
2021-12,116.629,atacado,30
2022-01,106.849,atacado,30
2022-02,129.7,atacado,30
2022-03,144.106,atacado,30
2022-04,149.893,atacado,30
2022-05,148.293,atacado,30
2022-06,148.352,atacado,30
2022-07,147.821,atacado,30
2022-08,152.303,atacado,30
2022-09,153.959,atacado,30
2022-10,154.9,atacado,30
2022-11,152.599,atacado,30
2022-12,151.207,atacado,30
2023-01,144.068,atacado,30
2023-02,162.811,atacado,30
2023-03,182.581,atacado,30
2023-04,186.1,atacado,30
2023-05,194.951,atacado,30
2023-06,195.004,atacado,30
2023-07,184.175,atacado,30
2023-08,169.932,atacado,30
