referencia,valor,modo_venda,duzias
1990-01,0.000062087,atacado,30
1990-02,0.00013677,atacado,30
1990-03,0.00033202,atacado,30
1990-04,0.00032965,atacado,30
1990-05,0.00032403,atacado,30
1990-06,0.00039756,atacado,30
1990-07,0.001,atacado,30
1990-08,0.001,atacado,30
1990-09,0.001,atacado,30
1990-10,0.00046706,atacado,30
1990-11,0.00043114,atacado,30
1990-12,0.001,atacado,30
1991-01,0.001,atacado,30
1991-02,0.001,atacado,30
1991-03,0.001,atacado,30
1991-04,0.001,atacado,30
1991-05,0.001,atacado,30
1991-06,0.002,atacado,30
1991-07,0.002,atacado,30
1991-08,0.002,atacado,30
1991-09,0.002,atacado,30
1991-10,0.002,atacado,30
1991-11,0.003,atacado,30
1991-12,0.004,atacado,30
1992-01,0.004,atacado,30
1992-02,0.008,atacado,30
1992-03,0.01,atacado,30
1992-04,0.01,atacado,30
1992-05,0.013,atacado,30
1992-06,0.014,atacado,30
1992-07,0.017,atacado,30
1992-08,0.023,atacado,30
1992-09,0.026,atacado,30
1992-10,0.032,atacado,30
1992-11,0.041,atacado,30
1992-12,0.053,atacado,30
1993-01,0.064,atacado,30
1993-02,0.101,atacado,30
1993-03,0.14,atacado,30
1993-04,0.162,atacado,30
1993-05,0.208,atacado,30
1993-06,0.287,atacado,30
1993-07,0.369,atacado,30
1993-08,0.434,atacado,30
1993-09,0.573,atacado,30
1993-10,0.602,atacado,30
1993-11,0.696,atacado,30
1993-12,1.01,atacado,30
1994-01,1.61,atacado,30
1994-02,2.215,atacado,30
1994-03,3.463,atacado,30
1994-04,4.812,atacado,30
1994-05,5.918,atacado,30
1994-06,9.584,atacado,30
1994-07,13.07,atacado,30
1994-08,13.57,atacado,30
1994-09,13.19,atacado,30
1994-10,12.43,atacado,30
1994-11,11.25,atacado,30
1994-12,11.97,atacado,30
1995-01,11.11,atacado,30
1995-02,11.76,atacado,30
1995-03,12.96,atacado,30
1995-04,12.99,atacado,30
1995-05,12.23,atacado,30
1995-06,12.14,atacado,30
1995-07,11.76,atacado,30
1995-08,11.65,atacado,30
1995-09,11.72,atacado,30
1995-10,12.46,atacado,30
1995-11,10.79,atacado,30
1995-12,11.05,atacado,30
1996-01,10.57,atacado,30
1996-02,10.97,atacado,30
1996-03,13.01,atacado,30
1996-04,12.48,atacado,30
1996-05,12.34,atacado,30
1996-06,12.08,atacado,30
1996-07,14.45,atacado,30
1996-08,18.38,atacado,30
1996-09,18.81,atacado,30
1996-10,16.54,atacado,30
1996-11,16.27,atacado,30
1996-12,15.75,atacado,30
1997-01,12.61,atacado,30
1997-02,18.69,atacado,30
1997-03,17.7,atacado,30
1997-04,17.5,atacado,30
1997-05,16.82,atacado,30
1997-06,19.09,atacado,30
1997-07,19.41,atacado,30
1997-08,17.67,atacado,30
1997-09,16.32,atacado,30
1997-10,16.01,atacado,30
1997-11,14.55,atacado,30
1997-12,16.02,atacado,30
1998-01,13.79,atacado,30
1998-02,13.33,atacado,30
1998-03,17.56,atacado,30
1998-04,17.15,atacado,30
1998-05,16.98,atacado,30
1998-06,17.01,atacado,30
1998-07,17.64,atacado,30
1998-08,16.34,atacado,30
1998-09,14.64,atacado,30
1998-10,14.52,atacado,30
1998-11,15.22,atacado,30
1998-12,12.22,atacado,30
1999-01,12.06,atacado,30
1999-02,12.41,atacado,30
1999-03,15.48,atacado,30
1999-04,14.09,atacado,30
1999-05,14.17,atacado,30
1999-06,16.75,atacado,30
1999-07,15.77,atacado,30
1999-08,15.25,atacado,30
1999-09,14.15,atacado,30
1999-10,14.72,atacado,30
1999-11,15.22,atacado,30
1999-12,17.15,atacado,30
2000-01,17.26,atacado,30
2000-02,17.79,atacado,30
2000-03,17.41,atacado,30
2000-04,16.95,atacado,30
2000-05,15.24,atacado,30
2000-06,15.96,atacado,30
2000-07,17.96,atacado,30
2000-08,18.75,atacado,30
2000-09,17.79,atacado,30
2000-10,17.05,atacado,30
2000-11,18.04,atacado,30
2000-12,17.43,atacado,30
2001-01,14.47,atacado,30
2001-02,17.12,atacado,30
2001-03,19.77,atacado,30
2001-04,21.92,atacado,30
2001-05,19.2,atacado,30
2001-06,20.29,atacado,30
2001-07,22.35,atacado,30
2001-08,21.3,atacado,30
2001-09,16.25,atacado,30
2001-10,15.23,atacado,30
2001-11,13.13,atacado,30
2001-12,15.91,atacado,30
2002-01,15.38,atacado,30
2002-02,19.31,atacado,30
2002-03,20.61,atacado,30
2002-04,15.64,atacado,30
2002-05,17.42,atacado,30
2002-06,21.76,atacado,30
2002-07,22.55,atacado,30
2002-08,21.14,atacado,30
2002-09,20.1,atacado,30
2002-10,24.54,atacado,30
2002-11,30.3,atacado,30
2002-12,33.82,atacado,30
2003-01,32.35,atacado,30
2003-02,36.3,atacado,30
2003-03,38.39,atacado,30
2003-04,39.94,atacado,30
2003-05,37.81,atacado,30
2003-06,38.9,atacado,30
2003-07,38.31,atacado,30
2003-08,38.22,atacado,30
2003-09,37.86,atacado,30
2003-10,36.05,atacado,30
2003-11,32.324,atacado,30
2003-12,30.367,atacado,30
2004-01,27.727,atacado,30
2004-02,33.65,atacado,30
2004-03,37.294,atacado,30
2004-04,33.164,atacado,30
2004-05,31.766,atacado,30
2004-06,34.477,atacado,30
2004-07,33.259,atacado,30
2004-08,33.832,atacado,30
2004-09,28.613,atacado,30
2004-10,26.779,atacado,30
2004-11,27.346,atacado,30
2004-12,28.329,atacado,30
2005-01,29.028,atacado,30
2005-02,31.502,atacado,30
2005-03,38.309,atacado,30
2005-04,33.735,atacado,30
2005-05,33.951,atacado,30
2005-06,34.508,atacado,30
2005-07,32.188,atacado,30
2005-08,29.343,atacado,30
2005-09,26.697,atacado,30
2005-10,27.869,atacado,30
2005-11,27.32,atacado,30
2005-12,24.135,atacado,30
2006-01,19.746,atacado,30
2006-02,21.338,atacado,30
2006-03,21.413,atacado,30
2006-04,24.215,atacado,30
2006-05,23.739,atacado,30
2006-06,24.701,atacado,30
2006-07,23.059,atacado,30
2006-08,22.185,atacado,30
2006-09,22.881,atacado,30
2006-10,25.454,atacado,30
2006-11,24.856,atacado,30
2006-12,30.407,atacado,30
2007-01,26.445,atacado,30
2007-02,34.033,atacado,30
2007-03,35.426,atacado,30
2007-04,34.97,atacado,30
2007-05,32.783,atacado,30
2007-06,35.525,atacado,30
2007-07,36.849,atacado,30
2007-08,36.938,atacado,30
2007-09,34.053,atacado,30
2007-10,32.721,atacado,30
2007-11,31.467,atacado,30
2007-12,37.61,atacado,30
2008-01,36.08,atacado,30
2008-02,44.763,atacado,30
2008-03,47.522,atacado,30
2008-04,38.627,atacado,30
2008-05,38.491,atacado,30
2008-06,39.371,atacado,30
2008-07,39.203,atacado,30
2008-08,38.095,atacado,30
2008-09,36.102,atacado,30
2008-10,33.513,atacado,30
2008-11,32.657,atacado,30
2008-12,32.223,atacado,30
2009-01,32.642,atacado,30
2009-02,34.908,atacado,30
2009-03,35.11,atacado,30
2009-04,34.025,atacado,30
2009-05,30.443,atacado,30
2009-06,33.689,atacado,30
2009-07,30.466,atacado,30
2009-08,28.788,atacado,30
2009-09,31.419,atacado,30
2009-10,25.439,atacado,30
2009-11,23.651,atacado,30
2009-12,25.523,atacado,30
2010-01,22.76,atacado,30
2010-02,28.85,atacado,30
2010-03,32.02,atacado,30
2010-04,30.13,atacado,30
2010-05,30.19,atacado,30
2010-06,33.51,atacado,30
2010-07,31.44,atacado,30
2010-08,31.47,atacado,30
2010-09,29.93,atacado,30
2010-10,28.51,atacado,30
2010-11,27.77,atacado,30
2010-12,30.68,atacado,30
2011-01,26.91,atacado,30
2011-02,34.21,atacado,30
2011-03,38.07,atacado,30
2011-04,43.42,atacado,30
2011-05,36.14,atacado,30
2011-06,37.11,atacado,30
2011-07,40.54,atacado,30
2011-08,38.83,atacado,30
2011-09,38.63,atacado,30
2011-10,36.64,atacado,30
2011-11,37.01,atacado,30
2011-12,39.02,atacado,30
2012-01,31.47,atacado,30
2012-02,36.46,atacado,30
2012-03,41.02,atacado,30
2012-04,41.34,atacado,30
2012-05,39.218,atacado,30
2012-06,44.126,atacado,30
2012-07,44.118,atacado,30
2012-08,45.791,atacado,30
2012-09,40.159,atacado,30
2012-10,32.341,atacado,30
2012-11,41.813,atacado,30
2012-12,42.978,atacado,30
2013-01,37.423,atacado,30
2013-02,55.397,atacado,30
2013-03,58.547,atacado,30
2013-04,60.01,atacado,30
2013-05,57.155,atacado,30
2013-06,56.108,atacado,30
2013-07,55.964,atacado,30
2013-08,57.536,atacado,30
2013-09,54.849,atacado,30
2013-10,46.673,atacado,30
2013-11,39.67,atacado,30
2013-12,41.099,atacado,30
2014-01,37.187,atacado,30
2014-02,43.245,atacado,30
2014-03,57.957,atacado,30
2014-04,64.852,atacado,30
2014-05,56.398,atacado,30
2014-06,51.663,atacado,30
2014-07,49.797,atacado,30
2014-08,47.625,atacado,30
2014-09,37.814,atacado,30
2014-10,36.532,atacado,30
2014-11,36.218,atacado,30
2014-12,36.059,atacado,30
2015-01,38.358,atacado,30
2015-02,51.384,atacado,30
2015-03,56.918,atacado,30
2015-04,48.983,atacado,30
2015-05,50.164,atacado,30
