referencia,ano,mes,ano_mes,cana_de_acucar_preco_tonelada,cana_de_acucar_referencia,arroz_tipo_1_30kg,arroz_tipo_2_30kg,arroz_referencia,cafe_em_coco_preco_kg,cafe_referencia,feijao_preco_30kg,feijao_preto_preco_30kg,feijao_referencia,milho_preco_60kg,milho_referencia,soja_farelo_preco_tonelada,soja_farelo_referencia,carne_bovina_dianteira_kg,carne_bovina_traseira_kg,carne_bovina_referencia,carne_suina_carcaca_kg,carne_suina_lombo_kg,carne_suina_paleta_kg,carne_suina_pernil_kg,carne_suina_referencia,frango_kg,frango_referencia,leite_litro,leite_referencia,trigo_60kg,trigo_referencia,oleo_de_soja_20_latas,oleo_de_soja_referencia,ovos_extra_tipo_1_30_duzias,ovos_grandes_tipo_2_30_duzias,ovos_medios_tipo_3_30_duzias,ovos_pequenos_tipo_4_30_duzias,ovos_referencia,consolidado_ano
1990-01,1990,01,199001,0.000055407,agricultor,0.00012818,0.00012206,atacado,0.000001324,produtor,0.00011014,0.00012122,atacado,0.000041618,atacado,0.001,atacado,0.000008589,0.000013775,atacado,0.000008364,0.000023964,0.000013807,0.000014807,atacado,0.000007185,atacado,0.000001324,atacado,0.000042742,atacado,0.0001,atacado,0.000095924,0.000090618,0.000080767,0.000062087,atacado,false
1990-02,1990,02,199002,0.000092044,agricultor,0.00021071,0.000197,atacado,0.000002633,produtor,0.0001776,0.00015247,atacado,0.0001,atacado,0.002,atacado,0.000014778,0.000021095,atacado,0.000012313,0.000027102,0.000021804,0.000021465,atacado,0.000011876,atacado,0.000002633,atacado,0.000066742,atacado,0.0002,atacado,0.00019278,0.00017924,0.00016392,0.00013677,atacado,false
1990-03,1990,03,199003,0.00017342,agricultor,0.00024399,0.00027685,atacado,0.000005225,produtor,0.00029636,0.00029472,atacado,0.0001,atacado,0.003,atacado,0.000029873,0.000036185,atacado,0.000026527,0.000071753,0.00004004,0.0001,atacado,0.000024284,atacado,0.000005225,atacado,0.00011531,atacado,0.0003,atacado,0.0004722,0.0004436,0.00038494,0.00033202,atacado,false
1990-04,1990,04,199004,0.0002101,agricultor,0.0002492,0.00027216,atacado,0.000005116,produtor,0.00029566,0.00032712,atacado,0.0001,atacado,0.003,atacado,0.000026484,0.000037349,atacado,0.000028644,0.00007256,0.000044927,0.000049684,atacado,0.000022822,atacado,0.000005116,atacado,0.00016289,atacado,0.0002,atacado,0.00047778,0.00044706,0.00038795,0.00032965,atacado,false
1990-05,1990,05,199005,0.0002076,agricultor,0.00028931,0.00028906,atacado,0.000005411,produtor,0.00045377,0.0003756,atacado,0.0001,atacado,0.004,atacado,0.000028735,0.000041818,atacado,0.000038007,0.00008276,0.0001,0.0001,atacado,0.000023302,atacado,0.000005411,atacado,0.00016289,atacado,0.0002,atacado,0.00047621,0.00044507,0.00039564,0.00032403,atacado,false
1990-06,1990,06,199006,0.00020288,agricultor,0.00031895,0.00033205,atacado,0.00000552,produtor,0.00048709,0.001,atacado,0.0002,atacado,0.004,atacado,0.000036284,0.0001,atacado,0.000049895,0.000092327,0.0001,0.0001,atacado,0.000028385,atacado,0.00000552,atacado,0.00017165,atacado,0.0003,atacado,0.001,0.001,0.00046563,0.00039756,atacado,false
1990-07,1990,07,199007,0.00020947,agricultor,0.00034855,0.00036654,atacado,0.000005749,produtor,0.001,0.001,atacado,0.0002,atacado,0.004,atacado,0.000039636,0.0001,atacado,0.0001,0.000096044,0.0001,0.0001,atacado,0.000036651,atacado,0.000005749,atacado,0.00018815,atacado,0.0003,atacado,0.001,0.001,0.001,0.001,atacado,false
1990-08,1990,08,199008,0.00024892,agricultor,0.00038081,0.00038809,atacado,0.000006349,produtor,0.001,0.001,atacado,0.0002,atacado,0.004,atacado,0.000044924,0.0001,atacado,0.0001,0.00010136,0.0001,0.0001,atacado,0.000043175,atacado,0.000006349,atacado,0.00020845,atacado,0.0003,atacado,0.001,0.001,0.001,0.001,atacado,false
1990-09,1990,09,199009,0.000295,agricultor,0.00046974,0.00044352,atacado,0.000006964,produtor,0.001,0.001,atacado,0.0003,atacado,0.005,atacado,0.000058538,0.0001,atacado,0.0001,0.00011602,0.0001,0.0001,atacado,0.00005644,atacado,0.000006964,atacado,0.0002305,atacado,0.0004,atacado,0.001,0.001,0.001,0.001,atacado,false
1990-10,1990,10,199010,0.0003475,agricultor,0.001,0.001,atacado,0.000007778,produtor,0.001,0.001,atacado,0.0003,atacado,0.006,atacado,0.000057964,0.0001,atacado,0.0001,0.00012517,0.0001,0.0001,atacado,0.000058229,atacado,0.000007778,atacado,0.00029134,atacado,0.0005,atacado,0.001,0.001,0.001,0.00046706,atacado,false
1990-11,1990,11,199011,0.00042033,agricultor,0.001,0.001,atacado,0.000008549,produtor,0.001,0.001,atacado,0.0004,atacado,0.008,atacado,0.000055451,0.0001,atacado,0.0001,0.00013505,0.0001,0.0001,atacado,0.000051709,atacado,0.000008549,atacado,0.00033775,atacado,0.0006,atacado,0.001,0.001,0.001,0.00043114,atacado,false
1990-12,1990,12,199012,0.001,agricultor,0.001,0.001,atacado,0.000009625,produtor,0.001,0.001,atacado,0.0005,atacado,0.011,atacado,0.000055927,0.0001,atacado,0.0001,0.00013422,0.0001,0.0001,atacado,0.000053131,atacado,0.000009625,atacado,0.00040189,atacado,0.0007,atacado,0.001,0.001,0.001,0.001,atacado,true
1991-01,1991,01,199101,0.001,agricultor,0.002,0.001,atacado,0.000012222,produtor,0.001,0.001,atacado,0.0005,atacado,0.013,atacado,0.000070356,0.0001,atacado,0.0001,0.00016229,0.0001,0.0001,atacado,0.0000724,atacado,0.000012222,atacado,0.00049438,atacado,0.001,atacado,0.001,0.001,0.001,0.001,atacado,false
1991-02,1991,02,199102,0.001,agricultor,0.002,0.002,atacado,0.000016269,produtor,0.001,0.001,atacado,0.0005,atacado,0.014,atacado,0.000094713,0.0001,atacado,0.0001,0.00026249,0.0001,0.0002,atacado,0.000090811,atacado,0.000016269,atacado,0.001,atacado,0.0013,atacado,0.001,0.001,0.001,0.001,atacado,false
1991-03,1991,03,199103,0.001,agricultor,0.002,0.002,atacado,0.000017636,produtor,0.001,0.001,atacado,0.0006,atacado,0.014,atacado,0.000097276,0.0001,atacado,0.0001,0.00028012,0.0001,0.0002,atacado,0.000092276,atacado,0.000017636,atacado,0.001,atacado,0.0013,atacado,0.002,0.001,0.001,0.001,atacado,false
1991-04,1991,04,199104,0.001,agricultor,0.002,0.002,atacado,0.000018309,produtor,0.002,0.002,atacado,0.0007,atacado,0.015,atacado,0.00011024,0.0001,atacado,0.0001,0.00027061,0.0002,0.0002,atacado,0.000092836,atacado,0.000018309,atacado,0.001,atacado,0.0013,atacado,0.002,0.002,0.002,0.001,atacado,false
1991-05,1991,05,199105,0.001,agricultor,0.002,0.002,atacado,0.000019425,produtor,0.003,0.002,atacado,0.0007,atacado,0.018,atacado,0.00011621,0.0002,atacado,0.0001,0.00029938,0.0002,0.0002,atacado,0.00010023,atacado,0.000019425,atacado,0.001,atacado,0.0014,atacado,0.002,0.002,0.002,0.001,atacado,false
