referencia,valor,modo_venda,tonelada
1990-01,0.001,atacado,1
1990-02,0.002,atacado,1
1990-03,0.003,atacado,1
1990-04,0.003,atacado,1
1990-05,0.004,atacado,1
1990-06,0.004,atacado,1
1990-07,0.004,atacado,1
1990-08,0.004,atacado,1
1990-09,0.005,atacado,1
1990-10,0.006,atacado,1
1990-11,0.008,atacado,1
1990-12,0.011,atacado,1
1991-01,0.013,atacado,1
1991-02,0.014,atacado,1
1991-03,0.014,atacado,1
1991-04,0.015,atacado,1
1991-05,0.018,atacado,1
1991-06,0.019,atacado,1
1991-07,0.021,atacado,1
1991-08,0.026,atacado,1
1991-09,0.031,atacado,1
1991-10,0.046,atacado,1
1991-11,0.054,atacado,1
1991-12,0.063,atacado,1
1992-01,0.092,atacado,1
1992-02,0.116,atacado,1
1992-03,0.125,atacado,1
1992-04,0.14,atacado,1
1992-05,0.17,atacado,1
1992-06,0.208,atacado,1
1992-07,0.26,atacado,1
1992-08,0.343,atacado,1
1992-09,0.493,atacado,1
1992-10,0.587,atacado,1
1992-11,0.706,atacado,1
1992-12,0.868,atacado,1
1993-01,1.145,atacado,1
1993-02,1.35,atacado,1
1993-03,1.448,atacado,1
1993-04,1.815,atacado,1
1993-05,2.339,atacado,1
1993-06,3.211,atacado,1
1993-07,5.181,atacado,1
1993-08,6.929,atacado,1
1993-09,9.037,atacado,1
1993-10,11.589,atacado,1
1993-11,15.59,atacado,1
1993-12,21.168,atacado,1
1994-01,29.015,atacado,1
1994-02,37.918,atacado,1
1994-03,53.524,atacado,1
1994-04,71.786,atacado,1
1994-05,103.958,atacado,1
1994-06,166.02,atacado,1
1994-07,197.22,atacado,1
1994-08,188.43,atacado,1
1994-09,181.24,atacado,1
1994-10,183.58,atacado,1
1994-11,177.92,atacado,1
1994-12,162.06,atacado,1
1995-01,167.17,atacado,1
1995-02,166.42,atacado,1
1995-03,163.39,atacado,1
1995-04,162.32,atacado,1
1995-05,147.4,atacado,1
1995-06,144.71,atacado,1
1995-07,159.73,atacado,1
1995-08,180.38,atacado,1
1995-09,184.33,atacado,1
1995-10,190.24,atacado,1
1995-11,210.56,atacado,1
1995-12,233.02,atacado,1
1996-01,243.83,atacado,1
1996-02,242.27,atacado,1
1996-03,229.46,atacado,1
1996-04,236.96,atacado,1
1996-05,244.74,atacado,1
1996-06,240.95,atacado,1
1996-07,246.83,atacado,1
1996-08,255.92,atacado,1
1996-09,299.39,atacado,1
1996-10,309.21,atacado,1
1996-11,307.26,atacado,1
1996-12,308.25,atacado,1
1997-01,308.93,atacado,1
1997-02,306.89,atacado,1
1997-03,311.31,atacado,1
1997-04,324.45,atacado,1
1997-05,319.18,atacado,1
1997-06,312.42,atacado,1
1997-07,293.03,atacado,1
1997-08,305.19,atacado,1
1997-09,319.74,atacado,1
1997-10,332.4,atacado,1
1997-11,331.05,atacado,1
1997-12,325.69,atacado,1
1998-01,325.65,atacado,1
1998-02,270.23,atacado,1
1998-03,222.27,atacado,1
1998-04,197.28,atacado,1
1998-05,193.74,atacado,1
1998-06,208.64,atacado,1
1998-07,201.32,atacado,1
1998-08,188.79,atacado,1
1998-09,184.32,atacado,1
1998-10,188.93,atacado,1
1998-11,196.86,atacado,1
1998-12,201.37,atacado,1
1999-01,212.69,atacado,1
1999-02,290.41,atacado,1
1999-03,284.44,atacado,1
1999-04,255.64,atacado,1
1999-05,227.63,atacado,1
1999-06,236.22,atacado,1
1999-07,253.97,atacado,1
1999-08,280.71,atacado,1
1999-09,323.05,atacado,1
1999-10,342.86,atacado,1
1999-11,348.29,atacado,1
1999-12,333.51,atacado,1
2000-01,334.23,atacado,1
2000-02,334.82,atacado,1
2000-03,325.23,atacado,1
2000-04,321.01,atacado,1
2000-05,341.1,atacado,1
2000-06,333.83,atacado,1
2000-07,330.45,atacado,1
2000-08,325.07,atacado,1
2000-09,348.8,atacado,1
2000-10,356.16,atacado,1
2000-11,375.67,atacado,1
2000-12,434.03,atacado,1
2001-01,421.21,atacado,1
2001-02,391.82,atacado,1
2001-03,377.35,atacado,1
2001-04,369.64,atacado,1
2001-05,382.51,atacado,1
2001-06,432.39,atacado,1
2001-07,468.19,atacado,1
2001-08,484.9,atacado,1
2001-09,489.16,atacado,1
2001-10,529.63,atacado,1
2001-11,523.8,atacado,1
2001-12,496.42,atacado,1
2002-01,499.76,atacado,1
2002-02,483.79,atacado,1
2002-03,422.94,atacado,1
2002-04,414.68,atacado,1
2002-05,407.96,atacado,1
2002-06,462.35,atacado,1
2002-07,519.91,atacado,1
2002-08,568.49,atacado,1
2002-09,643.35,atacado,1
2002-10,733.66,atacado,1
2002-11,734.93,atacado,1
2002-12,745.55,atacado,1
2003-01,712.25,atacado,1
2003-02,716.23,atacado,1
2003-03,655.93,atacado,1
2003-04,580.01,atacado,1
2003-05,588.64,atacado,1
2003-06,572.26,atacado,1
2003-07,565.9,atacado,1
2003-08,577.37,atacado,1
2003-09,625.57,atacado,1
2003-10,699.06,atacado,1
2003-11,782.999,atacado,1
2003-12,756.775,atacado,1
2004-01,764.981,atacado,1
2004-02,765.184,atacado,1
2004-03,821.746,atacado,1
2004-04,875.222,atacado,1
2004-05,873.434,atacado,1
2004-06,751.846,atacado,1
2004-07,662.139,atacado,1
2004-08,596.417,atacado,1
2004-09,610.322,atacado,1
2004-10,574.102,atacado,1
2004-11,538.339,atacado,1
2004-12,522.763,atacado,1
2005-01,529.07,atacado,1
2005-02,513.062,atacado,1
2005-03,549.613,atacado,1
2005-04,546.461,atacado,1
2005-05,538.505,atacado,1
2005-06,551.724,atacado,1
2005-07,555.984,atacado,1
2005-08,545.925,atacado,1
2005-09,513.546,atacado,1
2005-10,492.985,atacado,1
2005-11,484.858,atacado,1
2005-12,513.036,atacado,1
2006-01,530.648,atacado,1
2006-02,495.328,atacado,1
2006-03,423.379,atacado,1
2006-04,406.168,atacado,1
2006-05,423.422,atacado,1
2006-06,456.141,atacado,1
2006-07,431.064,atacado,1
2006-08,419.215,atacado,1
2006-09,429.592,atacado,1
2006-10,479.3,atacado,1
2006-11,511.361,atacado,1
2006-12,506.57,atacado,1
2007-01,517.363,atacado,1
2007-02,541.924,atacado,1
2007-03,508.328,atacado,1
2007-04,468.929,atacado,1
2007-05,431.543,atacado,1
2007-06,450.492,atacado,1
2007-07,452.269,atacado,1
2007-08,484.229,atacado,1
2007-09,558.507,atacado,1
2007-10,603.737,atacado,1
2007-11,642.872,atacado,1
2007-12,682.328,atacado,1
2008-01,712.801,atacado,1
2008-02,713.921,atacado,1
2008-03,661.773,atacado,1
2008-04,642.383,atacado,1
2008-05,644.123,atacado,1
2008-06,724.679,atacado,1
2008-07,751.786,atacado,1
2008-08,647.561,atacado,1
2008-09,679.145,atacado,1
2008-10,725.428,atacado,1
2008-11,747.369,atacado,1
2008-12,736.912,atacado,1
2009-01,854.848,atacado,1
2009-02,870.875,atacado,1
2009-03,768.287,atacado,1
2009-04,804.18,atacado,1
2009-05,869.227,atacado,1
2009-06,876.143,atacado,1
2009-07,806.749,atacado,1
2009-08,823.617,atacado,1
2009-09,828.86,atacado,1
2009-10,776.345,atacado,1
2009-11,751.959,atacado,1
2009-12,740.11,atacado,1
2010-01,742.18,atacado,1
2010-02,664.87,atacado,1
2010-03,550.39,atacado,1
2010-04,500.43,atacado,1
