referencia,valor,modo_venda,kg
1990-01,0.000042742,atacado,60
1990-02,0.000066742,atacado,60
1990-03,0.00011531,atacado,60
1990-04,0.00016289,atacado,60
1990-05,0.00016289,atacado,60
1990-06,0.00017165,atacado,60
1990-07,0.00018815,atacado,60
1990-08,0.00020845,atacado,60
1990-09,0.0002305,atacado,60
1990-10,0.00029134,atacado,60
1990-11,0.00033775,atacado,60
1990-12,0.00040189,atacado,60
1991-01,0.00049438,atacado,60
1991-02,0.001,atacado,60
1991-03,0.001,atacado,60
1991-04,0.001,atacado,60
1991-05,0.001,atacado,60
1991-06,0.001,atacado,60
1991-07,0.001,atacado,60
1991-08,0.001,atacado,60
1991-09,0.001,atacado,60
1991-10,0.001,atacado,60
1991-11,0.002,atacado,60
1991-12,0.002,atacado,60
1992-01,0.003,atacado,60
1992-02,0.004,atacado,60
1992-03,0.005,atacado,60
1992-04,0.007,atacado,60
1992-05,0.008,atacado,60
1992-06,0.01,atacado,60
1992-07,0.013,atacado,60
1992-08,0.014,atacado,60
1992-09,0.018,atacado,60
1992-10,0.022,atacado,60
1992-11,0.028,atacado,60
1992-12,0.034,atacado,60
1993-01,0.042,atacado,60
1993-02,0.053,atacado,60
1993-03,0.067,atacado,60
1993-04,0.083,atacado,60
1993-05,0.107,atacado,60
1993-06,0.14,atacado,60
1993-07,0.184,atacado,60
1993-08,0.228,atacado,60
1993-09,0.285,atacado,60
1993-10,0.386,atacado,60
1993-11,0.51,atacado,60
1993-12,0.697,atacado,60
1994-01,1.011,atacado,60
1994-02,1.402,atacado,60
1994-03,1.869,atacado,60
1994-04,2.657,atacado,60
1994-05,3.801,atacado,60
1994-06,5.524,atacado,60
1994-07,6.73,atacado,60
1994-08,6.7,atacado,60
1994-09,6.76,atacado,60
1994-10,7.08,atacado,60
1994-11,7.72,atacado,60
1994-12,8.03,atacado,60
1995-01,8.33,atacado,60
1995-02,8.28,atacado,60
1995-03,8.15,atacado,60
1995-04,8.02,atacado,60
1995-05,7.9,atacado,60
1995-06,8.22,atacado,60
1995-07,8.29,atacado,60
1995-08,8.61,atacado,60
1995-09,9.37,atacado,60
1995-10,10.07,atacado,60
1995-11,10.88,atacado,60
1995-12,10.67,atacado,60
1996-01,10.69,atacado,60
1996-02,11.16,atacado,60
1996-03,11.87,atacado,60
1996-04,12.97,atacado,60
1996-05,14.3,atacado,60
1996-06,14.74,atacado,60
1996-07,14.67,atacado,60
1996-08,12.09,atacado,60
1996-09,10.64,atacado,60
1996-10,8.59,atacado,60
1996-11,8.44,atacado,60
1996-12,8.26,atacado,60
1997-01,8.23,atacado,60
1997-02,8.35,atacado,60
1997-03,8.53,atacado,60
1997-04,9.57,atacado,60
1997-05,10.68,atacado,60
1997-06,10.32,atacado,60
1997-07,9.76,atacado,60
1997-08,9.41,atacado,60
1997-09,9.25,atacado,60
1997-10,9.39,atacado,60
1997-11,9.4,atacado,60
1997-12,9.05,atacado,60
1998-01,8.88,atacado,60
1998-02,8.87,atacado,60
1998-03,9.05,atacado,60
1998-04,9.16,atacado,60
1998-05,9.29,atacado,60
1998-06,9.41,atacado,60
1998-07,9.41,atacado,60
1998-08,9.28,atacado,60
1998-09,9.1,atacado,60
1998-10,9.02,atacado,60
1998-11,8.83,atacado,60
1998-12,9.03,atacado,60
1999-01,9.11,atacado,60
1999-02,10.12,atacado,60
1999-03,11.32,atacado,60
1999-04,12.14,atacado,60
1999-05,12.34,atacado,60
1999-06,12.38,atacado,60
1999-07,12.47,atacado,60
1999-08,12.34,atacado,60
1999-09,12.97,atacado,60
1999-10,11.87,atacado,60
1999-11,11.99,atacado,60
1999-12,11.83,atacado,60
2000-01,11.6,atacado,60
2000-02,12.05,atacado,60
2000-03,12.29,atacado,60
2000-04,12.65,atacado,60
2000-05,13.21,atacado,60
2000-06,13.95,atacado,60
2000-07,14.24,atacado,60
2000-08,14.54,atacado,60
2000-09,14.69,atacado,60
2000-10,13.84,atacado,60
2000-11,13.39,atacado,60
2000-12,13.18,atacado,60
2001-01,13.36,atacado,60
2001-02,13.69,atacado,60
2001-03,14.1,atacado,60
2001-04,14.54,atacado,60
2001-05,14.98,atacado,60
2001-06,16.01,atacado,60
2001-07,16.45,atacado,60
2001-08,16.3,atacado,60
2001-09,16.02,atacado,60
2001-10,15.73,atacado,60
2001-11,16.24,atacado,60
2001-12,16.21,atacado,60
2002-01,16.73,atacado,60
2002-02,17.12,atacado,60
2002-03,17.18,atacado,60
2002-04,17.15,atacado,60
2002-05,18.07,atacado,60
2002-06,19.72,atacado,60
2002-07,21.43,atacado,60
2002-08,24.62,atacado,60
2002-09,28.61,atacado,60
2002-10,36.9,atacado,60
2002-11,32.32,atacado,60
2002-12,28.96,atacado,60
2003-01,28.93,atacado,60
2003-02,29.72,atacado,60
2003-03,30.74,atacado,60
2003-04,30.85,atacado,60
2003-05,28.78,atacado,60
2003-06,28.39,atacado,60
2003-07,26.51,atacado,60
2003-08,25.54,atacado,60
2003-09,25.7,atacado,60
2003-10,23.95,atacado,60
2003-11,23.684,atacado,60
2003-12,24.033,atacado,60
2004-01,23.738,atacado,60
2004-02,23.791,atacado,60
2004-03,24.306,atacado,60
2004-04,27.073,atacado,60
2004-05,29.32,atacado,60
2004-06,29.722,atacado,60
2004-07,26.794,atacado,60
2004-08,24.63,atacado,60
2004-09,22.595,atacado,60
2004-10,21.33,atacado,60
2004-11,20.763,atacado,60
2004-12,20.051,atacado,60
2005-01,19.596,atacado,60
2005-02,19.179,atacado,60
2005-03,20.781,atacado,60
2005-04,22.931,atacado,60
2005-05,21.777,atacado,60
2005-06,20.231,atacado,60
2005-07,19.726,atacado,60
2005-08,19.552,atacado,60
2005-09,18.197,atacado,60
2005-10,17.298,atacado,60
2005-11,17.155,atacado,60
2005-12,18.376,atacado,60
2006-01,19.291,atacado,60
2006-02,19.249,atacado,60
2006-03,19.026,atacado,60
2006-04,18.943,atacado,60
2006-05,18.939,atacado,60
2006-06,19.346,atacado,60
2006-07,19.416,atacado,60
2006-08,20.311,atacado,60
2006-09,22.003,atacado,60
2006-10,26.086,atacado,60
2006-11,27.544,atacado,60
2006-12,26.342,atacado,60
2007-01,25.827,atacado,60
2007-02,24.799,atacado,60
2007-03,24.64,atacado,60
2007-04,24.636,atacado,60
2007-05,25.308,atacado,60
2007-06,25.776,atacado,60
2007-07,26.559,atacado,60
2007-08,29.915,atacado,60
2007-09,34.076,atacado,60
2007-10,32.121,atacado,60
2007-11,29.984,atacado,60
2007-12,30.262,atacado,60
2008-01,33.026,atacado,60
2008-02,35.75,atacado,60
2008-03,38.552,atacado,60
2008-04,41.003,atacado,60
2008-05,41.009,atacado,60
2008-06,39.664,atacado,60
2008-07,35.941,atacado,60
2008-08,29.324,atacado,60
2008-09,27.465,atacado,60
2008-10,26.293,atacado,60
2008-11,25.668,atacado,60
2008-12,25.318,atacado,60
2009-01,26.801,atacado,60
2009-02,28.984,atacado,60
2009-03,28.791,atacado,60
2009-04,28.458,atacado,60
2009-05,27.919,atacado,60
2009-06,27.634,atacado,60
2009-07,27.676,atacado,60
2009-08,26.04,atacado,60
2009-09,24.93,atacado,60
2009-10,25.042,atacado,60
2009-11,24.917,atacado,60
2009-12,24.535,atacado,60
2010-01,28.96,atacado,60
2010-02,30.02,atacado,60
2010-03,30.5,atacado,60
2010-10,29.31,atacado,60
2010-11,30.04,atacado,60
2010-12,30.23,atacado,60
2011-01,30.28,atacado,60
2011-02,29.92,atacado,60
2011-03,23.72,atacado,60
2011-10,28.43,atacado,60
2011-11,28.35,atacado,60
2011-12,29.35,atacado,60
2012-01,29.09,atacado,60
2012-02,28.5,atacado,60
2012-03,23.44,atacado,60
2012-04,23.44,atacado,60
2012-05,25.652,atacado,60
2012-06,25.812,atacado,60
2012-07,26.958,atacado,60
2012-08,30.403,atacado,60
2012-09,34.021,atacado,60
2012-10,33.698,atacado,60
2012-11,34.016,atacado,60
2012-12,36.387,atacado,60
2013-01,38.993,atacado,60
2013-02,39.844,atacado,60
2013-03,39.226,atacado,60
2013-04,38.549,atacado,60
2013-05,38.393,atacado,60
2013-06,39.172,atacado,60
2013-07,42.16,atacado,60
2013-08,45.452,atacado,60
2013-09,49.037,atacado,60
2013-10,48.568,atacado,60
2013-11,44.319,atacado,60
2013-12,41.818,atacado,60
2014-01,41.059,atacado,60
2014-02,41.414,atacado,60
2014-03,41.705,atacado,60
2014-04,42.585,atacado,60
2014-05,42.589,atacado,60
2014-06,41.781,atacado,60
2014-07,38.006,atacado,60
2014-08,32.948,atacado,60
2014-09,29.972,atacado,60
2014-10,29.1,atacado,60
2014-11,29.101,atacado,60
2014-12,29.667,atacado,60
2015-01,30.344,atacado,60
2015-02,30.655,atacado,60
2015-03,31.211,atacado,60
2015-04,34.371,atacado,60
2015-05,35.195,atacado,60
2015-06,34.064,atacado,60
2015-07,33.507,atacado,60
2015-08,33.586,atacado,60
2015-09,34.018,atacado,60
2015-10,36.365,atacado,60
2015-11,37.776,atacado,60
2015-12,37.439,atacado,60
2016-01,38.298,atacado,60
2016-02,38.964,atacado,60
2016-03,39.61,atacado,60
2016-04,40.805,atacado,60
2016-05,41.408,atacado,60
2016-06,44.701,atacado,60
2016-07,45.708,atacado,60
2016-08,43.869,atacado,60
2016-09,38.626,atacado,60
2016-10,35.397,atacado,60
2016-11,34.474,atacado,60
2016-12,33.629,atacado,60
2017-01,33.132,atacado,60
2017-02,31.676,atacado,60
2017-03,31.727,atacado,60
2017-04,31.345,atacado,60
2017-05,31.384,atacado,60
2017-06,32.632,atacado,60
2017-07,35.11,atacado,60
2017-08,35.012,atacado,60
2017-09,32.643,atacado,60
2017-10,32.345,atacado,60
2017-11,33.383,atacado,60
2017-12,33.961,atacado,60
2018-01,34.25,atacado,60
2018-02,34.158,atacado,60
2018-03,35.25,atacado,60
2018-04,38.087,atacado,60
2018-05,42.393,atacado,60
2018-06,46.589,atacado,60
2018-07,49.354,atacado,60
2018-08,47.409,atacado,60
2018-09,46.539,atacado,60
2018-10,42.904,atacado,60
2018-11,43.631,atacado,60
2018-12,45.655,atacado,60
2019-01,47.231,atacado,60
2019-02,48.645,atacado,60
2019-03,48.32,atacado,60
2019-04,46.499,atacado,60
2019-05,45.782,atacado,60
2019-06,45.701,atacado,60
2019-07,45.763,atacado,60
2019-08,46.186,atacado,60
2019-09,46.238,atacado,60
2019-10,44.581,atacado,60
2019-11,45.828,atacado,60
2019-12,47.463,atacado,60
2020-01,48.378,atacado,60
2020-02,50.644,atacado,60
2020-03,54.001,atacado,60
2020-04,57.287,atacado,60
2020-05,60.129,atacado,60
2020-06,58.476,atacado,60
2020-07,57.483,atacado,60
2020-08,57.64,atacado,60
2020-09,62.047,atacado,60
2020-10,68.606,atacado,60
2020-11,75.37,atacado,60
2020-12,68.315,atacado,60
2021-01,71.637,atacado,60
2021-02,75.852,atacado,60
2021-03,80.015,atacado,60
2021-04,87.273,atacado,60
2021-05,85.855,atacado,60
2021-06,79.009,atacado,60
2021-07,81.55,atacado,60
2021-08,87.752,atacado,60
2021-09,87.587,atacado,60
2021-10,87.345,atacado,60
2021-11,87.428,atacado,60
2021-12,88.166,atacado,60
2022-01,89.131,atacado,60
2022-02,89.177,atacado,60
2022-03,97.096,atacado,60
2022-04,93.73,atacado,60
2022-05,98.605,atacado,60
2022-06,107.607,atacado,60
2022-07,109.664,atacado,60
2022-08,108.125,atacado,60
2022-09,93.306,atacado,60
2022-10,94.066,atacado,60
2022-11,98.611,atacado,60
2022-12,93.725,atacado,60
2023-01,91.333,atacado,60
2023-02,88.617,atacado,60
2023-03,87.368,atacado,60
2023-04,79.113,atacado,60
2023-05,69.008,atacado,60
2023-06,66.337,atacado,60
2023-07,66.47,atacado,60
2023-08,62.949,atacado,60
