numero_reuniao,periodo,mes_ano,data_reuniao,inicio_vigencia,valor,vies
1,1996-06,Jun/1996,1996-06-26,1996-07-01,1.9,sem viés
2,1996-07,Jul/1996,1996-07-30,1996-08-01,1.9,sem viés
3,1996-08,Aug/1996,1996-08-21,1996-09-01,1.88,sem viés
4,1996-09,Sep/1996,1996-09-23,1996-10-01,1.82,sem viés
5,1996-10,Oct/1996,1996-10-23,1996-11-01,1.78,sem viés
6,1996-11,Nov/1996,1996-11-27,1996-12-01,1.74,sem viés
7,1996-12,Dec/1996,1996-12-18,1997-01-01,1.7,sem viés
8,1997-01,Jan/1997,1997-01-22,1997-02-01,1.66,sem viés
9,1997-02,Feb/1997,1997-02-19,1997-03-01,1.62,sem viés
10,1997-03,Mar/1997,1997-03-19,1997-04-01,1.58,sem viés
11,1997-04,Apr/1997,1997-04-16,1997-05-01,1.58,sem viés
12,1997-05,May/1997,1997-05-21,1997-06-01,1.58,sem viés
13,1997-06,Jun/1997,1997-06-18,1997-07-01,1.58,sem viés
14,1997-07,Jul/1997,1997-07-23,1997-08-01,1.58,sem viés
15,1997-08,Aug/1997,1997-08-20,1997-09-01,1.58,sem viés
16,1997-09,Sep/1997,1997-09-17,1997-10-01,1.58,sem viés
17,1997-10,Oct/1997,1997-10-22,1997-11-01,1,sem viés
18,1997-10,Oct/1997,1997-10-30,1997-10-31,3.05,sem viés
19,1997-11,Nov/1997,1997-11-19,1997-12-01,2.9,sem viés
20,1997-12,Dec/1997,1997-12-17,1998-01-02,38,sem viés
21,1998-01,Jan/1998,1998-01-28,1998-01-29,34.5,sem viés
22,1998-03,Mar/1998,1998-03-04,1998-03-05,28,sem viés
23,1998-04,Apr/1998,1998-04-15,1998-04-16,23.25,sem viés
24,1998-05,May/1998,1998-05-20,1998-05-21,21.75,sem viés
25,1998-06,Jun/1998,1998-06-24,1998-06-25,21,sem viés
26,1998-07,Jul/1998,1998-07-29,1998-07-30,19.75,sem viés
27,1998-09,Sep/1998,1998-09-02,1998-09-03,19,sem viés
28,1998-09,Sep/1998,1998-09-10,1998-09-11,19,sem viés
29,1998-10,Oct/1998,1998-10-07,1998-10-08,19,sem viés
30,1998-11,Nov/1998,1998-11-11,1998-11-12,19,sem viés
31,1998-12,Dec/1998,1998-12-16,1998-12-17,29,sem viés
32,1999-01,Jan/1999,1999-01-18,1999-01-19,25,sem viés
33,1999-03,Mar/1999,1999-03-04,1999-03-05,45,baixa
34,1999-04,Apr/1999,1999-04-14,1999-04-15,34,baixa
35,1999-05,May/1999,1999-05-19,1999-05-20,23.5,baixa
36,1999-06,Jun/1999,1999-06-23,1999-06-24,21,baixa
37,1999-07,Jul/1999,1999-07-28,1999-07-29,19.5,sem viés
38,1999-09,Sep/1999,1999-09-01,1999-09-02,19.5,sem viés
39,1999-09,Sep/1999,1999-09-22,1999-09-23,19,sem viés
40,1999-10,Oct/1999,1999-10-06,1999-10-07,19,baixa
41,1999-11,Nov/1999,1999-11-10,1999-11-11,19,sem viés
42,1999-12,Dec/1999,1999-12-15,1999-12-16,19,sem viés
43,2000-01,Jan/2000,2000-01-19,2000-01-20,19,sem viés
44,2000-02,Feb/2000,2000-02-16,2000-02-17,19,sem viés
45,2000-03,Mar/2000,2000-03-22,2000-03-23,19,baixa
46,2000-04,Apr/2000,2000-04-19,2000-04-20,18.5,sem viés
47,2000-05,May/2000,2000-05-24,2000-05-25,18.5,sem viés
48,2000-06,Jun/2000,2000-06-20,2000-06-21,17.5,baixa
49,2000-07,Jul/2000,2000-07-19,2000-07-20,16.5,sem viés
50,2000-08,Aug/2000,2000-08-23,2000-08-24,16.5,sem viés
51,2000-09,Sep/2000,2000-09-20,2000-09-21,16.5,sem viés
52,2000-10,Oct/2000,2000-10-18,2000-10-19,16.5,sem viés
53,2000-11,Nov/2000,2000-11-22,2000-11-23,16.5,sem viés
54,2000-12,Dec/2000,2000-12-20,2000-12-21,15.75,sem viés
55,2001-01,Jan/2001,2001-01-17,2001-01-18,15.25,sem viés
56,2001-02,Feb/2001,2001-02-14,2001-02-15,15.25,sem viés
57,2001-03,Mar/2001,2001-03-21,2001-03-22,15.75,sem viés
58,2001-04,Apr/2001,2001-04-18,2001-04-19,16.25,sem viés
59,2001-05,May/2001,2001-05-23,2001-05-24,16.75,sem viés
60,2001-06,Jun/2001,2001-06-20,2001-06-21,18.25,baixa
61,2001-07,Jul/2001,2001-07-18,2001-07-19,19,sem viés
62,2001-08,Aug/2001,2001-08-22,2001-08-23,19,sem viés
63,2001-09,Sep/2001,2001-09-19,2001-09-20,19,sem viés
64,2001-10,Oct/2001,2001-10-17,2001-10-18,19,sem viés
65,2001-11,Nov/2001,2001-11-21,2001-11-22,19,sem viés
66,2001-12,Dec/2001,2001-12-19,2001-12-20,19,sem viés
67,2002-01,Jan/2002,2002-01-23,2002-01-24,19,sem viés
68,2002-02,Feb/2002,2002-02-20,2002-02-21,18.75,sem viés
69,2002-03,Mar/2002,2002-03-20,2002-03-21,18.5,sem viés
70,2002-04,Apr/2002,2002-04-17,2002-04-18,18.5,sem viés
71,2002-05,May/2002,2002-05-22,2002-05-23,18.5,sem viés
72,2002-06,Jun/2002,2002-06-19,2002-06-20,18.5,baixa
