MesAno,Valor
Nov/89,14365.32
Dec/89,51659.46
Jan/90,36957.2
Feb/90,438898.83
Mar/90,3507.42
Apr/90,73.21
May/90,88.57
Jun/90,187.11
Jul/90,339.35
Aug/90,230.48
Sep/90,554.26
Oct/90,524.39
Nov/90,877.02
Dec/90,1237.94
Jan/91,789.54
Feb/91,166.94
Mar/91,213.32
Apr/91,187.77
May/91,198.99
Jun/91,244.79
Jul/91,259.48
Aug/91,434.02
Sep/91,772.46
Oct/91,1152.41
Nov/91,3343.48
Dec/91,2495.22
Jan/92,1757.41
Feb/92,2316.07
Mar/92,1903.48
Apr/92,1619.83
May/92,1257.14
Jun/92,1257.75
Jul/92,1181.45
Aug/92,1447.92
Sep/92,1773.24
Oct/92,1866.66
Nov/92,1815.18
Dec/92,1300.85
Jan/93,2259.56
Feb/93,3397.11
Mar/93,1441.34
Apr/93,3326.22
May/93,2430.28
Jun/93,2676.49
Jul/93,2461.37
Aug/93,2916.19
Sep/93,4359.96
Oct/93,5902.32
Nov/93,5892.16
Dec/93,4010.32
Jan/94,7065.02
Feb/94,13442.03
Mar/94,7784.35
Apr/94,15710.86
May/94,8784.03
Jun/94,13532.65
Jul/94,131.03
Aug/94,56.46
Sep/94,57.06
Oct/94,60.3
Nov/94,65.36
Dec/94,53.25
Jan/95,46.25
Feb/95,56.54
Mar/95,57.98
Apr/95,85.47
May/95,61.05
Jun/95,60.84
Jul/95,60.53
Aug/95,51.11
Sep/95,51
Oct/95,44.11
Nov/95,42.93
Dec/95,41.22
Jan/96,33.83
Feb/96,36.11
Mar/96,30.16
Apr/96,29.42
May/96,25.64
Jun/96,29.65
Jul/96,23.28
Aug/96,25.01
Sep/96,25.4
Oct/96,23.48
Nov/96,25.27
Dec/96,23.94
Jan/97,21.73
Feb/97,26.14
Mar/97,24.11
Apr/97,21.84
May/97,21.91
Jun/97,21.08
Jul/97,19.04
Aug/97,20.78
Sep/97,19.81
Oct/97,19.93
Nov/97,45.9
Dec/97,39.87
Jan/98,37.19
Feb/98,34.32
Mar/98,28.32
Apr/98,25.16
May/98,22.6
Jun/98,21.02
Jul/98,20.33
Aug/98,19.23
Sep/98,34.29
Oct/98,41.6
Nov/98,38.73
Dec/98,31.24
Jan/99,31.19
Feb/99,38.97
Mar/99,43.25
Apr/99,36.12
May/99,27.11
Jun/99,22.01
Jul/99,20.74
Aug/99,19.51
Sep/99,19.38
Oct/99,18.91
Nov/99,18.95
Dec/99,18.99
Jan/00,18.94
Feb/00,18.87
Mar/00,18.85
Apr/00,18.62
May/00,18.51
Jun/00,18.04
Jul/00,16.85
Aug/00,16.52
Sep/00,16.56
Oct/00,16.6
Nov/00,16.51
Dec/00,16.19
Jan/01,15.49
Feb/01,15.2
Mar/01,15.39
Apr/01,16.02
May/01,16.43
Jun/01,17.28
Jul/01,18.57
Aug/01,19
Sep/01,19.06
Oct/01,19.06
Nov/01,19.05
Dec/01,19.05
Jan/02,19.05
Feb/02,18.97
Mar/02,18.72
Apr/02,18.38
May/02,18.37
Jun/02,18.1
Jul/02,18.17
Aug/02,17.84
Sep/02,17.89
Oct/02,19.59
Nov/02,21.25
Dec/02,23.03
Jan/03,25.06
Feb/03,25.68
Mar/03,26.32
Apr/03,26.32
