MesAno,Valor
Jun/86,1.27
Jul/86,1.95
Aug/86,2.57
Sep/86,2.94
Oct/86,1.96
Nov/86,2.37
Dec/86,5.47
Jan/87,11
Feb/87,19.61
Mar/87,11.95
Apr/87,15.3
May/87,24.63
Jun/87,18.02
Jul/87,8.91
Aug/87,8.09
Sep/87,7.99
Oct/87,9.45
Nov/87,12.92
Dec/87,14.38
Jan/88,16.78
Feb/88,18.35
Mar/88,16.59
Apr/88,20.25
May/88,18.65
Jun/88,20.17
Jul/88,24.69
Aug/88,22.63
Sep/88,26.25
Oct/88,29.79
Nov/88,28.41
Dec/88,30.24
Jan/89,22.97
Feb/89,18.95
Mar/89,20.41
Apr/89,11.52
May/89,11.43
Jun/89,27.29
Jul/89,33.15
Aug/89,35.49
Sep/89,38.58
Oct/89,47.7
Nov/89,48.41
Dec/89,64.21
Jan/90,67.6
Feb/90,82.04
Mar/90,36.76
Apr/90,4.23
May/90,5.69
Jun/90,8.73
Jul/90,13.79
Aug/90,11.53
Sep/90,15.21
Oct/90,16.49
Nov/90,19.83
Dec/90,22.86
Jan/91,21.02
Feb/91,6.85
Mar/91,8.99
Apr/91,9.67
May/91,9.56
Jun/91,10.32
Jul/91,12.39
Aug/91,15.75
Sep/91,19.78
Oct/91,25.95
Nov/91,32.43
Dec/91,31.17
Jan/92,29.06
Feb/92,28.76
Mar/92,26.86
Apr/92,23.92
May/92,23
Jun/92,24.28
Jul/92,26.21
Aug/92,25.65
Sep/92,27.66
Oct/92,28.18
Nov/92,26.4
Dec/92,25.92
Jan/93,28.52
Feb/93,28.9
Mar/93,28.36
Apr/93,30.53
May/93,30.9
Jun/93,31.91
Jul/93,32.73
Aug/93,34.64
Sep/93,37.23
Oct/93,38.4
Nov/93,38.38
Dec/93,40.38
Jan/94,42.76
Feb/94,41.99
Mar/94,46.42
Apr/94,46.49
May/94,47.95
Jun/94,50.62
Jul/94,6.87
Aug/94,4.17
Sep/94,3.83
Oct/94,3.62
Nov/94,4.07
Dec/94,3.8
Jan/95,3.37
Feb/95,3.25
Mar/95,4.26
Apr/95,4.26
May/95,4.25
Jun/95,4.04
Jul/95,4.02
Aug/95,3.84
Sep/95,3.32
Oct/95,3.09
Nov/95,2.88
Dec/95,2.78
Jan/96,2.58
Feb/96,2.35
Mar/96,2.22
Apr/96,2.07
May/96,2.01
Jun/96,1.98
Jul/96,1.93
Aug/96,1.97
Sep/96,1.9
Oct/96,1.86
Nov/96,1.8
Dec/96,1.8
Jan/97,1.73
Feb/97,1.67
Mar/97,1.64
Apr/97,1.66
May/97,1.58
Jun/97,1.61
Jul/97,1.6
Aug/97,1.59
Sep/97,1.59
Oct/97,1.67
Nov/97,3.04
Dec/97,2.97
Jan/98,2.67
Feb/98,2.13
Mar/98,2.2
Apr/98,1.71
May/98,1.63
Jun/98,1.6
Jul/98,1.7
Aug/98,1.48
Sep/98,2.49
Oct/98,2.94
Nov/98,2.63
Dec/98,2.4
Jan/99,2.18
Feb/99,2.38
Mar/99,3.33
Apr/99,2.35
May/99,2.02
Jun/99,1.67
Jul/99,1.66
Aug/99,1.57
Sep/99,1.49
Oct/99,1.38
Nov/99,1.39
Dec/99,1.6
Jan/00,1.46
Feb/00,1.45
Mar/00,1.45
Apr/00,1.3
May/00,1.49
Jun/00,1.39
Jul/00,1.31
Aug/00,1.41
Sep/00,1.22
Oct/00,1.29
Nov/00,1.22
Dec/00,1.2
Jan/01,1.27
Feb/01,1.02
Mar/01,1.26
Apr/01,1.19
May/01,1.34
Jun/01,1.27
Jul/01,1.5
Aug/01,1.6
Sep/01,1.32
Oct/01,1.53
Nov/01,1.39
Dec/01,1.39
Jan/02,1.53
Feb/02,1.25
Mar/02,1.37
Apr/02,1.48
May/02,1.41
Jun/02,1.33
Jul/02,1.54
Aug/02,1.44
Sep/02,1.38
Oct/02,1.65
Nov/02,1.54
Dec/02,1.74
Jan/03,1.97
Feb/03,1.83
Mar/03,1.78
Apr/03,1.87
May/03,1.97
Jun/03,1.86
Jul/03,2.08
Aug/03,1.77
Sep/03,1.68
Oct/03,1.64
Nov/03,1.34
Dec/03,1.37
Jan/04,1.27
Feb/04,1.08
Mar/04,1.38
Apr/04,1.18
May/04,1.23
Jun/04,1.23
Jul/04,1.29
Aug/04,1.29
Sep/04,1.25
Oct/04,1.21
Nov/04,1.25
Dec/04,1.48
Jan/05,1.38
Feb/05,1.22
Mar/05,1.53
Apr/05,1.41
May/05,1.5
Jun/05,1.59
Jul/05,1.51
Aug/05,1.66
Sep/05,1.5
Oct/05,1.41
Nov/05,1.38
Dec/05,1.47
Jan/06,1.43
Feb/06,1.15
Mar/06,1.42
Apr/06,1.08
May/06,1.28
Jun/06,1.18
Jul/06,1.17
Aug/06,1.26
Sep/06,1.06
Oct/06,1.09
Nov/06,1.02
Dec/06,0.99
Jan/07,1.08
Feb/07,0.87
Mar/07,1.05
Apr/07,0.94
May/07,1.03
Jun/07,0.91
Jul/07,0.97
Aug/07,0.99
Sep/07,0.8
Oct/07,0.93
Nov/07,0.84
Dec/07,0.84
Jan/08,0.93
Feb/08,0.8
Mar/08,0.84
Apr/08,0.9
May/08,0.88
Jun/08,0.96
Jul/08,1.07
Aug/08,1.02
Sep/08,1.1
Oct/08,1.18
Nov/08,1.02
Dec/08,1.12
Jan/09,1.05
Feb/09,0.86
Mar/09,0.97
Apr/09,0.84
May/09,0.77
Jun/09,0.76
Jul/09,0.79
Aug/09,0.69
Sep/09,0.69
Oct/09,0.69
Nov/09,0.66
Dec/09,0.73
Jan/10,0.66
Feb/10,0.59
Mar/10,0.76
Apr/10,0.67
May/10,0.75
Jun/10,0.79
Jul/10,0.86
Aug/10,0.89
Sep/10,0.85
Oct/10,0.81
Nov/10,0.81
Dec/10,0.93
Jan/11,0.86
Feb/11,0.84
Mar/11,0.92
Apr/11,0.84
May/11,0.99
Jun/11,0.96
Jul/11,0.97
Aug/11,1.07
Sep/11,0.94
Oct/11,0.88
Nov/11,0.86
Dec/11,0.91
Jan/12,0.89
Feb/12,0.75
Mar/12,0.82
Apr/12,0.71
May/12,0.74
Jun/12,0.64
Jul/12,0.68
Aug/12,0.69
Sep/12,0.54
Oct/12,0.61
Nov/12,0.55
Dec/12,0.55
Jan/13,0.6
Feb/13,0.49
Mar/13,0.55
Apr/13,0.61
May/13,0.6
Jun/13,0.61
Jul/13,0.72
Aug/13,0.71
Sep/13,0.71
Oct/13,0.81
Nov/13,0.72
Dec/13,0.79
Jan/14,0.85
Feb/14,0.79
Mar/14,0.77
Apr/14,0.82
May/14,0.87
Jun/14,0.82
Jul/14,0.95
Aug/14,0.87
Sep/14,0.91
Oct/14,0.95
Nov/14,0.84
Dec/14,0.96
