referencia,total
08/2012,119
09/2012,123
10/2012,131
11/2012,142
12/2012,143
01/2013,148
02/2013,151
03/2013,160
04/2013,172
05/2013,176
06/2013,189
07/2013,184
08/2013,217
09/2013,242
10/2013,270
11/2013,293
12/2013,305
01/2014,312
02/2014,320
03/2014,325
04/2014,337
05/2014,319
06/2014,334
07/2014,349
08/2014,359
09/2014,370
10/2014,383
11/2014,394
12/2014,405
01/2015,422
02/2015,437
03/2015,457
04/2015,457
05/2015,469
06/2015,474
07/2015,476
08/2015,486
09/2015,508
10/2015,515
11/2015,529
12/2015,540
01/2016,537
02/2016,538
03/2016,526
04/2016,519
05/2016,516
06/2016,509
07/2016,517
08/2016,529
09/2016,543
10/2016,564
11/2016,577
12/2016,591
01/2017,556
02/2017,560
03/2017,558
04/2017,583
05/2017,596
06/2017,613
07/2017,635
08/2017,652
09/2017,641
10/2017,639
11/2017,634
12/2017,651
01/2018,663
02/2018,659
03/2018,663
04/2018,669
05/2018,676
06/2018,693
07/2018,682
08/2018,668
09/2018,679
10/2018,740
11/2018,743
12/2018,708
01/2019,675
02/2019,678
03/2019,665
04/2019,632
05/2019,629
06/2019,637
07/2019,649
08/2019,647
09/2019,625
10/2019,624
11/2019,629
12/2019,626
01/2020,618
02/2020,602
03/2020,594
04/2020,599
05/2020,599
06/2020,602
07/2020,606
08/2020,607
09/2020,619
10/2020,627
11/2020,615
12/2020,612
01/2021,617
02/2021,630
03/2021,621
04/2021,630
05/2021,640
06/2021,647
07/2021,641
08/2021,654
09/2021,669
10/2021,678
11/2021,706
12/2021,723
01/2022,654
02/2022,686
03/2022,709
04/2022,759
05/2022,778
06/2022,767
07/2022,766
08/2022,798
09/2022,827
