referencia,total
08/2012,44381455
09/2012,44554715
10/2012,44652093
11/2012,44723215
12/2012,44684759
01/2013,44686942
02/2013,44705760
03/2013,44583031
04/2013,44501519
05/2013,44474370
06/2013,44432808
07/2013,44389542
08/2013,44273826
09/2013,44216179
10/2013,44153320
11/2013,44154133
12/2013,43914616
01/2014,43879431
02/2014,43789150
03/2014,43654971
04/2014,43537313
05/2014,45762860
06/2014,45681502
07/2014,45662101
08/2014,45641330
09/2014,45400575
10/2014,45381621
11/2014,45368430
12/2014,45300249
01/2015,42256512
02/2015,42238268
03/2015,42156931
04/2015,42094162
05/2015,42028403
06/2015,41552386
07/2015,39801023
08/2015,39437959
09/2015,39177799
10/2015,38976273
11/2015,38916569
12/2015,38919660
01/2016,37764236
02/2016,37937633
03/2016,38197235
04/2016,38508868
05/2016,38764955
06/2016,40286876
07/2016,40327934
08/2016,38667390
09/2016,38672123
10/2016,38491652
11/2016,38319485
12/2016,36803455
01/2017,38619300
02/2017,38837644
03/2017,39077864
04/2017,39355911
05/2017,39471038
06/2017,39267554
07/2017,39333784
08/2017,39402559
09/2017,37616391
10/2017,37970373
11/2017,38260094
12/2017,38469544
01/2018,38497597
02/2018,38661251
03/2018,37850905
04/2018,38156036
05/2018,38596762
06/2018,38737903
07/2018,39092794
08/2018,38618458
09/2018,38685526
10/2018,38540579
11/2018,38562777
12/2018,37766288
01/2019,38332528
02/2019,38584561
03/2019,38684811
04/2019,38358027
05/2019,38597800
06/2019,38874312
07/2019,38974663
08/2019,39057948
09/2019,38339308
10/2019,38597613
11/2019,38855967
12/2019,39090704
01/2020,39217132
02/2020,38948511
03/2020,39153520
04/2020,39241613
05/2020,39390851
06/2020,39527153
07/2020,39642522
08/2020,39788352
09/2020,39858053
10/2020,39990357
11/2020,39439745
12/2020,39596469
01/2021,39766507
02/2021,40077384
03/2021,40391261
04/2021,40701328
05/2021,40934547
06/2021,41124856
07/2021,41366134
08/2021,41538881
09/2021,41697555
10/2021,41850253
11/2021,42385650
12/2021,42662245
01/2022,45693632
02/2022,46445574
03/2022,46781067
04/2022,47001855
05/2022,46998630
06/2022,47268983
07/2022,47695827
08/2022,48369266
09/2022,49055941
