referencia,total
08/2012,12897221
09/2012,13006755
10/2012,13076366
11/2012,13131359
12/2012,13161099
01/2013,13175545
02/2013,13205720
03/2013,13212397
04/2013,13265523
05/2013,13282331
06/2013,13312303
07/2013,13348124
08/2013,13360189
09/2013,13379368
10/2013,13389641
11/2013,13395977
12/2013,13354834
01/2014,13359543
02/2014,13365297
03/2014,13362035
04/2014,13358999
05/2014,14036647
06/2014,14049523
07/2014,14073816
08/2014,14111822
09/2014,14079417
10/2014,14080860
11/2014,14097843
12/2014,14095333
01/2015,13146938
02/2015,13155194
03/2015,13149251
04/2015,13145749
05/2015,13148416
06/2015,13036672
07/2015,12509474
08/2015,12423826
09/2015,12362376
10/2015,12318684
11/2015,12316479
12/2015,12335278
01/2016,11827568
02/2016,11898567
03/2016,12003677
04/2016,12133508
05/2016,12236939
06/2016,12707404
07/2016,12750064
08/2016,12288703
09/2016,12313630
10/2016,12289970
11/2016,12251048
12/2016,11720302
01/2017,12296621
02/2017,12389174
03/2017,12493036
04/2017,12626221
05/2017,12705890
06/2017,12698284
07/2017,12756097
08/2017,12810813
09/2017,12151665
10/2017,12313510
11/2017,12442493
12/2017,12547592
01/2018,12597923
02/2018,12687757
03/2018,12428217
04/2018,12571495
05/2018,12768611
06/2018,12857736
07/2018,13003758
08/2018,12852623
09/2018,12932064
10/2018,12966142
11/2018,13023527
12/2018,12750668
01/2019,12948788
02/2019,13068178
03/2019,13144553
04/2019,13022471
05/2019,13149589
06/2019,13283061
07/2019,13352349
08/2019,13424806
09/2019,13186808
10/2019,13310467
11/2019,13420184
12/2019,13520588
01/2020,13574601
02/2020,13459111
03/2020,13545202
04/2020,13595301
05/2020,13679513
06/2020,13752105
07/2020,13821520
08/2020,13907681
09/2020,13972392
10/2020,14058673
11/2020,13841837
12/2020,13923660
01/2021,14010973
02/2021,14166755
03/2021,14328401
04/2021,14487289
05/2021,14611684
06/2021,14718690
07/2021,14860804
08/2021,14965065
09/2021,15064443
10/2021,15167560
11/2021,15514658
12/2021,15693270
01/2022,16975529
02/2022,17544358
03/2022,17820102
04/2022,18214051
05/2022,18444762
06/2022,18764335
07/2022,19197806
08/2022,19820117
09/2022,20439159
