referencia,total
08/2012,5265743
09/2012,5278170
10/2012,5288902
11/2012,5298295
12/2012,5311337
01/2013,5315757
02/2013,5322337
03/2013,5302410
04/2013,5325286
05/2013,5336162
06/2013,5353799
07/2013,5366977
08/2013,5383191
09/2013,5389174
10/2013,5396698
11/2013,5398817
12/2013,5397222
01/2014,5395751
02/2014,5394947
03/2014,5391327
04/2014,5381709
05/2014,5311688
06/2014,5313985
07/2014,5316326
08/2014,5324903
09/2014,5312102
10/2014,5311130
11/2014,5317056
12/2014,5325302
01/2015,4395578
02/2015,4406186
03/2015,4423204
04/2015,4436369
05/2015,4434418
06/2015,4437139
07/2015,4169677
08/2015,4193171
09/2015,4219431
10/2015,4246444
11/2015,4260693
12/2015,4268713
01/2016,4057645
02/2016,4053232
03/2016,4045843
04/2016,4036963
05/2016,4036194
06/2016,4152311
07/2016,4148778
08/2016,4049454
09/2016,4061011
10/2016,4076375
11/2016,4097975
12/2016,3849178
01/2017,3841934
02/2017,3841058
03/2017,3848352
04/2017,3856522
05/2017,3862999
06/2017,3873521
07/2017,3888891
08/2017,3908441
09/2017,3440421
10/2017,3457901
11/2017,3462701
12/2017,3460232
01/2018,3461274
02/2018,3466055
03/2018,3234071
04/2018,3248912
05/2018,3260595
06/2018,3274295
07/2018,3347801
08/2018,3164743
09/2018,3193885
10/2018,3193011
11/2018,3208674
12/2018,3006575
01/2019,3020935
02/2019,3033132
03/2019,3047937
04/2019,2946923
05/2019,2961300
06/2019,2977497
07/2019,2991368
08/2019,3005580
09/2019,2805743
10/2019,2831199
11/2019,2842935
12/2019,2853527
01/2020,2860560
02/2020,2746503
03/2020,2762078
04/2020,2771605
05/2020,2788197
06/2020,2805148
07/2020,2820828
08/2020,2841319
09/2020,2858611
10/2020,2877099
11/2020,2748156
12/2020,2764930
01/2021,2783473
02/2021,2808529
03/2021,2812338
04/2021,2820604
05/2021,2837494
06/2021,2856908
07/2021,2884357
08/2021,2908095
09/2021,2932297
10/2021,2959699
11/2021,3057472
12/2021,3124874
01/2022,2886349
02/2022,2982086
03/2022,3034968
04/2022,3136245
05/2022,3200245
06/2022,3236172
07/2022,3306740
08/2022,3404214
09/2022,3495077
