referencia,total
08/2012,86593
09/2012,87216
10/2012,87397
11/2012,87697
12/2012,87820
01/2013,87959
02/2013,88385
03/2013,88554
04/2013,89593
05/2013,89867
06/2013,90570
07/2013,89959
08/2013,92915
09/2013,93678
10/2013,94434
11/2013,95298
12/2013,95602
01/2014,95910
02/2014,96235
03/2014,96840
04/2014,97467
05/2014,100284
06/2014,101162
07/2014,102045
08/2014,103182
09/2014,103884
10/2014,104636
11/2014,105218
12/2014,105747
01/2015,103890
02/2015,104527
03/2015,105094
04/2015,105661
05/2015,106453
06/2015,106179
07/2015,103467
08/2015,103548
09/2015,103758
10/2015,103765
11/2015,104075
12/2015,104672
01/2016,101923
02/2016,102634
03/2016,103772
04/2016,105298
05/2016,106366
06/2016,108566
07/2016,109075
08/2016,107267
09/2016,107734
10/2016,107786
11/2016,107816
12/2016,106059
01/2017,109069
02/2017,109704
03/2017,110424
04/2017,111357
05/2017,112166
06/2017,112463
07/2017,113037
08/2017,113318
09/2017,110221
10/2017,111290
11/2017,112216
12/2017,112888
01/2018,113242
02/2018,113731
03/2018,112685
04/2018,113719
05/2018,115087
06/2018,115784
07/2018,116520
08/2018,115568
09/2018,115941
10/2018,115937
11/2018,116284
12/2018,114609
01/2019,115865
02/2019,116593
03/2019,117056
04/2019,116582
05/2019,117469
06/2019,118427
07/2019,118889
08/2019,119638
09/2019,118002
10/2019,118861
11/2019,119812
12/2019,120586
01/2020,121043
02/2020,120550
03/2020,121407
04/2020,121739
05/2020,122263
06/2020,122569
07/2020,122872
08/2020,123377
09/2020,123749
10/2020,124376
11/2020,123203
12/2020,123824
01/2021,124317
02/2021,125262
03/2021,126456
04/2021,128026
05/2021,129274
06/2021,130233
07/2021,131417
08/2021,132541
09/2021,133388
10/2021,134384
11/2021,136140
12/2021,137462
01/2022,143311
02/2022,146798
03/2022,148589
04/2022,151194
05/2022,153358
06/2022,156599
07/2022,161439
08/2022,166023
09/2022,170009
