referencia,total
08/2012,14144
09/2012,14157
10/2012,14171
11/2012,14182
12/2012,14209
01/2013,14254
02/2013,14272
03/2013,14223
04/2013,14421
05/2013,14505
06/2013,14774
07/2013,14827
08/2013,15276
09/2013,15429
10/2013,15538
11/2013,15679
12/2013,15781
01/2014,15793
02/2014,15810
03/2014,15945
04/2014,16094
05/2014,15512
06/2014,15722
07/2014,15910
08/2014,16173
09/2014,16366
10/2014,16522
11/2014,16633
12/2014,16711
01/2015,14729
02/2015,14802
03/2015,14969
04/2015,15105
05/2015,15169
06/2015,15441
07/2015,15206
08/2015,15457
09/2015,15587
10/2015,15751
11/2015,15919
12/2015,15970
01/2016,15389
02/2016,15326
03/2016,15245
04/2016,15185
05/2016,15077
06/2016,15191
07/2016,15322
08/2016,15660
09/2016,15788
10/2016,15956
11/2016,16050
12/2016,15723
01/2017,14971
02/2017,14893
03/2017,14836
04/2017,14840
05/2017,14789
06/2017,14897
07/2017,15026
08/2017,15202
09/2017,13873
10/2017,13902
11/2017,13944
12/2017,13977
01/2018,13996
02/2018,14049
03/2018,13465
04/2018,13597
05/2018,13603
06/2018,13708
07/2018,13979
08/2018,13530
09/2018,13729
10/2018,13883
11/2018,13996
12/2018,13447
01/2019,13276
02/2019,13212
03/2019,13368
04/2019,13042
05/2019,13220
06/2019,13246
07/2019,13335
08/2019,13384
09/2019,12656
10/2019,12785
11/2019,12785
12/2019,12817
01/2020,12821
02/2020,12229
03/2020,12280
04/2020,12305
05/2020,12339
06/2020,12390
07/2020,12425
08/2020,12484
09/2020,12530
10/2020,12566
11/2020,12134
12/2020,12191
01/2021,12198
02/2021,12230
03/2021,12176
04/2021,12144
05/2021,12170
06/2021,12161
07/2021,12317
08/2021,12352
09/2021,12453
10/2021,12560
11/2021,12884
12/2021,13117
01/2022,11938
02/2022,12219
03/2022,12398
04/2022,12967
05/2022,13479
06/2022,13878
07/2022,14463
08/2022,15074
09/2022,15604
