referencia,total
08/2012,63751818
09/2012,63925994
10/2012,64028758
11/2012,64104255
12/2012,64077641
01/2013,64080577
02/2013,64098655
03/2013,63877414
04/2013,63794762
05/2013,63781496
06/2013,63761530
07/2013,63712488
08/2013,63604554
09/2013,63532375
10/2013,63465473
11/2013,63461690
12/2013,63183391
01/2014,63121602
02/2014,62988337
03/2014,62786288
04/2014,62586132
05/2014,64396550
06/2014,64286331
07/2014,64248318
08/2014,64221299
09/2014,63873678
10/2014,63873325
11/2014,63854388
12/2014,63791395
01/2015,57687577
02/2015,57676410
03/2015,57613244
04/2015,57563634
05/2015,57458777
06/2015,56962424
07/2015,54256453
08/2015,53939617
09/2015,53739548
10/2015,53609867
11/2015,53570603
12/2015,53572194
01/2016,51767088
02/2016,51915072
03/2016,52124230
04/2016,52379164
05/2016,52605358
06/2016,54706347
07/2016,54692915
08/2016,52423926
09/2016,52427155
10/2016,52250287
11/2016,52112733
12/2016,49778431
01/2017,51820699
02/2017,52003578
03/2017,52231311
04/2017,52478199
05/2017,52564374
06/2017,52335592
07/2017,52401455
08/2017,52484137
09/2017,49122925
10/2017,49492946
11/2017,49771663
12/2017,49950635
01/2018,49963422
02/2018,50115998
03/2018,48507835
04/2018,48827486
05/2018,49262016
06/2018,49421288
07/2018,50032011
08/2018,48936394
09/2018,49060574
10/2018,48846267
11/2018,48891924
12/2018,47446008
01/2019,48066578
02/2019,48329716
03/2019,48464067
04/2019,47810872
05/2019,48074245
06/2019,48378839
07/2019,48502703
08/2019,48601779
09/2019,47229326
10/2019,47541841
11/2019,47818334
12/2019,48068312
01/2020,48207932
02/2020,47573972
03/2020,47809219
04/2020,47912331
05/2020,48090901
06/2020,48259757
07/2020,48403558
08/2020,48587393
09/2020,48682387
10/2020,48839108
11/2020,47895441
12/2020,48079296
01/2021,48279265
02/2021,48617371
03/2021,48892264
04/2021,49178168
05/2021,49421260
06/2021,49632658
07/2021,49905818
08/2021,50110304
09/2021,50301053
10/2021,50490867
11/2021,51172265
12/2021,51563566
01/2022,54148274
02/2022,55063757
03/2022,55493008
04/2022,55884024
05/2022,55978076
06/2022,56311977
07/2022,56869723
08/2022,57716117
09/2022,58565884
