referencia,total
08/2012,7927
09/2012,8022
10/2012,8081
11/2012,8198
12/2012,8314
01/2013,8350
02/2013,8377
03/2013,8413
04/2013,8733
05/2013,8836
06/2013,8971
07/2013,8941
08/2013,9506
09/2013,9905
10/2013,10182
11/2013,10436
12/2013,10718
01/2014,10798
02/2014,10920
03/2014,11054
04/2014,11154
05/2014,10936
06/2014,11072
07/2014,11141
08/2014,11348
09/2014,11543
10/2014,11678
11/2014,11805
12/2014,11986
01/2015,11397
02/2015,11528
03/2015,11749
04/2015,11865
05/2015,11900
06/2015,11989
07/2015,12035
08/2015,12315
09/2015,12528
10/2015,12695
11/2015,12764
12/2015,12770
01/2016,12576
02/2016,12485
03/2016,12378
04/2016,12252
05/2016,12276
06/2016,12536
07/2016,12502
08/2016,12378
09/2016,12418
10/2016,12460
11/2016,12547
12/2016,12370
01/2017,11914
02/2017,11808
03/2017,11749
04/2017,11703
05/2017,11631
06/2017,11687
07/2017,11714
08/2017,11761
09/2017,10777
10/2017,10751
11/2017,10721
12/2017,10691
01/2018,10730
02/2018,10717
03/2018,10194
04/2018,10233
05/2018,10343
06/2018,10507
07/2018,10753
08/2018,10331
09/2018,10476
10/2018,10570
11/2018,10707
12/2018,10294
01/2019,10217
02/2019,10167
03/2019,10213
04/2019,9936
05/2019,9997
06/2019,10056
07/2019,10153
08/2019,10196
09/2019,9704
10/2019,9794
11/2019,9824
12/2019,9891
01/2020,9909
02/2020,9576
03/2020,9568
04/2020,9600
05/2020,9642
06/2020,9688
07/2020,9780
08/2020,9930
09/2020,10049
10/2020,10155
11/2020,9960
12/2020,10054
01/2021,10062
02/2021,10098
03/2021,9976
04/2021,9949
05/2021,10043
06/2021,10159
07/2021,10288
08/2021,10483
09/2021,10599
10/2021,10762
11/2021,11308
12/2021,11665
01/2022,10503
02/2022,10872
03/2022,11048
04/2022,11445
05/2022,11674
06/2022,11720
07/2022,11843
08/2022,12148
09/2022,12526
