ano_referencia,idh,idh_feminino,idh_masculino,expectativa_de_vida,expectativa_de_vida_feminina,expectativa_de_vida_masculina,expectativa_de_anos_escola,expectativa_de_anos_escola_feminina,expectativa_de_anos_escola_masculina,media_de_anos_escola,media_de_anos_escola_feminina,media_de_anos_escola_masculina,taxa_mortalidade_materna,emissao_toneladas_co2_per_capta
1991,0.616,0,0,66.31,69.33,63.44,12.33,0,0,3.83,3.96,3.67,112,1.51
1992,0.622,0,0,66.71,69.78,63.8,12.55,0,0,3.98,4.12,3.81,111,1.51
1993,0.63,0,0,67.11,70.18,64.19,12.77,0,0,4.12,4.28,3.95,112,1.56
1994,0.638,0,0,67.57,70.65,64.64,12.99,0,0,4.27,4.45,4.09,109,1.59
1995,0.646,0,0,67.92,71.09,64.9,13.22,0,0,4.42,4.61,4.23,103,1.66
1996,0.653,0,0,68.41,71.59,65.38,13.44,0,0,4.59,4.77,4.4,97,1.76
1997,0.66,0,0,68.81,72.03,65.74,13.66,0,0,4.76,4.94,4.57,89,1.84
1998,0.666,0,0,69.19,72.43,66.09,13.88,0,0,4.93,5.1,4.74,83,1.87
1999,0.671,0,0,69.52,72.81,66.38,14.1,0,0,5.1,5.26,4.91,75,1.9
2000,0.679,0,0,69.74,73.43,66.26,14.33,0,0,5.27,5.43,5.07,69,1.95
2001,0.686,0,0,70.19,73.97,66.64,14.55,0,0,5.45,5.59,5.28,68,1.95
2002,0.692,0.6855160259368808,0.6950588749136934,70.41,74.19,66.84,14.77,14.95,14.58,5.63,5.75,5.48,69,1.94
2003,0.688,0.680407695958631,0.6900032614765986,70.72,74.42,67.21,14.01,14.38,13.63,5.8,5.91,5.68,70,1.9
2004,0.692,0.6848851794592512,0.6953082322455897,71.13,74.92,67.54,13.85,14.14,13.55,5.98,6.07,5.88,71,1.96
2005,0.698,0.6906696376191951,0.700311228733133,71.75,75.4,68.25,13.78,14.08,13.47,6.15,6.25,6.04,71,1.96
2006,0.7,0.6940004609440719,0.7020353984233008,72.04,75.67,68.54,13.54,13.89,13.19,6.32,6.43,6.2,72,1.96
2007,0.704,0.6981757170434241,0.7054730679595234,72.37,75.88,68.96,13.3,13.7,12.92,6.5,6.61,6.38,71,2.05
2008,0.715,0.7079444011742123,0.7173348973449837,72.72,76.13,69.38,13.8,14.2,13.42,6.67,6.79,6.54,70,2.15
2009,0.717,0.711117108881047,0.7180062130496242,72.95,76.3,69.66,13.78,14.23,13.34,6.77,6.89,6.63,69,2.01
2010,0.723,0.7176255744900558,0.7234233594848835,73.18,76.59,69.84,13.86,14.27,13.45,6.88,7.04,6.7,65,2.25
2011,0.728,0.7200776687453792,0.729979320537669,73.34,76.65,70.09,13.93,14.3,13.56,7.01,7.16,6.83,61,2.34
2012,0.732,0.7254665910247498,0.7332807286756314,73.55,76.87,70.29,13.94,14.36,13.52,7.22,7.38,7.03,60,2.5
2013,0.75,0.7436746612166983,0.7520170820086324,73.92,77.12,70.75,15.29,15.72,14.85,7.29,7.48,7.08,61,2.65
2014,0.754,0.7473434428832175,0.7557273395226811,74.31,77.43,71.19,15.42,15.91,14.92,7.38,7.58,7.16,62,2.75
2015,0.753,0.7465108250358712,0.7550125523100002,74.33,77.57,71.12,15.37,15.74,14.98,7.51,7.7,7.29,63,2.59
2016,0.755,0.7499194211623048,0.7559564417644592,74.44,77.85,71.09,15.45,15.87,15.04,7.73,7.91,7.53,62,2.39
2017,0.759,0.7531248551957926,0.7607351091645412,74.83,78.03,71.64,15.49,15.84,15.13,7.85,8.05,7.62,60,2.41
2018,0.764,0.7583750558721787,0.7657519678855222,75.11,78.27,71.96,15.7,16.08,15.33,7.98,8.18,7.75,60,2.31
2019,0.766,0.7613179789619121,0.767224849057583,75.34,78.47,72.2,15.6,16.03,15.17,8.13,8.33,7.89,60,2.3
2020,0.758,0.7535764894025606,0.7584402807573348,74.01,77.37,70.7,15.6,16.03,15.17,8.13,8.33,7.89,60,2.2
2021,0.754,0.7500130915272453,0.7546800061922271,72.75,76.01,69.56,15.6,16.03,15.17,8.13,8.33,7.89,60,2.2
