referencia,ano,mes,ano_mes,ipca_variacao,ipca_acumulado_ano,ipca_acumulado_doze_meses,ipca15_variacao,ipca15_acumulado_ano,ipca15_acumulado_doze_meses,inpc_variacao,inpc_acumulado_ano,inpc_acumulado_doze_meses,consolidado_ano
1980-01,1980,01,198001,6.62,6.62,0,0,0,0,6.56,6.56,0,false
1980-02,1980,02,198002,4.62,11.54,0,0,0,0,4.15,10.98,0,false
1980-03,1980,03,198003,6.04,18.27,0,0,0,0,5.12,16.67,75.11,false
1980-04,1980,04,198004,5.29,24.53,0,0,0,0,4.85,22.33,77.48,false
1980-05,1980,05,198005,5.7,31.63,0,0,0,0,5.53,29.1,84.06,false
1980-06,1980,06,198006,5.31,38.61,0,0,0,0,5.52,36.23,88.57,false
1980-07,1980,07,198007,5.55,46.3,0,0,0,0,5.51,43.74,88.85,false
1980-08,1980,08,198008,4.95,53.53,0,0,0,0,5.15,51.14,87.71,false
1980-09,1980,09,198009,4.23,60.03,0,0,0,0,4.45,57.87,83.91,false
1980-10,1980,10,198010,9.48,75.2,0,0,0,0,9.65,73.09,91.93,false
1980-11,1980,11,198011,6.67,86.89,0,0,0,0,8.03,86.98,95.41,false
1980-12,1980,12,198012,6.61,99.25,99.25,0,0,0,6.8,99.7,99.7,true
1981-01,1981,01,198101,6.84,6.84,99.67,0,0,0,6.21,6.21,99.04,false
1981-02,1981,02,198102,6.4,13.68,103.07,0,0,0,6.05,12.64,102.68,false
1981-03,1981,03,198103,4.97,19.33,101.03,0,0,0,5.35,18.67,103.13,false
1981-04,1981,04,198104,6.46,27.04,103.27,0,0,0,6.54,26.43,106.4,false
1981-05,1981,05,198105,5.56,34.1,103,0,0,0,5.51,33.4,106.36,false
1981-06,1981,06,198106,5.52,41.5,103.41,0,0,0,5.07,40.16,105.48,false
1981-07,1981,07,198107,6.26,50.35,104.78,0,0,0,6.2,48.86,106.82,false
1981-08,1981,08,198108,5.5,58.62,105.85,0,0,0,6.12,57.97,108.74,false
1981-09,1981,09,198109,5.26,66.95,107.88,0,0,0,5.28,66.31,110.38,false
1981-10,1981,10,198110,5.08,75.43,99.52,0,0,0,4.62,73.99,100.74,false
1981-11,1981,11,198111,5.27,84.68,96.89,0,0,0,5.23,83.1,95.55,false
1981-12,1981,12,198112,5.93,95.62,95.62,0,0,0,5.69,93.51,93.51,true
1982-01,1982,01,198201,6.97,6.97,95.86,0,0,0,6.71,6.71,94.43,false
1982-02,1982,02,198202,6.64,14.06,96.29,0,0,0,6.58,13.73,95.39,false
1982-03,1982,03,198203,5.71,20.58,97.68,0,0,0,5.24,19.69,95.17,false
1982-04,1982,04,198204,5.89,27.68,96.61,0,0,0,5.65,26.45,93.54,false
1982-05,1982,05,198205,6.66,36.18,98.65,0,0,0,6.66,34.88,95.65,false
1982-06,1982,06,198206,7.1,45.86,101.64,0,0,0,7.14,44.51,99.51,false
1982-07,1982,07,198207,6.36,55.13,101.84,0,0,0,6.39,53.75,99.87,false
1982-08,1982,08,198208,5.97,64.39,102.75,0,0,0,5.57,62.31,98.82,false
1982-09,1982,09,198209,5.08,72.75,102.41,0,0,0,4.3,69.29,96.98,false
1982-10,1982,10,198210,4.44,80.42,101.19,0,0,0,3.91,75.9,95.63,false
1982-11,1982,11,198211,5.29,89.96,101.22,0,0,0,5.26,85.16,95.69,false
1982-12,1982,12,198212,7.81,104.79,104.79,0,0,0,8.19,100.31,100.31,true
1983-01,1983,01,198301,8.64,8.64,108,0,0,0,9.14,9.14,104.87,false
1983-02,1983,02,198302,7.86,17.18,110.38,0,0,0,8.04,17.92,107.69,false
1983-03,1983,03,198303,7.34,25.78,113.63,0,0,0,7.22,26.43,111.6,false
