MesAno,Valor
Sep/14,0.91
Oct/14,0.95
Nov/14,0.84
Dec/14,0.96
Jan/15,0.94
Feb/15,0.82
Mar/15,1.04
Apr/15,0.95
May/15,0.99
Jun/15,1.07
Jul/15,1.18
Aug/15,1.11
Sep/15,1.11
Oct/15,1.11
Nov/15,1.06
Dec/15,1.16
Jan/16,1.06
Feb/16,1
Mar/16,1.16
Apr/16,1.06
May/16,1.11
Jun/16,1.16
Jul/16,1.11
Aug/16,1.22
Sep/16,1.11
Oct/16,1.05
Nov/16,1.04
Dec/16,1.12
Jan/17,1.09
Feb/17,0.87
Mar/17,1.05
Apr/17,0.79
May/17,0.93
Jun/17,0.81
Jul/17,0.8
Aug/17,0.8
Sep/17,0.64
Oct/17,0.64
Nov/17,0.57
Dec/17,0.54
Jan/18,0.58
Feb/18,0.47
Mar/18,0.53
Apr/18,0.52
May/18,0.52
Jun/18,0.52
Jul/18,0.54
Aug/18,0.57
Sep/18,0.47
Oct/18,0.54
Nov/18,0.49
Dec/18,0.49
Jan/19,0.54
Feb/19,0.49
Mar/19,0.47
Apr/19,0.52
May/19,0.54
Jun/19,0.47
Jul/19,0.57
Aug/19,0.5
Sep/19,0.46
Oct/19,0.48
Nov/19,0.38
Dec/19,0.37
Jan/20,0.38
Feb/20,0.29
Mar/20,0.34
Apr/20,0.28
May/20,0.24
Jun/20,0.21
Jul/20,0.19
Aug/20,0.16
Sep/20,0.16
Oct/20,0.16
Nov/20,0.15
Dec/20,0.16
Jan/21,0.15
Feb/21,0.13
Mar/21,0.2
Apr/21,0.21
May/21,0.27
Jun/21,0.31
Jul/21,0.36
Aug/21,0.43
Sep/21,0.44
Oct/21,0.49
Nov/21,0.59
Dec/21,0.77
Jan/22,0.73
Feb/22,0.76
Mar/22,0.93
Apr/22,0.83
May/22,1.03
Jun/22,1.02
Jul/22,1.03
Aug/22,1.17
Sep/22,1.07
Oct/22,1.02
Nov/22,1.02
Dec/22,0.41
