referencia,ano_mes,familias_cobertura,familias_vulneraveis,cobertura_auxilio,valor_total_repassado,valor_beneficio
11/2021,202111,14506301,18572130,1.280280203754217,3255388487,224.41
12/2021,202112,14519216,18818144,1.296085408468336,3255468332,224.22
01/2022,202201,17566127,19861878,1.1306919277083674,3705233574,210.93
02/2022,202202,18017489,20526444,1.1392510909816567,3805316470,216.71
03/2022,202203,18021825,20855070,1.1572118805947789,3908622871,216.89
04/2022,202204,18063021,21350296,1.1819892143180257,3904369685,216.17
05/2022,202205,18119192,21645007,1.1945900788511983,3829940066,214.16
06/2022,202206,18154897,22000507,1.21182218769955,3784010337,210.39
07/2022,202207,18134548,22504546,1.2409763948900188,7318354846,408.8
08/2022,202208,20200862,23224331,1.149670296247754,12144301939,607.85
09/2022,202209,20653849,23934236,1.1588269092119343,12474265191,607.52
