referencia,total
08/2012,757
09/2012,825
10/2012,888
11/2012,925
12/2012,978
01/2013,985
02/2013,1011
03/2013,1047
04/2013,1137
05/2013,1193
06/2013,1240
07/2013,1231
08/2013,1385
09/2013,1489
10/2013,1543
11/2013,1610
12/2013,1702
01/2014,1747
02/2014,1805
03/2014,1901
04/2014,1950
05/2014,2058
06/2014,2128
07/2014,2196
08/2014,2289
09/2014,2356
10/2014,2397
11/2014,2457
12/2014,2499
01/2015,2557
02/2015,2613
03/2015,2673
04/2015,2737
05/2015,2791
06/2015,2820
07/2015,2848
08/2015,2887
09/2015,2953
10/2015,2996
11/2015,3031
12/2015,3099
01/2016,3102
02/2016,3157
03/2016,3196
04/2016,3261
05/2016,3326
06/2016,3430
07/2016,3471
08/2016,3452
09/2016,3480
10/2016,3526
11/2016,3550
12/2016,3524
01/2017,3670
02/2017,3720
03/2017,3793
04/2017,3881
05/2017,3956
06/2017,4030
07/2017,4120
08/2017,4206
09/2017,4220
10/2017,4324
11/2017,4312
12/2017,4334
01/2018,4388
02/2018,4448
03/2018,4465
04/2018,4549
05/2018,4616
06/2018,4635
07/2018,4705
08/2018,4737
09/2018,4839
10/2018,4889
11/2018,4935
12/2018,4915
01/2019,4941
02/2019,4992
03/2019,5049
04/2019,5080
05/2019,5138
06/2019,5201
07/2019,5236
08/2019,5282
09/2019,5287
10/2019,5357
11/2019,5405
12/2019,5426
01/2020,5456
02/2020,5516
03/2020,5573
04/2020,5608
05/2020,5666
06/2020,5703
07/2020,5732
08/2020,5783
09/2020,5818
10/2020,5878
11/2020,5869
12/2020,5923
01/2021,5942
02/2021,5995
03/2021,6064
04/2021,6107
05/2021,6143
06/2021,6181
07/2021,6237
08/2021,6264
09/2021,6291
10/2021,6366
11/2021,6499
12/2021,6549
01/2022,6905
02/2022,7124
03/2022,7207
04/2022,7382
05/2022,7495
06/2022,7713
07/2022,7914
08/2022,8196
09/2022,8534
