referencia,periodo,pobreza,extrema_pobreza,total,populacao_estimada,porcentagem_pobreza,porcentagem_extrema_pobreza,porcentagem_vulnerabilidade
08/2012,201208,19370363,44381455,63751818,193976530,0.1,0.23,0.33
09/2012,201209,19371279,44554715,63925994,193976530,0.1,0.23,0.33
10/2012,201210,19376665,44652093,64028758,193976530,0.1,0.23,0.33
11/2012,201211,19381040,44723215,64104255,193976530,0.1,0.23,0.33
12/2012,201212,19392882,44684759,64077641,193976530,0.1,0.23,0.33
01/2013,201301,19393635,44686942,64080577,201062789,0.1,0.22,0.32
02/2013,201302,19392895,44705760,64098655,201062789,0.1,0.22,0.32
03/2013,201303,19294383,44583031,63877414,201062789,0.1,0.22,0.32
04/2013,201304,19293243,44501519,63794762,201062789,0.1,0.22,0.32
05/2013,201305,19307126,44474370,63781496,201062789,0.1,0.22,0.32
06/2013,201306,19328722,44432808,63761530,201062789,0.1,0.22,0.32
07/2013,201307,19322946,44389542,63712488,201062789,0.1,0.22,0.32
08/2013,201308,19330728,44273826,63604554,201062789,0.1,0.22,0.32
09/2013,201309,19316196,44216179,63532375,201062789,0.1,0.22,0.32
10/2013,201310,19312153,44153320,63465473,201062789,0.1,0.22,0.32
11/2013,201311,19307557,44154133,63461690,201062789,0.1,0.22,0.32
12/2013,201312,19268775,43914616,63183391,201062789,0.1,0.22,0.31
01/2014,201401,19242171,43879431,63121602,202799518,0.09,0.22,0.31
02/2014,201402,19199187,43789150,62988337,202799518,0.09,0.22,0.31
03/2014,201403,19131317,43654971,62786288,202799518,0.09,0.22,0.31
04/2014,201404,19048819,43537313,62586132,202799518,0.09,0.21,0.31
05/2014,201405,18633690,45762860,64396550,202799518,0.09,0.23,0.32
06/2014,201406,18604829,45681502,64286331,202799518,0.09,0.23,0.32
07/2014,201407,18586217,45662101,64248318,202799518,0.09,0.23,0.32
08/2014,201408,18579969,45641330,64221299,202799518,0.09,0.23,0.32
09/2014,201409,18473103,45400575,63873678,202799518,0.09,0.22,0.31
10/2014,201410,18491704,45381621,63873325,202799518,0.09,0.22,0.31
11/2014,201411,18485958,45368430,63854388,202799518,0.09,0.22,0.31
12/2014,201412,18491146,45300249,63791395,202799518,0.09,0.22,0.31
01/2015,201501,15431065,42256512,57687577,204482867,0.08,0.21,0.28
02/2015,201502,15438142,42238268,57676410,204482867,0.08,0.21,0.28
03/2015,201503,15456313,42156931,57613244,204482867,0.08,0.21,0.28
04/2015,201504,15469472,42094162,57563634,204482867,0.08,0.21,0.28
05/2015,201505,15430374,42028403,57458777,204482867,0.08,0.21,0.28
06/2015,201506,15410038,41552386,56962424,204482867,0.08,0.2,0.28
07/2015,201507,14455430,39801023,54256453,204482867,0.07,0.19,0.27
08/2015,201508,14501658,39437959,53939617,204482867,0.07,0.19,0.26
09/2015,201509,14561749,39177799,53739548,204482867,0.07,0.19,0.26
10/2015,201510,14633594,38976273,53609867,204482867,0.07,0.19,0.26
11/2015,201511,14654034,38916569,53570603,204482867,0.07,0.19,0.26
12/2015,201512,14652534,38919660,53572194,204482867,0.07,0.19,0.26
01/2016,201601,14002852,37764236,51767088,206114067,0.07,0.18,0.25
02/2016,201602,13977439,37937633,51915072,206114067,0.07,0.18,0.25
03/2016,201603,13926995,38197235,52124230,206114067,0.07,0.19,0.25
04/2016,201604,13870296,38508868,52379164,206114067,0.07,0.19,0.25
05/2016,201605,13840403,38764955,52605358,206114067,0.07,0.19,0.26
06/2016,201606,14419471,40286876,54706347,206114067,0.07,0.2,0.27
07/2016,201607,14364981,40327934,54692915,206114067,0.07,0.2,0.27
08/2016,201608,13756536,38667390,52423926,206114067,0.07,0.19,0.25
09/2016,201609,13755032,38672123,52427155,206114067,0.07,0.19,0.25
10/2016,201610,13758635,38491652,52250287,206114067,0.07,0.19,0.25
11/2016,201611,13793248,38319485,52112733,206114067,0.07,0.19,0.25
12/2016,201612,12974976,36803455,49778431,206114067,0.06,0.18,0.24
01/2017,201701,13201399,38619300,51820699,207660929,0.06,0.19,0.25
02/2017,201702,13165934,38837644,52003578,207660929,0.06,0.19,0.25
03/2017,201703,13153447,39077864,52231311,207660929,0.06,0.19,0.25
04/2017,201704,13122288,39355911,52478199,207660929,0.06,0.19,0.25
05/2017,201705,13093336,39471038,52564374,207660929,0.06,0.19,0.25
06/2017,201706,13068038,39267554,52335592,207660929,0.06,0.19,0.25
07/2017,201707,13067671,39333784,52401455,207660929,0.06,0.19,0.25
08/2017,201708,13081578,39402559,52484137,207660929,0.06,0.19,0.25
09/2017,201709,11506534,37616391,49122925,207660929,0.06,0.18,0.24
10/2017,201710,11522573,37970373,49492946,207660929,0.06,0.18,0.24
11/2017,201711,11511569,38260094,49771663,207660929,0.06,0.18,0.24
12/2017,201712,11481091,38469544,49950635,207660929,0.06,0.19,0.24
01/2018,201801,11465825,38497597,49963422,208494900,0.05,0.18,0.24
02/2018,201802,11454747,38661251,50115998,208494900,0.05,0.19,0.24
03/2018,201803,10656930,37850905,48507835,208494900,0.05,0.18,0.23
04/2018,201804,10671450,38156036,48827486,208494900,0.05,0.18,0.23
05/2018,201805,10665254,38596762,49262016,208494900,0.05,0.19,0.24
06/2018,201806,10683385,38737903,49421288,208494900,0.05,0.19,0.24
07/2018,201807,10939217,39092794,50032011,208494900,0.05,0.19,0.24
08/2018,201808,10317936,38618458,48936394,208494900,0.05,0.19,0.23
09/2018,201809,10375048,38685526,49060574,208494900,0.05,0.19,0.24
10/2018,201810,10305688,38540579,48846267,208494900,0.05,0.18,0.23
11/2018,201811,10329147,38562777,48891924,208494900,0.05,0.18,0.23
12/2018,201812,9679720,37766288,47446008,208494900,0.05,0.18,0.23
01/2019,201901,9734050,38332528,48066578,210147125,0.05,0.18,0.23
02/2019,201902,9745155,38584561,48329716,210147125,0.05,0.18,0.23
03/2019,201903,9779256,38684811,48464067,210147125,0.05,0.18,0.23
04/2019,201904,9452845,38358027,47810872,210147125,0.04,0.18,0.23
05/2019,201905,9476445,38597800,48074245,210147125,0.05,0.18,0.23
06/2019,201906,9504527,38874312,48378839,210147125,0.05,0.18,0.23
07/2019,201907,9528040,38974663,48502703,210147125,0.05,0.19,0.23
08/2019,201908,9543831,39057948,48601779,210147125,0.05,0.19,0.23
09/2019,201909,8890018,38339308,47229326,210147125,0.04,0.18,0.22
10/2019,201910,8944228,38597613,47541841,210147125,0.04,0.18,0.23
11/2019,201911,8962367,38855967,47818334,210147125,0.04,0.18,0.23
12/2019,201912,8977608,39090704,48068312,210147125,0.04,0.19,0.23
01/2020,202001,8990800,39217132,48207932,211755692,0.04,0.19,0.23
02/2020,202002,8625461,38948511,47573972,211755692,0.04,0.18,0.22
03/2020,202003,8655699,39153520,47809219,211755692,0.04,0.18,0.23
04/2020,202004,8670718,39241613,47912331,211755692,0.04,0.19,0.23
05/2020,202005,8700050,39390851,48090901,211755692,0.04,0.19,0.23
06/2020,202006,8732604,39527153,48259757,211755692,0.04,0.19,0.23
07/2020,202007,8761036,39642522,48403558,211755692,0.04,0.19,0.23
08/2020,202008,8799041,39788352,48587393,211755692,0.04,0.19,0.23
09/2020,202009,8824334,39858053,48682387,211755692,0.04,0.19,0.23
10/2020,202010,8848751,39990357,48839108,211755692,0.04,0.19,0.23
11/2020,202011,8455696,39439745,47895441,211755692,0.04,0.19,0.23
12/2020,202012,8482827,39596469,48079296,211755692,0.04,0.19,0.23
01/2021,202101,8512758,39766507,48279265,213317639,0.04,0.19,0.23
02/2021,202102,8539987,40077384,48617371,213317639,0.04,0.19,0.23
03/2021,202103,8501003,40391261,48892264,213317639,0.04,0.19,0.23
04/2021,202104,8476840,40701328,49178168,213317639,0.04,0.19,0.23
05/2021,202105,8486713,40934547,49421260,213317639,0.04,0.19,0.23
06/2021,202106,8507802,41124856,49632658,213317639,0.04,0.19,0.23
07/2021,202107,8539684,41366134,49905818,213317639,0.04,0.19,0.23
08/2021,202108,8571423,41538881,50110304,213317639,0.04,0.19,0.23
09/2021,202109,8603498,41697555,50301053,213317639,0.04,0.2,0.24
10/2021,202110,8640614,41850253,50490867,213317639,0.04,0.2,0.24
11/2021,202111,8786615,42385650,51172265,213317639,0.04,0.2,0.24
12/2021,202112,8901321,42662245,51563566,213317639,0.04,0.2,0.24
01/2022,202201,8454642,45693632,54148274,213317639,0.04,0.21,0.25
02/2022,202202,8618183,46445574,55063757,213317639,0.04,0.22,0.26
03/2022,202203,8711941,46781067,55493008,213317639,0.04,0.22,0.26
