referencia,periodo,pobreza,extrema_pobreza,total,populacao_estimada,porcentagem_pobreza,porcentagem_extrema_pobreza,porcentagem_vulnerabilidade,familias_pobreza,familias_extrema_pobreza,familias_vulnerabilidade
2012,201212,19392882,44684759,64077641,193976530,0.1,0.23,0.33,5311337,13161099,18472436
2013,201312,19268775,43914616,63183391,201062789,0.1,0.22,0.31,5397222,13354834,18752056
2014,201412,18491146,45300249,63791395,202799518,0.09,0.22,0.31,5325302,14095333,19420635
2015,201512,14652534,38919660,53572194,204482867,0.07,0.19,0.26,4268713,12335278,16603991
2016,201612,12974976,36803455,49778431,206114067,0.06,0.18,0.24,3849178,11720302,15569480
2017,201712,11481091,38469544,49950635,207660929,0.06,0.19,0.24,3460232,12547592,16007824
2018,201812,9679720,37766288,47446008,208494900,0.05,0.18,0.23,3006575,12750668,15757243
2019,201912,8977608,39090704,48068312,210147125,0.04,0.19,0.23,2853527,13520588,16374115
2020,202012,8482827,39596469,48079296,211755692,0.04,0.19,0.23,2764930,13923660,16688590
2021,202112,8901321,42662245,51563566,213317639,0.04,0.2,0.24,3124874,15693270,18818144
2022,202209,9509943,49055941,58565884,213317639,0.04,0.23,0.27,3495077,20439159,23934236
