referencia,total
08/2012,19370363
09/2012,19371279
10/2012,19376665
11/2012,19381040
12/2012,19392882
01/2013,19393635
02/2013,19392895
03/2013,19294383
04/2013,19293243
05/2013,19307126
06/2013,19328722
07/2013,19322946
08/2013,19330728
09/2013,19316196
10/2013,19312153
11/2013,19307557
12/2013,19268775
01/2014,19242171
02/2014,19199187
03/2014,19131317
04/2014,19048819
05/2014,18633690
06/2014,18604829
07/2014,18586217
08/2014,18579969
09/2014,18473103
10/2014,18491704
11/2014,18485958
12/2014,18491146
01/2015,15431065
02/2015,15438142
03/2015,15456313
04/2015,15469472
05/2015,15430374
06/2015,15410038
07/2015,14455430
08/2015,14501658
09/2015,14561749
10/2015,14633594
11/2015,14654034
12/2015,14652534
01/2016,14002852
02/2016,13977439
03/2016,13926995
04/2016,13870296
05/2016,13840403
06/2016,14419471
07/2016,14364981
08/2016,13756536
09/2016,13755032
10/2016,13758635
11/2016,13793248
12/2016,12974976
01/2017,13201399
02/2017,13165934
03/2017,13153447
04/2017,13122288
05/2017,13093336
06/2017,13068038
07/2017,13067671
08/2017,13081578
09/2017,11506534
10/2017,11522573
11/2017,11511569
12/2017,11481091
01/2018,11465825
02/2018,11454747
03/2018,10656930
04/2018,10671450
05/2018,10665254
06/2018,10683385
07/2018,10939217
08/2018,10317936
09/2018,10375048
10/2018,10305688
11/2018,10329147
12/2018,9679720
01/2019,9734050
02/2019,9745155
03/2019,9779256
04/2019,9452845
05/2019,9476445
06/2019,9504527
07/2019,9528040
08/2019,9543831
09/2019,8890018
10/2019,8944228
11/2019,8962367
12/2019,8977608
01/2020,8990800
02/2020,8625461
03/2020,8655699
04/2020,8670718
05/2020,8700050
06/2020,8732604
07/2020,8761036
08/2020,8799041
09/2020,8824334
10/2020,8848751
11/2020,8455696
12/2020,8482827
01/2021,8512758
02/2021,8539987
03/2021,8501003
04/2021,8476840
05/2021,8486713
06/2021,8507802
07/2021,8539684
08/2021,8571423
09/2021,8603498
10/2021,8640614
11/2021,8786615
12/2021,8901321
01/2022,8454642
02/2022,8618183
03/2022,8711941
04/2022,8882169
05/2022,8979446
06/2022,9042994
07/2022,9173896
08/2022,9346851
09/2022,9509943
