referencia,total
08/2012,57407
09/2012,58018
10/2012,58468
11/2012,59193
12/2012,60250
01/2013,60503
02/2013,60866
03/2013,61287
04/2013,63745
05/2013,64614
06/2013,65904
07/2013,65599
08/2013,69165
09/2013,71671
10/2013,73496
11/2013,75426
12/2013,77092
01/2014,77806
02/2014,79438
03/2014,80719
04/2014,81943
05/2014,84556
06/2014,86006
07/2014,87784
08/2014,89702
09/2014,91255
10/2014,92273
11/2014,93252
12/2014,94670
01/2015,94647
02/2015,95332
03/2015,96211
04/2015,96894
05/2015,97872
06/2015,97721
07/2015,96488
08/2015,96668
09/2015,97568
10/2015,98480
11/2015,99417
12/2015,100889
01/2016,100641
02/2016,101581
03/2016,102542
04/2016,104430
05/2016,105842
06/2016,108356
07/2016,109303
08/2016,108460
09/2016,109612
10/2016,109950
11/2016,110075
12/2016,109495
01/2017,112088
02/2017,112764
03/2017,113781
04/2017,114788
05/2017,115597
06/2017,115839
07/2017,116512
08/2017,117121
09/2017,114996
10/2017,116106
11/2017,117088
12/2017,118041
01/2018,118265
02/2018,118839
03/2018,117931
04/2018,118962
05/2018,120520
06/2018,121455
07/2018,122164
08/2018,121849
09/2018,122636
10/2018,123282
11/2018,123932
12/2018,122978
01/2019,123901
02/2019,124618
03/2019,125242
04/2019,124964
05/2019,126071
06/2019,127346
07/2019,127782
08/2019,128334
09/2019,127672
10/2019,128751
11/2019,129631
12/2019,130428
01/2020,130927
02/2020,131387
03/2020,132261
04/2020,132702
05/2020,133179
06/2020,133538
07/2020,133765
08/2020,134147
09/2020,134751
10/2020,135374
11/2020,134513
12/2020,135019
01/2021,135610
02/2021,136791
03/2021,138594
04/2021,140591
05/2021,142121
06/2021,143557
07/2021,145386
08/2021,147286
09/2021,149051
10/2021,150814
11/2021,154787
12/2021,157444
01/2022,164581
02/2022,169478
03/2022,171530
04/2022,174405
05/2022,176426
06/2022,179663
07/2022,184928
08/2022,190505
09/2022,195070
